CandidateTerm,Synonyms,Definition,SourceRefs,Notes
stage-gate reviews,five-gate review process,Sequential checkpoints where accumulated evidence is evaluated before lifecycle progression.,@repo/docs/thesis/07_se_design_analysis.md:L0129|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0014;@repo/docs/thesis/07_se_design_analysis.md:L0141|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0014,
coverage analysis,coverage verification,"Complementary decomposition, dependency, and review coverage forms.",@repo/docs/thesis/07_se_design_analysis.md:L0145|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0015;@repo/docs/thesis/07_se_design_analysis.md:L0153|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0015,
traceability architecture,traceability,"Scope, requirement, and provenance mechanisms forming a chain from source requirement to delivered artifact.",@repo/docs/thesis/07_se_design_analysis.md:L0157|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0016;@repo/docs/thesis/07_se_design_analysis.md:L0165|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0016,
Decomposition Ledger,system-level RTM,Machine-checkable table mapping every atomic unit through partitions to production units with objective linkage.,@repo/docs/thesis/07_se_design_analysis.md:L0165|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0016;@repo/docs/thesis/07_se_design_analysis.md:L0234|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0022,
Requirements Traceability Matrix,RTM,Three-layer matrix providing bidirectional traceability from source requirements to delivered artifacts.,@repo/docs/thesis/07_se_design_analysis.md:L0161|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0016;@repo/docs/thesis/07_se_design_analysis.md:L0240|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0023,
fault containment zones,containment zones,Write-scope zones with precisely bounded failure impact.,@repo/docs/thesis/07_se_design_analysis.md:L0175|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0018;@repo/docs/thesis/07_se_design_analysis.md:L0184|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0018,
failure mode visibility,visible findings,Failures are made explicit rather than hidden in recovery logic.,@repo/docs/thesis/07_se_design_analysis.md:L0188|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0019;@repo/docs/thesis/07_se_design_analysis.md:L0201|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0019,
FAILED_INPUTS,fail-fast behavior,Invalid Type 2 inputs cause a halt and validation-failure report rather than guessed execution.,@repo/docs/thesis/07_se_design_analysis.md:L0196|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0019;@repo/docs/thesis/07_se_design_analysis.md:L0203|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0019,
context sealing,sealed context,All inputs are explicitly declared and human-confirmed before Type 2 execution begins.,@repo/docs/thesis/07_se_design_analysis.md:L0205|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0020;@repo/docs/thesis/07_se_design_analysis.md:L0209|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0020,
ghost inputs,undeclared inputs,Execution-time information sources not declared in the sealed context.,@repo/docs/thesis/07_se_design_analysis.md:L0211|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0020,
hierarchical decomposition,requirements decomposition,"Progressive refinement from source corpus to atomic units, partitions, and production units.",@repo/docs/thesis/07_se_design_analysis.md:L0221|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0022;@repo/docs/thesis/07_se_design_analysis.md:L0223|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0022,
acceptance criteria allocation,acceptance criteria,Pass/fail criteria derived from decomposition metadata and verified at review gates.,@repo/docs/thesis/07_se_design_analysis.md:L0250|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0024;@repo/docs/thesis/07_se_design_analysis.md:L0254|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0024,
closed-loop feedback control system,control loop,"Project execution cycle with control variables, set points, sensors, and actuators.",@repo/docs/thesis/07_se_design_analysis.md:L0260|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0025;@repo/docs/thesis/07_se_design_analysis.md:L0264|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0026,
control variables,controlled variables,"Lifecycle state, dependency closure, decomposition fidelity, work availability, and artifact completeness.",@repo/docs/thesis/07_se_design_analysis.md:L0279|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0027,
human authority as the halting condition,halting condition,Every control-loop iteration requires human confirmation at gates.,@repo/docs/thesis/07_se_design_analysis.md:L0303|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0029;@repo/docs/thesis/07_se_design_analysis.md:L0305|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0029,
formal methods,,"Mathematical techniques for specifying, developing, and verifying systems through specifications, type systems, invariants, and state machines.",@repo/docs/thesis/07_se_design_analysis.md:L0313|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0030;@repo/docs/thesis/07_se_design_analysis.md:L0540|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0045,
three-layer invariant system,invariant system,"Decomposition invariants, workflow design requirements, and system-wide invariants.",@repo/docs/thesis/07_se_design_analysis.md:L0315|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0031;@repo/docs/thesis/07_se_design_analysis.md:L0317|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0031,
preconditions and postconditions,Design by Contract,Function contracts that support formal reasoning about state transitions.,@repo/docs/thesis/07_se_design_analysis.md:L0329|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0032;@repo/docs/thesis/07_se_design_analysis.md:L0341|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0032,
formal type system,type system,"Fully enumerated domains across decomposition ontology, dependency types, review types, and epistemic labels.",@repo/docs/thesis/07_se_design_analysis.md:L0343|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0033;@repo/docs/thesis/07_se_design_analysis.md:L0345|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0033,
epistemic label system,EpistemicLabel,"Classification of every non-trivial claim as FACT, ASSUMPTION, PROPOSAL, or TBD.",@repo/docs/thesis/07_se_design_analysis.md:L0381|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0033;@repo/docs/thesis/07_se_design_analysis.md:L0384|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0033,
lifecycle state machine,deliverable lifecycle,"Formal state machine with OPEN, INITIALIZED, SEMANTIC_READY, IN_PROGRESS, CHECKING, and ISSUED states.",@repo/docs/thesis/07_se_design_analysis.md:L0398|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0034;@repo/docs/thesis/07_se_design_analysis.md:L0400|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0034,
decision authority allocation,authority allocation,Explicit allocation of decision authority between humans and agents.,@repo/docs/thesis/07_se_design_analysis.md:L0420|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0036;@repo/docs/thesis/07_se_design_analysis.md:L0422|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0036,
cognitive load management,cognitive architecture,Mechanisms that convert cognitive demands into structural properties of the system.,@repo/docs/thesis/07_se_design_analysis.md:L0441|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0037;@repo/docs/thesis/07_se_design_analysis.md:L0455|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0037,
configurable rigor,rigor scaling,Project-specific gates and dependency modes that scale rigor to requirements and maturity.,@repo/docs/thesis/07_se_design_analysis.md:L0457|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0038;@repo/docs/thesis/07_se_design_analysis.md:L0463|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0038,
Tree × DAG Knowledge Architecture,dual-graph architecture; Tree x DAG architecture,Dependency model separating structural identity from execution coupling through tree and DAG graphs.,@repo/docs/thesis/07_se_design_analysis.md:L0471|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0040;@repo/docs/thesis/07_se_design_analysis.md:L0473|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0040,Non-ASCII multiplication sign preserved from heading.
distributed authority with on-demand aggregation,on-demand aggregation,Deliverable-local dependency authority with read-only aggregated views produced as needed.,@repo/docs/thesis/07_se_design_analysis.md:L0483|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0041;@repo/docs/thesis/07_se_design_analysis.md:L0493|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0041,
evidence-first epistemology,epistemic controls,"Provenance, no-invention, and conflict-surfacing controls used as a safety mechanism.",@repo/docs/thesis/07_se_design_analysis.md:L0495|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0042;@repo/docs/thesis/07_se_design_analysis.md:L0503|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0042,
multi-layer enforcement,defense-in-depth enforcement,Four enforcement layers checking invariant subsets at specific workflow points.,@repo/docs/thesis/07_se_design_analysis.md:L0505|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0043;@repo/docs/thesis/07_se_design_analysis.md:L0516|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0043,
