AtomicUnitID,LocalSeq,UnitStatement,SourceRef,ContentHash,InOutStatus,SectionID,DispatchUnitID,Corrects,Notes
HBA-PD042-00001,1,The Contribution Review Checklist is a project-governance intake record for public repository contributions.,@repo/governance/CONTRIBUTION_REVIEW_CHECKLIST.md:L19|domains/chirality-piping/_Decomposition/source_review_html/SRC-GOVERNANCE-CONTRIBUTION-REVIEW-CHECKLIST.html#SEC-PD042-0001,ddf45168fde3,IN,SEC-PD042-0001,UNIT-PD042-0001,,
HBA-PD042-00019,19,"The Protected-Content Screen verifies no copied commercial software examples, report templates, benchmark files, or proprietary formulas are included without permission.",@repo/governance/CONTRIBUTION_REVIEW_CHECKLIST.md:L79|domains/chirality-piping/_Decomposition/source_review_html/SRC-GOVERNANCE-CONTRIBUTION-REVIEW-CHECKLIST.html#SEC-PD042-0005,b478647e7fd2,IN,SEC-PD042-0005,UNIT-PD042-0001,,
HBA-PD042-00020,20,The Protected-Content Screen verifies no proprietary vendor catalog data is included without documented redistribution rights.,@repo/governance/CONTRIBUTION_REVIEW_CHECKLIST.md:L80|domains/chirality-piping/_Decomposition/source_review_html/SRC-GOVERNANCE-CONTRIBUTION-REVIEW-CHECKLIST.html#SEC-PD042-0005,84d9dcc8fafd,IN,SEC-PD042-0005,UNIT-PD042-0001,,
HBA-PD042-00021,21,"The Protected-Content Screen verifies public examples use invented, original, public-domain, or permissively licensed values only.",@repo/governance/CONTRIBUTION_REVIEW_CHECKLIST.md:L81|domains/chirality-piping/_Decomposition/source_review_html/SRC-GOVERNANCE-CONTRIBUTION-REVIEW-CHECKLIST.html#SEC-PD042-0005,d987d7ca2ea3,IN,SEC-PD042-0005,UNIT-PD042-0001,,
HBA-PD042-00022,22,The Protected-Content Screen verifies documentation excerpts are original summaries or permissively licensed quotations within project policy.,@repo/governance/CONTRIBUTION_REVIEW_CHECKLIST.md:L82|domains/chirality-piping/_Decomposition/source_review_html/SRC-GOVERNANCE-CONTRIBUTION-REVIEW-CHECKLIST.html#SEC-PD042-0005,5a2bdbfdcb76,IN,SEC-PD042-0005,UNIT-PD042-0001,,
HBA-PD042-00023,23,"Allowed screen result values are pass, fail, pending, not_applicable, and escalated.",@repo/governance/CONTRIBUTION_REVIEW_CHECKLIST.md:L84|domains/chirality-piping/_Decomposition/source_review_html/SRC-GOVERNANCE-CONTRIBUTION-REVIEW-CHECKLIST.html#SEC-PD042-0005,d297538f9653,IN,SEC-PD042-0005,UNIT-PD042-0001,,
HBA-PD042-00024,24,"The Private-Data Screen verifies no private project model, owner standard, company design basis, or client data is included.",@repo/governance/CONTRIBUTION_REVIEW_CHECKLIST.md:L90|domains/chirality-piping/_Decomposition/source_review_html/SRC-GOVERNANCE-CONTRIBUTION-REVIEW-CHECKLIST.html#SEC-PD042-0006,bd1a220bfb96,IN,SEC-PD042-0006,UNIT-PD042-0001,,
HBA-PD042-00025,25,"The Private-Data Screen verifies no private material, component, rule-pack, allowable, SIF, flexibility, or load-combination data is included.",@repo/governance/CONTRIBUTION_REVIEW_CHECKLIST.md:L91|domains/chirality-piping/_Decomposition/source_review_html/SRC-GOVERNANCE-CONTRIBUTION-REVIEW-CHECKLIST.html#SEC-PD042-0006,c7090699852a,IN,SEC-PD042-0006,UNIT-PD042-0001,,
HBA-PD042-00026,26,"The Private-Data Screen verifies telemetry, issue logs, screenshots, and reports exclude private engineering data by default.",@repo/governance/CONTRIBUTION_REVIEW_CHECKLIST.md:L92|domains/chirality-piping/_Decomposition/source_review_html/SRC-GOVERNANCE-CONTRIBUTION-REVIEW-CHECKLIST.html#SEC-PD042-0006,c72c16e53455,IN,SEC-PD042-0006,UNIT-PD042-0001,,
HBA-PD042-00027,27,The Private-Data Screen verifies private-only content is stored outside public examples and marked private-only where referenced.,@repo/governance/CONTRIBUTION_REVIEW_CHECKLIST.md:L93|domains/chirality-piping/_Decomposition/source_review_html/SRC-GOVERNANCE-CONTRIBUTION-REVIEW-CHECKLIST.html#SEC-PD042-0006,9ba07769a312,IN,SEC-PD042-0006,UNIT-PD042-0001,,
HBA-PD042-00028,28,"The Engineering And Product-Claim Screen verifies no claim of professional engineering approval, certification, sealing, authentication, or code compliance for reliance.",@repo/governance/CONTRIBUTION_REVIEW_CHECKLIST.md:L99|domains/chirality-piping/_Decomposition/source_review_html/SRC-GOVERNANCE-CONTRIBUTION-REVIEW-CHECKLIST.html#SEC-PD042-0007,8a5b00ddc8ba,IN,SEC-PD042-0007,UNIT-PD042-0001,,
HBA-PD042-00029,29,The Engineering And Product-Claim Screen verifies no standards-body endorsement or official approval claim.,@repo/governance/CONTRIBUTION_REVIEW_CHECKLIST.md:L100|domains/chirality-piping/_Decomposition/source_review_html/SRC-GOVERNANCE-CONTRIBUTION-REVIEW-CHECKLIST.html#SEC-PD042-0007,d005c23932a7,IN,SEC-PD042-0007,UNIT-PD042-0001,,
HBA-PD042-00030,30,The Engineering And Product-Claim Screen verifies missing engineering values remain TBD or explicit findings rather than defaults.,@repo/governance/CONTRIBUTION_REVIEW_CHECKLIST.md:L101|domains/chirality-piping/_Decomposition/source_review_html/SRC-GOVERNANCE-CONTRIBUTION-REVIEW-CHECKLIST.html#SEC-PD042-0007,57e8d5417093,IN,SEC-PD042-0007,UNIT-PD042-0001,,
HBA-PD042-00031,31,"The Engineering And Product-Claim Screen verifies mechanics results, user rule checks, and human acceptance remain distinct.",@repo/governance/CONTRIBUTION_REVIEW_CHECKLIST.md:L102|domains/chirality-piping/_Decomposition/source_review_html/SRC-GOVERNANCE-CONTRIBUTION-REVIEW-CHECKLIST.html#SEC-PD042-0007,1c8a1a797952,IN,SEC-PD042-0007,UNIT-PD042-0001,,
HBA-PD042-00032,32,"The Tests And Evidence section records required tests/scans run, protected-content scan result, schema/provenance validation result, contributor certification template review, documentation review result, and explicit deferrals.",@repo/governance/CONTRIBUTION_REVIEW_CHECKLIST.md:L106|domains/chirality-piping/_Decomposition/source_review_html/SRC-GOVERNANCE-CONTRIBUTION-REVIEW-CHECKLIST.html#SEC-PD042-0008,c2b1ebd63b79,IN,SEC-PD042-0008,UNIT-PD042-0001,,
HBA-PD042-00033,33,"The Disposition section records review disposition, disposition rationale, required follow-up, human/legal escalation need, and approving maintainer/authority.",@repo/governance/CONTRIBUTION_REVIEW_CHECKLIST.md:L117|domains/chirality-piping/_Decomposition/source_review_html/SRC-GOVERNANCE-CONTRIBUTION-REVIEW-CHECKLIST.html#SEC-PD042-0009,781b7a60f826,IN,SEC-PD042-0009,UNIT-PD042-0001,,
HBA-PD042-00034,34,"Allowed review-disposition values are pending, accepted, rejected, quarantined, private_only, escalated, and TBD.",@repo/governance/CONTRIBUTION_REVIEW_CHECKLIST.md:L119|domains/chirality-piping/_Decomposition/source_review_html/SRC-GOVERNANCE-CONTRIBUTION-REVIEW-CHECKLIST.html#SEC-PD042-0009,e94ecbff2ff6,IN,SEC-PD042-0009,UNIT-PD042-0001,,
HBA-PD042-00035,35,"A contribution may be marked accepted only when source rights, protected-content risk, private-data risk, and product-claim review are closed or explicitly deferred by a recorded maintainer decision.",@repo/governance/CONTRIBUTION_REVIEW_CHECKLIST.md:L125|domains/chirality-piping/_Decomposition/source_review_html/SRC-GOVERNANCE-CONTRIBUTION-REVIEW-CHECKLIST.html#SEC-PD042-0009,e339896d44d5,IN,SEC-PD042-0009,UNIT-PD042-0001,,
HBA-PD042-00036,36,Complete the Quarantine Record section when any protected or private content risk is unresolved.,@repo/governance/CONTRIBUTION_REVIEW_CHECKLIST.md:L129|domains/chirality-piping/_Decomposition/source_review_html/SRC-GOVERNANCE-CONTRIBUTION-REVIEW-CHECKLIST.html#SEC-PD042-0010,5ec3547a0fc7,IN,SEC-PD042-0010,UNIT-PD042-0001,,
HBA-PD042-00037,37,"The Quarantine Record section records quarantine status, quarantine path, issue/decision record, escalation owner, and resolution.",@repo/governance/CONTRIBUTION_REVIEW_CHECKLIST.md:L131|domains/chirality-piping/_Decomposition/source_review_html/SRC-GOVERNANCE-CONTRIBUTION-REVIEW-CHECKLIST.html#SEC-PD042-0010,e847b28e5742,IN,SEC-PD042-0010,UNIT-PD042-0001,,
HBA-PD042-00038,38,"Allowed quarantine-status values are not_required, required, complete, and TBD.",@repo/governance/CONTRIBUTION_REVIEW_CHECKLIST.md:L133|domains/chirality-piping/_Decomposition/source_review_html/SRC-GOVERNANCE-CONTRIBUTION-REVIEW-CHECKLIST.html#SEC-PD042-0010,48843138db68,IN,SEC-PD042-0010,UNIT-PD042-0001,,
HBA-PD042-00039,39,The default quarantine path is quarantine/protected-content/ or a maintainer-approved equivalent.,@repo/governance/CONTRIBUTION_REVIEW_CHECKLIST.md:L134|domains/chirality-piping/_Decomposition/source_review_html/SRC-GOVERNANCE-CONTRIBUTION-REVIEW-CHECKLIST.html#SEC-PD042-0010,2d6ef8a41efb,IN,SEC-PD042-0010,UNIT-PD042-0001,,
HBA-PD042-00040,40,"Quarantined material must not be copied into public examples, converted into public defaults, or used as public fixture data while the review remains unresolved.",@repo/governance/CONTRIBUTION_REVIEW_CHECKLIST.md:L139|domains/chirality-piping/_Decomposition/source_review_html/SRC-GOVERNANCE-CONTRIBUTION-REVIEW-CHECKLIST.html#SEC-PD042-0010,669791c12eea,IN,SEC-PD042-0010,UNIT-PD042-0001,,
