AtomicUnitID,LocalSeq,UnitStatement,SourceRef,ContentHash,InOutStatus,SectionID,DispatchUnitID,Corrects,Notes
HBA-PD028-00001,1,"This scope-change brief describes how OpenPipeStress_PRD_v0.2.md differs from the earlier PRD.md, written for software-development agents changing OpenPipeStress's scope of work.",@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L3|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0001,2558546061dd,IN,SEC-PD028-0001,UNIT-PD028-0001,,
HBA-PD028-00012,12,The new PRD describes OpenPipeStress as an analysis-grade piping design engine and stress-model authoring environment.,@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L33|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0005,39ed4384db2c,IN,SEC-PD028-0005,UNIT-PD028-0001,,
HBA-PD028-00013,13,The new PRD states the product is not intended to become an industry-standard professional stress-analysis platform or replace authenticated commercial software.,@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L35|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0005,ac91bf420f56,IN,SEC-PD028-0005,UNIT-PD028-0001,,
HBA-PD028-00014,14,"The product operates earlier in the design workflow, where routes, supports, constraints, equipment interfaces, and design assumptions are still evolving.",@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L35|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0005,b7a2c63e086d,IN,SEC-PD028-0005,UNIT-PD028-0001,,
HBA-PD028-00015,15,Future development should not treat the product as merely an open-source CAESAR II or AutoPIPE substitute; it should support a broader design-authoring workflow.,@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L39|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0006,4478ef599c35,IN,SEC-PD028-0006,UNIT-PD028-0001,,
HBA-PD028-00016,16,The intended design-authoring workflow proceeds: design knowledge to physical model to analytical model to internal solve to route/support iteration to saved model states to comparison to handoff package to external validation by a professional tool.,@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L48|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0006,64063a0b70ab,IN,SEC-PD028-0006,UNIT-PD028-0001,,
HBA-PD028-00017,17,The solver remains core but is no longer the whole product.,@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L53|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0006,1d79f6810f0f,IN,SEC-PD028-0006,UNIT-PD028-0001,,
HBA-PD028-00018,18,"The original PRD already included non-goals: it would not claim ASME certification, would not replace the responsible engineer, and would not provide automatic legal interpretation of piping codes.",@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L61|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0008,b9ed791229be,IN,SEC-PD028-0008,UNIT-PD028-0001,,
HBA-PD028-00019,19,"The product boundary is not defined by solver capability; OpenPipeStress shall have a full analytical engine, and the boundary is defined by claim authority.",@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L67|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0009,fa966e669be9,IN,SEC-PD028-0009,UNIT-PD028-0001,,
HBA-PD028-00020,20,"Governing distinction: OpenPipeStress computes and helps design, the external prover tool validates for reliance, and the responsible engineer accepts.",@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L72|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0009,cabe479b26f8,IN,SEC-PD028-0009,UNIT-PD028-0001,,
HBA-PD028-00021,21,"Do not weaken the solver because the tool is non-authoritative; the solver should still be correct, deterministic, benchmarked, and useful.",@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L79|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0010,92adc125a922,IN,SEC-PD028-0010,UNIT-PD028-0001,,
HBA-PD028-00022,22,"UI labels, reports, exports, comparison screens, agent output, and documentation must avoid language implying final approval, certification, code compliance for reliance, or professional acceptance.",@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L81|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0010,4f38bd8d8a23,IN,SEC-PD028-0010,UNIT-PD028-0001,,
HBA-PD028-00023,23,"The original PRD required project files, a model tree, a property editor, GUI modeling, and round-trippable data, but described the model mostly as a stress-analysis input file.",@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L89|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0012,6e780e1956fa,IN,SEC-PD028-0012,UNIT-PD028-0001,,
HBA-PD028-00024,24,"The new PRD makes the schema-backed physical model the central source of truth and distinguishes three model layers: physical model, analytical model, and handoff model.",@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L93|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0013,f5d66d83ce7b,IN,SEC-PD028-0013,UNIT-PD028-0001,,
HBA-PD028-00025,25,"The physical model is richer than the analytical model, including geometry, components, supports, constraints, equipment interfaces, provenance, unresolved assumptions, and design intent.",@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L101|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0013,138039deb026,IN,SEC-PD028-0013,UNIT-PD028-0001,,
HBA-PD028-00026,26,The analytical model is the idealized solver-ready representation; the handoff model is the target-specific export representation.,@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L101|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0013,cda0e4d45ebd,IN,SEC-PD028-0013,UNIT-PD028-0001,,
HBA-PD028-00027,27,"Future agents should implement model architecture as layered data, not as one flat solver input schema.",@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L105|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0014,f98ba20e77ec,IN,SEC-PD028-0014,UNIT-PD028-0001,,
HBA-PD028-00028,28,"Required architecture shift: from project file to solver model to results/report, toward physical model to analytical transform to solver run to result state, plus handoff transform to downstream package.",@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L115|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0014,f4fb12b0ea6d,IN,SEC-PD028-0014,UNIT-PD028-0001,,
HBA-PD028-00029,29,"The physical model should support design entities that may not directly appear in the solver, such as routing corridors, no-go volumes, supportable zones, design knowledge records, unresolved assumptions, and agent operation rationale.",@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L118|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0014,ed5ea0f78270,IN,SEC-PD028-0014,UNIT-PD028-0001,,
HBA-PD028-00030,30,"The original PRD focused on materials, components, load cases, private rule packs, solver inputs, and reports, and did not define a broad design knowledge layer.",@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L126|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0016,4d93fc03e97b,IN,SEC-PD028-0016,UNIT-PD028-0001,,
HBA-PD028-00031,31,"The new PRD adds a full Design Knowledge concept including line lists, P&ID-derived connectivity, equipment/nozzle locations, pipe specifications, routing corridors, no-go volumes, rack elevations, supportable structural zones, valve access, slope/drain/vent requirements, insulation/clearance envelopes, construction constraints, owner preferences, and stress-review triggers.",@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L130|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0017,89bde5e8d222,IN,SEC-PD028-0017,UNIT-PD028-0001,,
HBA-PD028-00032,32,"The new PRD adds a constraint engine for connectivity, endpoint matching, supportable span ranges, clearance envelopes, no-go volumes, slope requirements, drain/vent logic, valve access zones, supportable structure zones, and missing required data.",@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L132|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0017,887f29627ef6,IN,SEC-PD028-0017,UNIT-PD028-0001,,
HBA-PD028-00033,33,"Add new domain modules beyond the stress solver: design_knowledge, constraints, routing_context, support_zones, equipment_interfaces, clearance_volumes, and provenance.",@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L136|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0018,4bed7a8289d6,IN,SEC-PD028-0018,UNIT-PD028-0001,,
HBA-PD028-00034,34,"The GUI should allow users to enter, inspect, and validate design constraints, and future route/support generation should consume this layer rather than inventing geometry directly.",@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L148|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0018,598cdf38baf1,IN,SEC-PD028-0018,UNIT-PD028-0001,,
HBA-PD028-00035,35,"The original GUI requirements included a 3D centerline viewport, model tree, property inspector, material and component library editors, load-case manager, rule-pack manager, solver console, results browser, and report generator.",@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L156|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0020,759e070cb4d3,IN,SEC-PD028-0020,UNIT-PD028-0001,,
HBA-PD028-00036,36,"The new GUI scope adds operation history, a design knowledge panel, a constraint/warning panel, a model state and analysis run browser, a comparison browser, comparison overlays, routing corridors, no-go volumes, supportable zones, and model-state overlay comparisons.",@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L160|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0021,6b1ac9e28373,IN,SEC-PD028-0021,UNIT-PD028-0001,,
HBA-PD028-00037,37,"The GUI should be designed as an interactive model authoring environment, not only as a stress-input editor.",@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L175|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0022,74701892a11d,IN,SEC-PD028-0022,UNIT-PD028-0001,,
HBA-PD028-00038,38,"The viewport must support analysis overlays: deformed shape, reactions, displacements, stresses, and terminal loads.",@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L184|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0022,6ffba80fe3dd,IN,SEC-PD028-0022,UNIT-PD028-0001,,
HBA-PD028-00039,39,"The viewport must support design overlays: route corridors, forbidden zones, support zones, clearance envelopes, changed entities, and comparison overlays.",@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L190|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0022,cef9d2b660c2,IN,SEC-PD028-0022,UNIT-PD028-0001,,
HBA-PD028-00040,40,"The expanded GUI scope likely affects scene graph design, entity selection, property binding, undo/redo, operation history, and model-state visualization.",@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L196|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0022,326c430cba31,IN,SEC-PD028-0022,UNIT-PD028-0001,,
HBA-PD028-00041,41,"The original PRD did not meaningfully include agent-assisted design; it focused on human GUI workflow, rule packs, solver, validation, and reports.",@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L204|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0024,c057a79c9750,IN,SEC-PD028-0024,UNIT-PD028-0001,,
HBA-PD028-00042,42,"The new PRD adds an agent-enhanced workflow where agents may propose route/support/model changes, but proposals must become structured model operations, pass schema and constraint validation, be shown as diffs, and require user acceptance unless configured otherwise.",@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L208|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0025,fe71a2e8bcb9,IN,SEC-PD028-0025,UNIT-PD028-0001,,
HBA-PD028-00043,43,Do not let agent features mutate the model through free-form text or hidden side effects.,@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L212|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0026,ffc3381fec28,IN,SEC-PD028-0026,UNIT-PD028-0001,,
HBA-PD028-00044,44,Implement an operation pipeline: agent/user instruction to proposed model operation to schema validation to constraint validation to diff preview to user accept/reject to committed model state.,@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L216|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0026,71fd0fa75fd8,IN,SEC-PD028-0026,UNIT-PD028-0001,,
HBA-PD028-00045,45,"Future development should introduce a formal operation model early, even before advanced agents exist.",@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L226|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0026,8e35a8381c73,IN,SEC-PD028-0026,UNIT-PD028-0001,,
HBA-PD028-00046,46,"Example operation categories: add_route_segment, move_node, insert_bend, add_support, change_support_type, modify_pipe_section, add_no_go_volume, assign_material, and revise_load_case.",@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L231|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0026,cbae98824412,IN,SEC-PD028-0026,UNIT-PD028-0001,,
HBA-PD028-00047,47,The original PRD required create/open/save/version projects and reproducible reports but did not define immutable model states or analysis runs as first-class entities.,@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L248|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0028,ad2663aa8060,IN,SEC-PD028-0028,UNIT-PD028-0001,,
HBA-PD028-00048,48,"Model State is defined as a named, immutable snapshot of a model at a point in time.",@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L254|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0029,4b09bcdb4c35,IN,SEC-PD028-0029,UNIT-PD028-0001,,
HBA-PD028-00049,49,Analysis Run is defined as a solver execution attached to a specific model state.,@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L255|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0029,59a1e2cb45e0,IN,SEC-PD028-0029,UNIT-PD028-0001,,
HBA-PD028-00050,50,Comparison is defined as a deterministic diff between two model states and/or two analysis runs.,@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L256|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0029,031db9e4656b,IN,SEC-PD028-0029,UNIT-PD028-0001,,
HBA-PD028-00051,51,"Each analysis run must bind to exact model state, solver version, settings, units, load cases, and rule-pack/library references.",@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L258|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0029,652d4470916a,IN,SEC-PD028-0029,UNIT-PD028-0001,,
HBA-PD028-00052,52,"The persistence model needs to support immutable snapshots and run records, not just mutable project files.",@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L262|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0030,d2994bd6e070,IN,SEC-PD028-0030,UNIT-PD028-0001,,
HBA-PD028-00053,53,"A Project contains ModelState records, each with PhysicalModel, AnalyticalInputBasis, Assumptions, Warnings, and Hash.",@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L266|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0030,4e7d3a138f12,IN,SEC-PD028-0030,UNIT-PD028-0001,,
HBA-PD028-00054,54,"A Project contains AnalysisRun records, each with model_state_id, solver_version, settings, load_cases, diagnostics, results, and results_hash.",@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L275|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0030,6764c2463816,IN,SEC-PD028-0030,UNIT-PD028-0001,,
HBA-PD028-00055,55,"Model state and analysis run infrastructure also affects report generation, reproducibility, comparison, undo/redo, export, and validation.",@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L285|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0030,60bc09618de4,IN,SEC-PD028-0030,UNIT-PD028-0001,,
HBA-PD028-00056,56,"The original PRD included validation benchmarks, report reproducibility, and possible commercial software comparison as an open question, but no product feature for comparing model states or analysis result sets.",@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L293|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0032,2bc6d7c3e6ba,IN,SEC-PD028-0032,UNIT-PD028-0001,,
