LocalSeq,UnitStatement,SourceRef,ContentHash,InOutStatus,SectionID,DispatchUnitID,Corrects,Notes
1,"YAML front matter: doc_id OPS-SOFTWARE-DECOMP, doc_kind decomposition.software, revision 0.7, governed_by OPS-CONTRACT.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L1|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0002,3909871a49a6,OUT,SEC-EG001-0002,UNIT-EG001-0001,,Metadata block; not a technical claim.
12,"The MVP Local Storage Profile (SQLite project store/embedded local database/project index) is accepted by SCA-003 as the MVP physical storage substrate, while canonical JSON/JCS remains the domain contract.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L62|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0006,517ba579a6d4,IN,SEC-EG001-0006,UNIT-EG001-0001,,
13,A Retrieval Sidecar (BM25/FTS5 index or optional NumPy cache) is a rebuildable local index/cache and is not canonical storage or interchange truth.,@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L63|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0006,74dcbc99f48f,IN,SEC-EG001-0006,UNIT-EG001-0001,,
14,By default large external files are referenced in place by path/URI plus hash/metadata (External Artifact Reference); portable copy/export is a later explicit workflow.,@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L64|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0006,cdb16a893269,IN,SEC-EG001-0006,UNIT-EG001-0001,,
15,Architecture Basis is PKG-00 SEMANTIC_READY material approved by SCA-001 for downstream sealed briefs without changing lifecycle state to ISSUED.,@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L68|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0006,650163780790,IN,SEC-EG001-0006,UNIT-EG001-0001,,
16,SOW-001: The project shall produce a source-available noncommercial piping stress analysis platform.,@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L91|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,e7a63b0deb94,IN,SEC-EG001-0007,UNIT-EG001-0001,,
17,SOW-002: The software shall remain code-neutral: the solver computes mechanics and user-supplied rule packs evaluate acceptability.,@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L92|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,7018bbd25f38,IN,SEC-EG001-0007,UNIT-EG001-0001,,
18,"SOW-003: The public repository shall not redistribute protected standards text, tables, figures, examples, material allowables, SIF tables, flexibility-factor tables, or protected dimensional tables.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L93|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,c7d3f56ad82d,IN,SEC-EG001-0007,UNIT-EG001-0001,,
19,SOW-004: The system shall require users to supply code-specific and project-specific data needed for code checks.,@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L94|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,a33958ccfa0c,IN,SEC-EG001-0007,UNIT-EG001-0001,,
20,SOW-005: The analytical core shall model piping as a 3D centerline/frame system with six degrees of freedom per node.,@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L95|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,f15826a864b6,IN,SEC-EG001-0007,UNIT-EG001-0001,,
21,SOW-006: The solver shall implement straight pipe elements with open mechanics section and stiffness calculations.,@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L96|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,ca443b7cfcb0,IN,SEC-EG001-0007,UNIT-EG001-0001,,
22,"SOW-007: The component model shall support bends and elbows with user-entered SIFs, flexibility factors, and bend geometry.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L97|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,66cb039bd5da,IN,SEC-EG001-0007,UNIT-EG001-0001,,
23,"SOW-008: The component model shall support branch connections with user-entered reinforcement, SIF, flexibility, and local data fields.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L98|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,8c73b1b48729,IN,SEC-EG001-0007,UNIT-EG001-0001,,
24,"SOW-009: The component model shall support rigid and semi-rigid valves, flanges, reducers, and specialty items using user-supplied dimensions, weights, and centers of gravity.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L99|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,501becd3997f,IN,SEC-EG001-0007,UNIT-EG001-0001,,
25,"SOW-010: The component model shall support expansion joints using manufacturer/user-supplied stiffness, effective area, movement limits, and hardware data.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L100|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,5e6b5b3fc223,IN,SEC-EG001-0007,UNIT-EG001-0001,,
26,"SOW-011: The solver shall support anchors, guides, line stops, vertical supports, springs, and imposed displacements.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L101|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,575a64a3ddaa,IN,SEC-EG001-0007,UNIT-EG001-0001,,
27,"SOW-012: The solver shall support nonlinear support behavior such as one-way restraints, lift-off, gaps, and friction through a controlled iterative method.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L102|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,586d6c30cc29,IN,SEC-EG001-0007,UNIT-EG001-0001,,
28,"SOW-013: The analysis engine shall support primitive load cases for weight, pressure, thermal expansion, imposed displacement, hydrotest, wind, seismic, and occasional loads.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L103|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,e241fa164110,IN,SEC-EG001-0007,UNIT-EG001-0001,,
29,SOW-014: The analysis engine shall support unit-aware load-case algebra and user-defined combinations.,@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L104|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,b5d04c9c3493,IN,SEC-EG001-0007,UNIT-EG001-0001,,
30,"SOW-015: The stress module shall recover fundamental mechanics stresses from forces, moments, pressure, and section properties.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L105|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,64388b7b3fd3,IN,SEC-EG001-0007,UNIT-EG001-0001,,
31,"SOW-016: The product shall provide a private rule-pack schema for user-defined stress checks, allowables, formulas, and pass/fail criteria.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L106|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,bbc21b331962,IN,SEC-EG001-0007,UNIT-EG001-0001,,
32,"SOW-017: The product shall support private material libraries with temperature-dependent properties, allowables, and provenance fields.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L107|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,2bc7124b9428,IN,SEC-EG001-0007,UNIT-EG001-0001,,
33,SOW-018: The product shall support private pipe section and component libraries with provenance and redistribution status.,@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L108|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,ce6ce3e6f1f5,IN,SEC-EG001-0007,UNIT-EG001-0001,,
34,SOW-019: The public project shall accept component data only when provenance and redistribution rights are documented.,@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L109|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,0fc62a1a17bf,IN,SEC-EG001-0007,UNIT-EG001-0001,,
35,SOW-020: The GUI shall provide a 3D centerline modeler with model tree and piping component visualization.,@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L110|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,8e42d8f578b4,IN,SEC-EG001-0007,UNIT-EG001-0001,,
36,"SOW-021: The GUI shall provide editors for materials, sections, components, load cases, supports, rule packs, and private libraries.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L111|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,81114d5972ac,IN,SEC-EG001-0007,UNIT-EG001-0001,,
37,SOW-022: The GUI shall distinguish data required for solving from data required for code checking and shall block/qualify results when required data is missing.,@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L112|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,4e43e39c0cd8,IN,SEC-EG001-0007,UNIT-EG001-0001,,
38,"SOW-023: The GUI shall provide results review for displacements, rotations, forces, moments, restraint reactions, equipment loads, stresses, and ratios.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L113|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,01b55e4580d6,IN,SEC-EG001-0007,UNIT-EG001-0001,,
39,"SOW-024: The product shall generate auditable calculation reports including inputs, sources, warnings, assumptions, results, rule-pack checksums, and limitations.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L114|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,a16ce8ee3458,IN,SEC-EG001-0007,UNIT-EG001-0001,,
40,"SOW-025: All calculations, schemas, imports, exports, and rule evaluations shall be unit-aware.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L115|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,a2e1f660e8aa,IN,SEC-EG001-0007,UNIT-EG001-0001,,
41,"SOW-026: The project shall maintain verification benchmarks, regression tests, and numerical quality checks for solver and stress recovery behavior.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L116|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,26e964d9116c,IN,SEC-EG001-0007,UNIT-EG001-0001,,
42,SOW-027: The project shall maintain a validation manual that distinguishes mechanics verification from code compliance and professional signoff.,@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L117|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,f2e253b485c0,IN,SEC-EG001-0007,UNIT-EG001-0001,,
43,"SOW-028: The repository shall include contributor governance, IP controls, and review procedures preventing copyrighted standards data from entering the public project.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L118|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,b268743cdf92,IN,SEC-EG001-0007,UNIT-EG001-0001,,
44,"SOW-029: The product shall be local-first and shall protect private rule packs, private material data, private component data, and project models.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L119|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,4f892acef4db,IN,SEC-EG001-0007,UNIT-EG001-0001,,
45,"SOW-030: The architecture shall support public APIs, plugins, and import/export adapters for integration with external tools.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L120|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,9b2dfc4ab456,IN,SEC-EG001-0007,UNIT-EG001-0001,,
46,SOW-031: The product shall support optional handoff of selected local-detail problems to external shell/solid FEA workflows.,@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L121|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,4a8c548bd5d3,IN,SEC-EG001-0007,UNIT-EG001-0001,,
47,"SOW-032: The project shall provide reproducible build, packaging, and CI/CD workflows for supported platforms.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L122|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,07e83984417e,IN,SEC-EG001-0007,UNIT-EG001-0001,,
48,SOW-033: The project shall provide user/developer documentation and invented-data examples for education and testing.,@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L123|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,4fb0122e79fc,IN,SEC-EG001-0007,UNIT-EG001-0001,,
49,"SOW-034: The product shall preserve professional responsibility boundaries: agents/software do not certify, approve, seal, or declare engineering code compliance for reliance.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L124|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,b2270082e996,IN,SEC-EG001-0007,UNIT-EG001-0001,,
50,SOW-035: The solver shall be designed for sparse numerical performance and reproducible results on practical piping models.,@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L125|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,5d18f5eae4de,IN,SEC-EG001-0007,UNIT-EG001-0001,,
51,SOW-036: The GUI and reports shall support baseline accessibility and usability appropriate for engineering review.,@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L126|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,13a7831cc85a,IN,SEC-EG001-0007,UNIT-EG001-0001,,
52,"SOW-037: Telemetry, if implemented, shall be opt-in, privacy-preserving, and shall not transmit private project/code data.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L127|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,9fbd3c51f2d4,IN,SEC-EG001-0007,UNIT-EG001-0001,,
53,"SOW-038: The software architecture shall be extensible without allowing plugins/adapters to bypass governance, unit safety, or data-boundary constraints.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L128|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,c1690486f289,IN,SEC-EG001-0007,UNIT-EG001-0001,,
54,"SOW-039: The product shall produce reproducibility artifacts such as model hashes, solver version, rule-pack checksum, and input manifest.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L129|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,b3449e6ac472,IN,SEC-EG001-0007,UNIT-EG001-0001,,
55,"SOW-040: The product shall implement private data handling controls, including redaction/export safeguards where reports or shared models may expose protected/private values.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L130|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,1283c6987754,IN,SEC-EG001-0007,UNIT-EG001-0001,,
56,"SOW-041: The project shall define machine-readable project, model, material, component, load, result, and report schemas.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L131|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,e29128f6ea28,IN,SEC-EG001-0007,UNIT-EG001-0001,,
57,"SOW-042: Rule packs shall be versioned, source-noted, checksum-addressed, and explicitly marked for redistribution status.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L132|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,52a6f0a4129d,IN,SEC-EG001-0007,UNIT-EG001-0001,,
58,"SOW-043: The report system shall prohibit automatic inclusion of protected code text, copied standards tables, or proprietary formulas in generated public reports/templates.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L133|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,45c3b101bb67,IN,SEC-EG001-0007,UNIT-EG001-0001,,
59,SOW-044: The product shall provide import mechanisms that record source/provenance/license metadata for component and material data.,@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L134|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,3bb9837a2ed0,IN,SEC-EG001-0007,UNIT-EG001-0001,,
60,"SOW-045: The rule-pack evaluator shall be sandboxed and unit-aware, not arbitrary executable code.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L135|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,b0d914199058,IN,SEC-EG001-0007,UNIT-EG001-0001,,
61,"SOW-046: The product shall support result exports suitable for review, regression comparison, and downstream tooling.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L136|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,87a562f2abe0,IN,SEC-EG001-0007,UNIT-EG001-0001,,
62,"SOW-047: The product shall clearly distinguish mechanics solved, rule-pack checked, and professionally code-compliant/human-approved states.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L137|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,8c19f06a845f,IN,SEC-EG001-0007,UNIT-EG001-0001,,
63,"SOW-048: The project shall define project license, governance, release, and maintainer policies.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L138|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,c1d94814b9ad,IN,SEC-EG001-0007,UNIT-EG001-0001,,
64,SOW-049: The project shall define criteria for when global beam analysis is sufficient and when local shell/solid analysis handoff is needed.,@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L139|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,8f0876c272e9,IN,SEC-EG001-0007,UNIT-EG001-0001,,
65,"SOW-050: The product shall support create/open/save/versioned project persistence with deterministic round-trip serialization of models, units, loads, rule-pack references, and provenance metadata.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L140|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,e64b78b5df4a,IN,SEC-EG001-0007,UNIT-EG001-0001,,
66,SOW-051: The product shall calculate pipe section and mass properties from user-entered dimensions and material data with unit checks.,@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L141|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,b14cdccb0ba5,IN,SEC-EG001-0007,UNIT-EG001-0001,,
67,"SOW-052: The load engine shall support concentrated forces, concentrated moments, and distributed user loads in addition to core primitive piping load categories.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L142|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,55875c1ba8df,IN,SEC-EG001-0007,UNIT-EG001-0001,,
68,"SOW-053: The solver shall detect and report singular, ill-conditioned, and nonconverged analysis states with deterministic diagnostics.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L143|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,a446b703074c,IN,SEC-EG001-0007,UNIT-EG001-0001,,
69,"SOW-054: The project shall provide a headless command-line or structured I/O analysis runner for early solver verification, regression, and automation.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L144|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,086059885947,IN,SEC-EG001-0007,UNIT-EG001-0001,,
70,"SOW-055: The GUI shall keep solve execution reviewable with background solve execution, progress, cancellation, and diagnostic presentation.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L145|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,4f0985c6a3d5,IN,SEC-EG001-0007,UNIT-EG001-0001,,
71,"SOW-056: The project shall select and record implementation stack, runtime, GUI framework, solver-library, and packaging target decisions before implementation work proceeds.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L146|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,8db034d49da7,IN,SEC-EG001-0007,UNIT-EG001-0001,,
72,"SOW-057: The project shall define repository/module architecture, ownership boundaries, dependency rules, and layer responsibilities before package-level implementation proceeds.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L147|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,1f728831317b,IN,SEC-EG001-0007,UNIT-EG001-0001,,
73,"SOW-058: The project shall define application-service command, query, background job, cancellation, and transaction boundaries between GUI, headless runner, domain core, solver, storage, and reporting.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L148|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,9ec693c2e58e,IN,SEC-EG001-0007,UNIT-EG001-0001,,
74,"SOW-059: The project shall define persistence format, schema-versioning, migration, canonicalization, and deterministic round-trip strategy before project-file implementation proceeds.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L149|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,d2ca1d014479,IN,SEC-EG001-0007,UNIT-EG001-0001,,
75,"SOW-060: The project shall define GUI state, editing, selection, undo/redo, viewport integration, and user workflow architecture before GUI feature slices proceed.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L150|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,32f4f005ae4c,IN,SEC-EG001-0007,UNIT-EG001-0001,,
76,"SOW-061: The project shall define diagnostics, warning classes, errors, result envelopes, and user-facing/machine-readable failure contracts across solver, rule packs, GUI, CLI, reports, and adapters.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L151|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,6b9e4daded51,IN,SEC-EG001-0007,UNIT-EG001-0001,,
77,"SOW-062: The project shall define public and internal API boundaries between GUI, application services, domain core, solver, storage, reporting, private libraries, plugins, and adapters.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L152|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,5ae0e5ea4502,IN,SEC-EG001-0007,UNIT-EG001-0001,,
78,"SOW-063: The project shall define layered software test strategy and acceptance gates for architecture, schemas, services, solver, GUI, CLI, reports, packaging, security, and regressions.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L153|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,68eb27edba67,IN,SEC-EG001-0007,UNIT-EG001-0001,,
79,SOW-064: The product shall be scoped as an analysis-grade piping design engine and stress-model authoring environment with a full internal solver and non-authoritative professional reliance boundary.,@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L154|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,b410cf690cd5,IN,SEC-EG001-0007,UNIT-EG001-0001,,
