PackageID,DeliverableID,Title,FolderPath,LifecycleState,RequirementIDScheme,RequirementIDs,RemainingPresent,RemainingItemCount,BootstrapItemPresent,NonBootstrapItems,GateSuffixes,SelectableUnderCurrentLoop
PKG-01,DEL-01-03,Contributor certification workflow,"execution/PKG-01_Governance, IP Boundary, and Professional Responsibility/1_Working/DEL-01-03_Contributor certification workflow",IN_PROGRESS,DEL-01-03-REQ-*,DEL-01-03-REQ-01;DEL-01-03-REQ-02;DEL-01-03-REQ-03;DEL-01-03-REQ-04;DEL-01-03-REQ-05;DEL-01-03-REQ-06;DEL-01-03-REQ-07;DEL-01-03-REQ-08,PRESENT,4,YES,"[Stand up the contributor intake mechanism if external contributions open (gated: D-07b) (source: PRD plan §3 E6 row / DE] src=PRD plan §3 E6 row / DEC-027 / register row D-07b; [Complete the §17.5 pre-release legal review, explicitly including the E6 public issue templates and all public-facing la] src=PRD plan §3 E6 row / TP-E6-ISSUETEMPLATES-001 residual; [Wire projects/chirality-piping/.github/ISSUE_TEMPLATE/ to the public repository root .github/ISSUE_TEMPLATE/ in the sani] src=TP-E6-ISSUETEMPLATES-001 residuals",gated: D-07b; gated: owner/counsel; UNGATED,YES
PKG-01,DEL-01-04,Professional responsibility and product-claims policy,"execution/PKG-01_Governance, IP Boundary, and Professional Responsibility/1_Working/DEL-01-04_Professional responsibility and product-claims policy",IN_PROGRESS,DEL-01-04-R*,DEL-01-04-R01;DEL-01-04-R02;DEL-01-04-R03;DEL-01-04-R04;DEL-01-04-R05;DEL-01-04-R06;DEL-01-04-R07;DEL-01-04-R08;DEL-01-04-R09;DEL-01-04-R10,PRESENT,1,YES,NONE,NONE,NO
PKG-02,DEL-02-01,Canonical domain model schema,"execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-01_Canonical domain model schema",IN_PROGRESS,REQ-02-01-*,REQ-02-01-01;REQ-02-01-02;REQ-02-01-03;REQ-02-01-04;REQ-02-01-05;REQ-02-01-06;REQ-02-01-07;REQ-02-01-08;REQ-02-01-09;REQ-02-01-10;REQ-02-01-11;REQ-02-01-12,PRESENT,1,YES,NONE,NONE,NO
PKG-02,DEL-02-02,Unit system and dimensional-analysis core contract,"execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-02_Unit system and dimensional-analysis core contract",IN_PROGRESS,U-*,U-001;U-002;U-003;U-004;U-005;U-006;U-007;U-008;U-009;U-010;U-011;U-012;U-013;U-014;U-015;U-016,PRESENT,1,YES,NONE,NONE,NO
PKG-02,DEL-02-03,Code-neutral analysis boundary model,"execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-03_Code-neutral analysis boundary model",IN_PROGRESS,DEL-02-03-R*,DEL-02-03-R01;DEL-02-03-R02;DEL-02-03-R03;DEL-02-03-R04;DEL-02-03-R05;DEL-02-03-R06;DEL-02-03-R07;DEL-02-03-R08;DEL-02-03-R09;DEL-02-03-R10;DEL-02-03-R11;DEL-02-03-R12,PRESENT,1,YES,NONE,NONE,NO
PKG-02,DEL-02-04,Plugin and extension domain contracts,"execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-04_Plugin and extension domain contracts",IN_PROGRESS,DEL-02-04-REQ-*,DEL-02-04-REQ-01;DEL-02-04-REQ-02;DEL-02-04-REQ-03;DEL-02-04-REQ-04;DEL-02-04-REQ-05;DEL-02-04-REQ-06;DEL-02-04-REQ-07;DEL-02-04-REQ-08;DEL-02-04-REQ-09;DEL-02-04-REQ-10;DEL-02-04-REQ-11;DEL-02-04-REQ-12;DEL-02-04-REQ-13;DEL-02-04-REQ-14;DEL-02-04-REQ-15;DEL-02-04-REQ-16;DEL-02-04-REQ-17;DEL-02-04-REQ-18,PRESENT,1,YES,NONE,NONE,NO
PKG-02,DEL-02-05,Project persistence and round-trip serialization,"execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-05_Project persistence and round-trip serialization",IN_PROGRESS,REQ-02-05-*,REQ-02-05-001;REQ-02-05-002;REQ-02-05-003;REQ-02-05-004;REQ-02-05-005;REQ-02-05-006;REQ-02-05-007;REQ-02-05-008;REQ-02-05-009;REQ-02-05-010;REQ-02-05-011;REQ-02-05-012;REQ-02-05-013;REQ-02-05-014;REQ-02-05-015;REQ-02-05-016;REQ-02-05-017;REQ-02-05-018;REQ-02-05-019;REQ-02-05-020;REQ-02-05-021;REQ-02-05-022;REQ-02-05-023;REQ-02-05-024;REQ-02-05-025;REQ-02-05-026,PRESENT,3,YES,"[Close FR-001 residuals: explicit migrate operation, compatibility-window semantics, and `.opsproj` multi-member containe] src=PRD plan §4 FR-001 row / DEC-028/DEC-057; [H2 / F-5b: relocate DEC-019 migration evaluation into a wasm-compilable crate, replace `projectService.ts` `evaluateMode] src=PRD plan §3 hardening row H2",UNGATED; UNGATED,YES
PKG-03,DEL-03-01,Material library schema with provenance,"execution/PKG-03_Piping Components, Materials, and Library Data Model/1_Working/DEL-03-01_Material library schema with provenance",IN_PROGRESS,REQ-03-01-*,REQ-03-01-001;REQ-03-01-002;REQ-03-01-003;REQ-03-01-004;REQ-03-01-005;REQ-03-01-006;REQ-03-01-007;REQ-03-01-008;REQ-03-01-009,PRESENT,1,YES,NONE,NONE,NO
PKG-03,DEL-03-02,Pipe section and component library schema,"execution/PKG-03_Piping Components, Materials, and Library Data Model/1_Working/DEL-03-02_Pipe section and component library schema",IN_PROGRESS,DEL-03-02-REQ-*,DEL-03-02-REQ-01;DEL-03-02-REQ-02;DEL-03-02-REQ-03;DEL-03-02-REQ-04;DEL-03-02-REQ-05;DEL-03-02-REQ-06;DEL-03-02-REQ-07;DEL-03-02-REQ-08;DEL-03-02-REQ-09;DEL-03-02-REQ-10;DEL-03-02-REQ-11;DEL-03-02-REQ-12;DEL-03-02-REQ-13,PRESENT,1,YES,NONE,NONE,NO
PKG-03,DEL-03-03,Bend and elbow component model fields,"execution/PKG-03_Piping Components, Materials, and Library Data Model/1_Working/DEL-03-03_Bend and elbow component model fields",IN_PROGRESS,R*,R01;R02;R03;R04;R05;R06;R07;R08;R09;R10;R11,PRESENT,1,YES,NONE,NONE,NO
PKG-03,DEL-03-04,Branch connection component model fields,"execution/PKG-03_Piping Components, Materials, and Library Data Model/1_Working/DEL-03-04_Branch connection component model fields",IN_PROGRESS,DEL-03-04-RQ-*,DEL-03-04-RQ-001;DEL-03-04-RQ-002;DEL-03-04-RQ-003;DEL-03-04-RQ-004;DEL-03-04-RQ-005;DEL-03-04-RQ-006;DEL-03-04-RQ-007,PRESENT,1,YES,NONE,NONE,NO
PKG-03,DEL-03-05,"Rigid component models for valves, flanges, reducers, and specialty items","execution/PKG-03_Piping Components, Materials, and Library Data Model/1_Working/DEL-03-05_Rigid component models for valves, flanges, reducers, and specialty items",IN_PROGRESS,R*,R01;R02;R03;R04;R05;R06;R07;R08;R09;R10;R11,PRESENT,1,YES,NONE,NONE,NO
PKG-03,DEL-03-06,Expansion joint component model,"execution/PKG-03_Piping Components, Materials, and Library Data Model/1_Working/DEL-03-06_Expansion joint component model",IN_PROGRESS,DEL-03-06-R-*,DEL-03-06-R-001;DEL-03-06-R-002;DEL-03-06-R-003;DEL-03-06-R-004;DEL-03-06-R-005;DEL-03-06-R-006;DEL-03-06-R-007;DEL-03-06-R-008;DEL-03-06-R-009,PRESENT,1,YES,NONE,NONE,NO
PKG-03,DEL-03-07,Public-private library import provenance checker,"execution/PKG-03_Piping Components, Materials, and Library Data Model/1_Working/DEL-03-07_Public-private library import provenance checker",IN_PROGRESS,DEL-03-07-R*,DEL-03-07-R1;DEL-03-07-R2;DEL-03-07-R3;DEL-03-07-R4;DEL-03-07-R5;DEL-03-07-R6;DEL-03-07-R7,PRESENT,1,YES,NONE,NONE,NO
PKG-03,DEL-03-08,Pipe section property and mass-property calculator,"execution/PKG-03_Piping Components, Materials, and Library Data Model/1_Working/DEL-03-08_Pipe section property and mass-property calculator",IN_PROGRESS,DEL-03-08-RQ-*,DEL-03-08-RQ-001;DEL-03-08-RQ-002;DEL-03-08-RQ-003;DEL-03-08-RQ-004;DEL-03-08-RQ-005;DEL-03-08-RQ-006;DEL-03-08-RQ-007,PRESENT,1,YES,NONE,NONE,NO
PKG-04,DEL-04-01,3D frame stiffness kernel,execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-01_3D frame stiffness kernel,IN_PROGRESS,DEL-04-01-REQ-*,DEL-04-01-REQ-001;DEL-04-01-REQ-002;DEL-04-01-REQ-003;DEL-04-01-REQ-004;DEL-04-01-REQ-005;DEL-04-01-REQ-006;DEL-04-01-REQ-007;DEL-04-01-REQ-008;DEL-04-01-REQ-009;DEL-04-01-REQ-010;DEL-04-01-REQ-011;DEL-04-01-REQ-012,PRESENT,3,YES,[Treat arc pressure-thrust beyond the recorded straight-chord treatment for curved-bend macro spans (source: Receipt 11 n] src=Receipt 11 named remainder / TP-PMM-P1-CURVEDBEND-004 boundaries; [Verify mechanics-program §5 completion: assessment gap rows G1/G2/G4 and M2/M3 methods defects closed or explicitly re-d] src=mechanics plan §5 / DEC-066–070,UNGATED; gated: owner re-disposition where not closed by evidence,YES
PKG-04,DEL-04-02,Straight pipe element,execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-02_Straight pipe element,IN_PROGRESS,DEL-04-02-RQ-*,DEL-04-02-RQ-001;DEL-04-02-RQ-002;DEL-04-02-RQ-003;DEL-04-02-RQ-004;DEL-04-02-RQ-005;DEL-04-02-RQ-006;DEL-04-02-RQ-007,PRESENT,1,YES,NONE,NONE,NO
PKG-04,DEL-04-03,Linear support and restraint models,execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-03_Linear support and restraint models,IN_PROGRESS,DEL-04-03-R*,DEL-04-03-R01;DEL-04-03-R02;DEL-04-03-R03;DEL-04-03-R04;DEL-04-03-R05;DEL-04-03-R06;DEL-04-03-R07;DEL-04-03-R08;DEL-04-03-R09;DEL-04-03-R10;DEL-04-03-R11;DEL-04-03-R12,PRESENT,2,YES,[Implement full constant-effort spring-hanger solve behavior beyond the landed user-data slice (catalog sizing and protec] src=PRD plan §3 D5 row / DEC-049,UNGATED,YES
PKG-04,DEL-04-04,Nonlinear support active-set solver,execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-04_Nonlinear support active-set solver,IN_PROGRESS,DEL-04-04-REQ-*,DEL-04-04-REQ-01;DEL-04-04-REQ-02;DEL-04-04-REQ-03;DEL-04-04-REQ-04;DEL-04-04-REQ-05;DEL-04-04-REQ-06;DEL-04-04-REQ-07;DEL-04-04-REQ-08;DEL-04-04-REQ-09,PRESENT,5,YES,[Resolve sliding-direction dependence on the prior iterate (anti-chatter / friction path-history follow-on) (gated: new D] src=mechanics plan §4 / Receipt 6 / TP-PMM-P2-FRICTION-001 §Boundaries; [Promote non-seed force/displacement convergence thresholds beyond the accepted thirteen-fixture multi-support set (see a] src=PRD plan §3 Phase D D6/D9 rows / DEC-046; [Promote broader displacement/reaction-delta and energy thresholds beyond the accepted current-seed/thirteen-fixture/prod] src=PRD plan §3 D6/D9 rows; [Promote broader multi-DOF/multi-support acceptance thresholds and external validation convergence thresholds (stage-gate] src=PRD plan §3 D9 row / DEC-052/DEC-054 residual list,gated: new D-XX ruling per mechanics plan §4; UNGATED; UNGATED; stage-gated: R5 release evidence,YES
PKG-04,DEL-04-05,Sparse solver performance harness,execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-05_Sparse solver performance harness,IN_PROGRESS,DEL-04-05-RQ-*,DEL-04-05-RQ-001;DEL-04-05-RQ-002;DEL-04-05-RQ-003;DEL-04-05-RQ-004;DEL-04-05-RQ-005;DEL-04-05-RQ-006;DEL-04-05-RQ-007,PRESENT,3,YES,"[Promote release/external sparse thresholds: timing, allocator/RSS memory, conditioning beyond the pivot-ratio proxy, and] src=PRD plan §3 D7 row + Phase D sparse update / DEC-050/DEC-053; [Provide hosted-CI sparse evidence once public-export CI activates (gated: D-05b conditions per DEC-059) (source: PRD pla] src=PRD plan §3 D7 row",stage-gated: R5 release; gated: D-05b conditions per DEC-059,NO
PKG-04,DEL-04-06,Solver diagnostics and singularity detection,execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-06_Solver diagnostics and singularity detection,IN_PROGRESS,REQ-04-06-*,REQ-04-06-001;REQ-04-06-002;REQ-04-06-003;REQ-04-06-004;REQ-04-06-005;REQ-04-06-006;REQ-04-06-007;REQ-04-06-008;REQ-04-06-009;REQ-04-06-010;REQ-04-06-011,PRESENT,1,YES,NONE,NONE,NO
PKG-05,DEL-05-01,Primitive load case engine,"execution/PKG-05_Loads, Load Cases, and Stress Recovery/1_Working/DEL-05-01_Primitive load case engine",IN_PROGRESS,REQ-05-01-*,REQ-05-01-001;REQ-05-01-002;REQ-05-01-003;REQ-05-01-004;REQ-05-01-005;REQ-05-01-006;REQ-05-01-007;REQ-05-01-008;REQ-05-01-009;REQ-05-01-010;REQ-05-01-011;REQ-05-01-012,PRESENT,2,YES,[Extend wind marking to sub-span (partial-extent) exposure in occasional-load generation — whole-span exposed_pipe_refs m] src=Receipt 6 residual / TP-PMM-P3-OCCLOADGEN-001 §Boundaries / DEC-068 item 2,UNGATED,YES
PKG-05,DEL-05-02,Load-case algebra engine,"execution/PKG-05_Loads, Load Cases, and Stress Recovery/1_Working/DEL-05-02_Load-case algebra engine",IN_PROGRESS,REQ-05-02-*,REQ-05-02-001;REQ-05-02-002;REQ-05-02-003;REQ-05-02-004;REQ-05-02-005;REQ-05-02-006;REQ-05-02-007;REQ-05-02-008;REQ-05-02-009,PRESENT,3,YES,"[Implement declared temperature interpolation between user-entered property points, replacing the exact-selection conserv] src=Receipt 6 / TP-PMM-P3-MODULUSBASIS-001 §Boundaries / register row D-38; [Extend temperature indexing to shear modulus, currently base value under any basis (gated: D-38) (source: Receipt 6 resi] src=Receipt 6 residual / TP-PMM-P3-MODULUSBASIS-001 §Boundaries",gated: D-38; gated: D-38,NO
PKG-05,DEL-05-03,Fundamental stress recovery module,"execution/PKG-05_Loads, Load Cases, and Stress Recovery/1_Working/DEL-05-03_Fundamental stress recovery module",IN_PROGRESS,DEL-05-03-RQ-*,DEL-05-03-RQ-001;DEL-05-03-RQ-002;DEL-05-03-RQ-003;DEL-05-03-RQ-004;DEL-05-03-RQ-005;DEL-05-03-RQ-006;DEL-05-03-RQ-007;DEL-05-03-RQ-008;DEL-05-03-RQ-009,PRESENT,1,YES,NONE,NONE,NO
PKG-05,DEL-05-04,Analysis status semantics,"execution/PKG-05_Loads, Load Cases, and Stress Recovery/1_Working/DEL-05-04_Analysis status semantics",IN_PROGRESS,REQ-05-04-*,REQ-05-04-001;REQ-05-04-002;REQ-05-04-003;REQ-05-04-004;REQ-05-04-005;REQ-05-04-006;REQ-05-04-007;REQ-05-04-008;REQ-05-04-009;REQ-05-04-010;REQ-05-04-011;REQ-05-04-012;REQ-05-04-013;REQ-05-04-014,PRESENT,1,YES,NONE,NONE,NO
PKG-05,DEL-05-05,Concentrated and distributed user load application,"execution/PKG-05_Loads, Load Cases, and Stress Recovery/1_Working/DEL-05-05_Concentrated and distributed user load application",IN_PROGRESS,DEL-05-05-R*,DEL-05-05-R1;DEL-05-05-R2;DEL-05-05-R3;DEL-05-05-R4;DEL-05-05-R5;DEL-05-05-R6;DEL-05-05-R7;DEL-05-05-R8;DEL-05-05-R9;DEL-05-05-R10,PRESENT,1,YES,NONE,NONE,NO
PKG-06,DEL-06-01,Rule-pack schema,execution/PKG-06_Rule Packs and User-Supplied Code Check Engine/1_Working/DEL-06-01_Rule-pack schema,IN_PROGRESS,REQ-06-01-*,REQ-06-01-001;REQ-06-01-002;REQ-06-01-003;REQ-06-01-004;REQ-06-01-005;REQ-06-01-006;REQ-06-01-007;REQ-06-01-008;REQ-06-01-009;REQ-06-01-010;REQ-06-01-011;REQ-06-01-012,PRESENT,1,YES,NONE,NONE,NO
PKG-06,DEL-06-02,Sandboxed unit-aware expression evaluator,execution/PKG-06_Rule Packs and User-Supplied Code Check Engine/1_Working/DEL-06-02_Sandboxed unit-aware expression evaluator,IN_PROGRESS,REQ-06-02-*,REQ-06-02-001;REQ-06-02-002;REQ-06-02-003;REQ-06-02-004;REQ-06-02-005;REQ-06-02-006;REQ-06-02-007;REQ-06-02-008;REQ-06-02-009;REQ-06-02-010;REQ-06-02-011,PRESENT,1,YES,NONE,NONE,NO
PKG-06,DEL-06-03,Required-input completeness checker,execution/PKG-06_Rule Packs and User-Supplied Code Check Engine/1_Working/DEL-06-03_Required-input completeness checker,IN_PROGRESS,R-DEL-06-03-*,R-DEL-06-03-001;R-DEL-06-03-002;R-DEL-06-03-003;R-DEL-06-03-004;R-DEL-06-03-005;R-DEL-06-03-006;R-DEL-06-03-007,PRESENT,1,YES,NONE,NONE,NO
PKG-06,DEL-06-04,Private rule-pack lifecycle and checksum handling,execution/PKG-06_Rule Packs and User-Supplied Code Check Engine/1_Working/DEL-06-04_Private rule-pack lifecycle and checksum handling,IN_PROGRESS,R-06-04-*,R-06-04-001;R-06-04-002;R-06-04-003;R-06-04-004;R-06-04-005;R-06-04-006;R-06-04-007;R-06-04-008;R-06-04-009;R-06-04-010;R-06-04-011;R-06-04-012,PRESENT,1,YES,NONE,NONE,NO
PKG-06,DEL-06-05,Invented non-code example rule pack,execution/PKG-06_Rule Packs and User-Supplied Code Check Engine/1_Working/DEL-06-05_Invented non-code example rule pack,IN_PROGRESS,DEL-06-05-REQ-*,DEL-06-05-REQ-01;DEL-06-05-REQ-02;DEL-06-05-REQ-03;DEL-06-05-REQ-04;DEL-06-05-REQ-05;DEL-06-05-REQ-06;DEL-06-05-REQ-07;DEL-06-05-REQ-08,PRESENT,1,YES,NONE,NONE,NO
PKG-07,DEL-07-01,3D viewport and centerline editor,execution/PKG-07_Graphical User Interface and Engineering Workflow/1_Working/DEL-07-01_3D viewport and centerline editor,IN_PROGRESS,DEL-07-01-REQ-*,DEL-07-01-REQ-01;DEL-07-01-REQ-02;DEL-07-01-REQ-03;DEL-07-01-REQ-04;DEL-07-01-REQ-05;DEL-07-01-REQ-06;DEL-07-01-REQ-07;DEL-07-01-REQ-08;DEL-07-01-REQ-09;DEL-07-01-REQ-10,PRESENT,1,YES,NONE,NONE,NO
PKG-07,DEL-07-02,Model tree and property inspector,execution/PKG-07_Graphical User Interface and Engineering Workflow/1_Working/DEL-07-02_Model tree and property inspector,IN_PROGRESS,DEL-07-02-RQ-*,DEL-07-02-RQ-001;DEL-07-02-RQ-002;DEL-07-02-RQ-003;DEL-07-02-RQ-004;DEL-07-02-RQ-005;DEL-07-02-RQ-006;DEL-07-02-RQ-007;DEL-07-02-RQ-008,PRESENT,5,YES,"[Add GUI entry/emission of the model-level modulus_basis_records table (schema model.schema.yaml; per-load-case modulus_b] src=Receipt 10 delta / model.schema.yaml; [Broaden app unit entry/pickers beyond the covered B-tail surfaces (residual hardening, select when it de-risks current-s] src=PRD plan §3 Phase B-tail row / FR-002; [Backfill unit tests and factoring for LoadCaseManagerPanel, PipeViewport, PropertyInspector (see also DEL-07-01) (source] src=PRD plan §3 hardening row H3 / seam plan §9.4; [Complete broader canvas gestures and full model-tree/property-editor UX beyond landed selection/creation/drafting (sourc] src=PRD plan §4 FR-003/FR-013/FR-014 A3 residuals",UNGATED; UNGATED; UNGATED; UNGATED,YES
PKG-07,DEL-07-03,"Material, component, and rule-pack editors","execution/PKG-07_Graphical User Interface and Engineering Workflow/1_Working/DEL-07-03_Material, component, and rule-pack editors",IN_PROGRESS,DEL-07-03-R-*,DEL-07-03-R-001;DEL-07-03-R-002;DEL-07-03-R-003;DEL-07-03-R-004;DEL-07-03-R-005;DEL-07-03-R-006;DEL-07-03-R-007;DEL-07-03-R-008;DEL-07-03-R-009;DEL-07-03-R-010;DEL-07-03-R-011;DEL-07-03-R-012;DEL-07-03-R-013,PRESENT,1,YES,NONE,NONE,NO
PKG-07,DEL-07-04,Missing-data warning and blocking UX,execution/PKG-07_Graphical User Interface and Engineering Workflow/1_Working/DEL-07-04_Missing-data warning and blocking UX,IN_PROGRESS,R-DEL-07-04-*,R-DEL-07-04-001;R-DEL-07-04-002;R-DEL-07-04-003;R-DEL-07-04-004;R-DEL-07-04-005;R-DEL-07-04-006;R-DEL-07-04-007;R-DEL-07-04-008;R-DEL-07-04-009;R-DEL-07-04-010;R-DEL-07-04-011;R-DEL-07-04-012;R-DEL-07-04-013,PRESENT,1,YES,NONE,NONE,NO
PKG-07,DEL-07-05,Results viewer,execution/PKG-07_Graphical User Interface and Engineering Workflow/1_Working/DEL-07-05_Results viewer,IN_PROGRESS,REQ-07-05-*,REQ-07-05-001;REQ-07-05-002;REQ-07-05-003;REQ-07-05-004;REQ-07-05-005;REQ-07-05-006;REQ-07-05-007;REQ-07-05-008;REQ-07-05-009,PRESENT,2,YES,[Add governing-ratio result views once rule-check ratio rows are surfaced (source: PRD plan §4 FR-015 A6 residual)] src=PRD plan §4 FR-015 A6 residual,UNGATED,YES
PKG-07,DEL-07-06,Accessibility and usability baseline,execution/PKG-07_Graphical User Interface and Engineering Workflow/1_Working/DEL-07-06_Accessibility and usability baseline,IN_PROGRESS,DEL-07-06-RQ-*,DEL-07-06-RQ-001;DEL-07-06-RQ-002;DEL-07-06-RQ-003;DEL-07-06-RQ-004;DEL-07-06-RQ-005;DEL-07-06-RQ-006;DEL-07-06-RQ-007;DEL-07-06-RQ-008;DEL-07-06-RQ-009;DEL-07-06-RQ-010,PRESENT,2,YES,[Run a packaged-Tauri smoke over a saved project with edited load data (source: PRD plan §4 FR-007 A4 residual / seam pla] src=PRD plan §4 FR-007 A4 residual / seam plan §9.5,UNGATED,YES
PKG-07,DEL-07-07,"Solve execution UX- progress, cancellation, and diagnostics","execution/PKG-07_Graphical User Interface and Engineering Workflow/1_Working/DEL-07-07_Solve execution UX- progress, cancellation, and diagnostics",IN_PROGRESS,REQ-07-07-*,REQ-07-07-001;REQ-07-07-002;REQ-07-07-003;REQ-07-07-004;REQ-07-07-005;REQ-07-07-006;REQ-07-07-007;REQ-07-07-008;REQ-07-07-009;REQ-07-07-010;REQ-07-07-011,PRESENT,1,YES,NONE,NONE,NO
PKG-07,DEL-07-08,Design-authoring state and comparison workspace,execution/PKG-07_Graphical User Interface and Engineering Workflow/1_Working/DEL-07-08_Design-authoring state and comparison workspace,IN_PROGRESS,REQ-07-08-*,REQ-07-08-001;REQ-07-08-002;REQ-07-08-003;REQ-07-08-004;REQ-07-08-005;REQ-07-08-006;REQ-07-08-007;REQ-07-08-008;REQ-07-08-009;REQ-07-08-010,PRESENT,1,YES,NONE,NONE,NO
PKG-08,DEL-08-01,Calculation report generator,"execution/PKG-08_Reporting, Audit, and Reproducibility/1_Working/DEL-08-01_Calculation report generator",IN_PROGRESS,R-08-01-*,R-08-01-001;R-08-01-002;R-08-01-003;R-08-01-004;R-08-01-005;R-08-01-006;R-08-01-007;R-08-01-008;R-08-01-009;R-08-01-010,PRESENT,4,YES,[Bind the report-package seam: desktop menu binding + caller-side atomic on-disk save (write-temp/rename per the D-09 pac] src=Receipt 10 named remainders / TP-E3-CONTAINER-001 residuals; [Add the cross-layer TypeScript-to-Rust component-provenance test (hardening) (source: PRD plan §3 Phase D current-state ] src=PRD plan §3 Phase D current-state note on TP-R4-D8-COMPPROVREPORT-001; [Define the .opsproj container compatibility-window/versioning policy beyond schema_version 1.0.0 (DEC-028 bounded-tranch] src=TP-E3-CONTAINER-001 residuals,UNGATED; UNGATED; UNGATED,YES
PKG-08,DEL-08-02,Audit manifest and model hash,"execution/PKG-08_Reporting, Audit, and Reproducibility/1_Working/DEL-08-02_Audit manifest and model hash",IN_PROGRESS,DEL-08-02-R*,DEL-08-02-R1;DEL-08-02-R2;DEL-08-02-R3;DEL-08-02-R4;DEL-08-02-R5;DEL-08-02-R6;DEL-08-02-R7;DEL-08-02-R8;DEL-08-02-R9;DEL-08-02-R10,PRESENT,1,YES,NONE,NONE,NO
