CapabilityID,Capability,EntryPoints,Tests,Notes
RC-02-0011,"Invented calculation report input, state-comparison handoff parity case and component-provenance projection used by report assembly, rendering and PDF emission checks.",projects/chirality-piping/fixtures/reports/,projects/chirality-piping/tests/test_report_generator_contract.py;projects/chirality-piping/tests/test_state_comparison_handoff_report_sections.py;projects/chirality-piping/core/reporting/report_package/tests/container.rs;projects/chirality-piping/core/reporting/report_renderer/tests/render.rs;projects/chirality-piping/core/reporting/pdf_emitter/tests/emit.rs;projects/chirality-piping/apps/desktop/src/features/report/reportPackageRequest.test.ts;projects/chirality-piping/apps/desktop/src/features/report/stateComparisonHandoffSections.test.ts,Three files. The calculation report fixture is also read by apps/desktop/src-tauri/src/lib.rs and validation/witness input generation.
RC-02-0012,"Declares which project checks run for which changed paths (desktop build/test, Python tests, evidence sweep, harness checks) for the repository affected-check runner.",projects/chirality-piping/software-workflow.json;tools/software_workflow/select_affected_checks.py;tools/software_workflow/run_registered_checks.py,NONE_FOUND,"Consumed by repository-root software-workflow tools; their tests use temporary profiles, not this file."
RC-02-0013,"Explains the product intent in prose: code-neutral mechanics premise, user-supplied code data, rule packs, engine, GUI, component library, reporting, validation and governance intent.",projects/chirality-piping/docs/INTENT.md,NONE_FOUND,Governing narrative.
RC-02-0014,"Explains build and release practice: repository baseline, reproducibility inputs, local check profiles, packaging skeleton, future CI mapping and release artifact record fields.",projects/chirality-piping/docs/BUILD_AND_RELEASE.md,projects/chirality-piping/tests/test_release_readiness_script.py;projects/chirality-piping/tests/test_release_packaging_script.py,Release packaging script and artifact record follow its section 8 fields; cited by desktop build-readiness panel.
RC-02-0015,"Defines versioned JSON result envelopes for review, regression comparison, reports and headless automation, with a dispatcher over legacy and current versions.",projects/chirality-piping/schemas/results.schema.yaml;projects/chirality-piping/schemas/results.v0.1.schema.yaml;projects/chirality-piping/schemas/results.v0.2.schema.yaml,projects/chirality-piping/tests/test_results_schema.py;projects/chirality-piping/tests/test_result_export_v0_2.py;projects/chirality-piping/tests/test_headless_runner_contract.py;projects/chirality-piping/apps/desktop/src/features/results/HistoricalRunContext.test.tsx,results.schema.yaml inlines both version contracts; results.v0.1.schema.yaml keeps the dispatcher's $id rather than its own. The v0.2 file describes itself as a candidate. Referenced by core/runner/headless and core/reporting/report_generator.
RC-02-0016,"Provides per-case validation pages for nonlinear support benchmarks (gaps, lift-off, one-way, friction stick/slide, multi-DOF assemblies, nonconvergence limit).",projects/chirality-piping/docs/validation_manual/cases/nonlinear/,NONE_FOUND,28 generated pages; regenerable by the case-page generator.
RC-02-0017,"Declares the toolkit command vocabulary with status and route, and decides availability from selection type and count, undo/redo history and busy state.",projects/chirality-piping/apps/desktop/src/features/toolkit/capabilityCatalog.ts::toolkitCapabilities;projects/chirality-piping/apps/desktop/src/features/toolkit/capabilityCatalog.ts::capabilityAvailability;projects/chirality-piping/apps/desktop/src/features/toolkit/capabilityCatalog.ts::capabilityRoute;projects/chirality-piping/apps/desktop/src/features/toolkit/capabilityCatalog.ts::toolkitRoadmap,projects/chirality-piping/apps/desktop/src/features/toolkit/ToolkitPalette.test.tsx,Status values are self-declared; several entries are partial or gated and routes only focus existing panels.
RC-02-0018,Measures shell chrome height and reserves the remaining space for the 3D canvas without feedback from the canvas itself.,projects/chirality-piping/apps/desktop/src/features/workspace/workspaceCanvasBudget.ts,projects/chirality-piping/apps/desktop/src/features/workspace/workspaceCanvasBudget.test.ts,
RC-02-0019,"Defines the headless runner request and result envelope for non-GUI solve, benchmark, regression and audit-manifest runs.",projects/chirality-piping/schemas/headless_runner.schema.yaml,projects/chirality-piping/tests/test_headless_runner_contract.py,Only the contract test references the schema file by name. It also appears in recorded validation sweep evidence.
RC-02-0020,Provides the pilot section-property stress calculation witness with its experimental content dictionary and deterministic Markdown and MathML renderings.,projects/chirality-piping/validation/witness/fixtures/tp_phys_015_section_property_stress_witness.json;projects/chirality-piping/validation/witness/content_dictionaries/ops_mechanics_cd.json;projects/chirality-piping/validation/witness/generated/tp_phys_015_section_property_stress_witness.mathml;projects/chirality-piping/validation/hand_calcs/stress/generated/tp_phys_015_section_property_stress_witness.md,projects/chirality-piping/tests/test_calculation_witness.py,Only one witness exists; the format is a pilot.
RC-02-0021,"Builds a native open JSON interchange package preserving model identity, stable IDs, units, provenance, diagnostics and loss reporting, and writes it through the controlled route.",projects/chirality-piping/core/handoff/native_json/package.py::build_native_json_export_package;projects/chirality-piping/core/handoff/native_json/package.py::diagnostics_for_native_json_export_package;projects/chirality-piping/core/handoff/native_json/package.py::write_native_json_export_package;projects/chirality-piping/core/handoff/native_json/package.py::canonical_json;projects/chirality-piping/core/handoff/native_json/__init__.py,projects/chirality-piping/tests/test_native_json_export_package.py,"Python only, reached from tests; no desktop or API caller found."
RC-02-0022,"Result envelope fixtures: the 0.2 semantic contract table, 0.2 export accept and reject cases, and canonical solve and section-property stress evidence envelopes.",projects/chirality-piping/fixtures/results/,projects/chirality-piping/tests/test_results_schema.py;projects/chirality-piping/tests/test_result_export_v0_2.py;projects/chirality-piping/tests/test_stress_neutral_export_package.py;projects/chirality-piping/tests/test_analysis_run_compatibility.py;projects/chirality-piping/tests/test_calculation_witness.py;projects/chirality-piping/core/reporting/result_export/tests/derivative_contract.rs;projects/chirality-piping/apps/desktop/src/features/result-export/resultExportAdapter.test.ts;projects/chirality-piping/apps/desktop/src/features/results/resultSemantics.test.ts,"Five files. The semantic contract table is also read at runtime by core/reporting/result_export, core/handoff/stress_neutral/package_v0_2.py, core/analysis_runs/compatibility.py and the desktop stress-neutral panel."
RC-02-0023,"Creates and deletes load cases and primitive loads (e.g. concentrated forces) and edits their magnitudes, blocking deletion of load cases used by combinations.",projects/chirality-piping/core/model_operations/operation_applier/src/lib.rs::resolve_create_load_case;projects/chirality-piping/core/model_operations/operation_applier/src/lib.rs::resolve_delete_load_case;projects/chirality-piping/core/model_operations/operation_applier/src/lib.rs::resolve_create_primitive_load;projects/chirality-piping/core/model_operations/operation_applier/src/lib.rs::resolve_delete_primitive_load;projects/chirality-piping/core/model_operations/operation_applier/src/lib.rs::load_case_combination_references,projects/chirality-piping/core/model_operations/operation_applier/tests/contract_corpus.rs;projects/chirality-piping/apps/desktop/src/services/operationContractCorpus.test.ts;projects/chirality-piping/apps/desktop/src/App.test.tsx;projects/chirality-piping/apps/desktop/e2e/r2-smoke.spec.ts,
RC-02-0024,Invented native JSON export package used as golden output.,projects/chirality-piping/fixtures/native_json/,projects/chirality-piping/tests/test_native_json_export_package.py,One file.
RC-02-0025,"Defines comparison participants, manual and automatic mappings, unmatched classifications and JSON/CSV/report-section export semantics for review.",projects/chirality-piping/schemas/comparison_mapping.schema.json,projects/chirality-piping/tests/test_comparison_contracts.py;projects/chirality-piping/tests/test_analysis_run_comparison.py,Referenced by core/handoff/exporter/workflow.py.
RC-02-0026,"Describes the unit core contract: storage convention for quantities, catalog scope, temperature and pressure semantics and what the crate does not wire.",projects/chirality-piping/core/units/README.md,NONE_FOUND,"Some statements describe an earlier phase and say units are not yet wired into application fields, which later code does."
RC-02-0027,"Invented preview project data (model, mechanics result, demo rule pack, design knowledge, agent proposal, a from-blank GUI rehearsal script and a temperature/gravity solve request).",projects/chirality-piping/fixtures/product_preview/,projects/chirality-piping/tests/test_headless_runner_contract.py;projects/chirality-piping/tests/test_results_schema.py;projects/chirality-piping/tests/test_analysis_run_records.py;projects/chirality-piping/apps/desktop/e2e/r2-smoke.spec.ts;projects/chirality-piping/apps/desktop/e2e/gui-workflow-validation.spec.ts;projects/chirality-piping/apps/desktop/src/App.test.tsx;projects/chirality-piping/core/product_physics/src/lib.rs,"Seven files. Unlike most fixture families, this one is shipped runtime input: core/product_preview/service.py, the headless runner binaries, apps/desktop/src-tauri/src/lib.rs and apps/desktop/src/services/previewService.ts load it. The mechanics result is about 640 KB."
RC-02-0028,"Runs named or whole mechanics, stress and nonlinear benchmark and regression cases and compares observations with recorded suite values, failing closed on gaps.",projects/chirality-piping/core/runner/headless/src/benchmark_binding.rs::run_benchmark_cases;projects/chirality-piping/core/runner/headless/src/benchmark_binding.rs::run_regression_cases;projects/chirality-piping/core/runner/headless/src/bin/openpipestress-runner.rs::execute_suite_verb,projects/chirality-piping/core/runner/headless/src/benchmark_binding.rs::tests::mechanics_whole_suite_is_25_cases_206_values_and_preserves_original_11_91;projects/chirality-piping/core/runner/headless/src/benchmark_binding.rs::tests::unknown_mechanics_fixture_id_fails_closed;projects/chirality-piping/core/runner/headless/src/benchmark_binding.rs::tests::stress_and_nonlinear_whole_suites_remain_matched;projects/chirality-piping/core/runner/headless/src/bin/openpipestress-runner.rs::tests::run_benchmark_executes_named_mechanics_case_and_matches_recorded_values;projects/chirality-piping/core/runner/headless/src/bin/openpipestress-runner.rs::tests::run_regression_executes_full_nonlinear_inventory_and_matches,Reuses the suite crates' own comparison predicates; adds no tolerance. Results are regression evidence only.
RC-02-0029,"Defines local-first redaction and export-control configuration, decisions and findings for report and export representations without mutating source data.",projects/chirality-piping/schemas/redaction_export_controls.schema.yaml,projects/chirality-piping/tests/security/test_redaction_export_controls.py;projects/chirality-piping/apps/desktop/src/features/redaction-controls/redactionExportControls.test.ts,Referenced by core/handoff/exporter/workflow.py and the desktop redaction-controls feature.
RC-02-0030,Invented valid hanger library plus a large table of accept and reject hanger import cases with expected diagnostic codes.,projects/chirality-piping/fixtures/hanger/,projects/chirality-piping/tests/test_hanger_library_schema.py;projects/chirality-piping/tests/test_library_import_provenance.py;projects/chirality-piping/core/library_import/library_import_document/tests/provenance_parity.rs,Two files. The case table has 86 cases (about 440 KB) and is shared by the Python and Rust import checks.
RC-02-0031,"Provides a release notes template covering identity, changed surfaces, validation evidence, limitations, data and privacy boundary, professional notice, reproducibility and human review.",projects/chirality-piping/docs/RELEASE_NOTES_TEMPLATE.md,projects/chirality-piping/tests/test_release_readiness_script.py,Required by the release readiness checker.
RC-02-0032,Shared invented redaction and export-control cases used by both the Python and desktop redaction implementations to check parity.,projects/chirality-piping/fixtures/redaction_export_controls/,projects/chirality-piping/tests/security/test_redaction_export_controls.py;projects/chirality-piping/apps/desktop/src/features/redaction-controls/redactionExportControls.test.ts,One file with 23 cases. core/runner/headless/src/redaction_binding.rs also reads it.
RC-02-0033,"States the verification and validation strategy: principle, benchmark families, validation manual structure, release gate, benchmark source rule and evidence-bundle storage.",projects/chirality-piping/docs/VALIDATION_STRATEGY.md,projects/chirality-piping/tests/test_release_readiness_script.py,Required by the release readiness checker; cited by desktop evidence panels.
RC-02-0034,"Provides the maintainer checklist for reviewing a contribution: identity, rights evidence, protected-content, private-data and product-claim screens, tests, disposition and quarantine.",projects/chirality-piping/governance/CONTRIBUTION_REVIEW_CHECKLIST.md,NONE_FOUND,Checklist; no tool consumes it.
RC-02-0035,Invented public demonstration rule pack showing rule-pack structure without engineering values.,projects/chirality-piping/examples/rule_packs/invented_demo.yaml,projects/chirality-piping/tests/test_rule_pack_schema.py;projects/chirality-piping/tests/test_report_protected_content_linter.py;projects/chirality-piping/core/rules/rule_pack_document/tests/invented_demo_document.rs;projects/chirality-piping/core/rules/rule_check_runner/tests/invented_demo_run.rs;projects/chirality-piping/core/rules/rule_check_runner/tests/acceptability_relation_run.rs,"Relates to fixtures/product_preview/invented_demo_rule_pack.json, which cites it."
RC-02-0036,"Enforces the library import provenance and quarantine rules in the desktop runtime, projecting findings into the import-boundary diagnostic envelope used before a library is stored.",projects/chirality-piping/core/library_import/library_import_document/src/lib.rs::validate_library_import_tokens;projects/chirality-piping/core/library_import/library_import_document/Cargo.toml;projects/chirality-piping/core/library_import/library_import_document/Cargo.lock;projects/chirality-piping/apps/desktop/src-tauri/src/lib.rs::validate_library_import,projects/chirality-piping/core/library_import/library_import_document/tests/provenance_parity.rs;projects/chirality-piping/core/library_import/library_import_document/src/lib.rs::tests;projects/chirality-piping/apps/desktop/src/services/libraryImportService.test.ts;projects/chirality-piping/apps/desktop/src/features/library/LibraryManagerPanel.test.tsx,Rust port of the Python checker; parity pinned by shared invented fixtures.
RC-02-0037,"Builds a solve-run timeline over queued, running, cancelling, cancelled, completed and failed states, with cancellation summary and pending-terminal-state warning.",projects/chirality-piping/core/gui/solve_execution/engine.py::build_solve_execution_ux;projects/chirality-piping/core/gui/solve_execution/__init__.py,projects/chirality-piping/tests/test_solve_execution_ux.py,Python contract only; does not run solvers.
RC-02-0038,"Records how desktop CI selects checks, assigns coverage and duration, schedules full checkpoints and integration, and prepares dependency caches.",projects/chirality-piping/docs/CI_STRATEGY.md,NONE_FOUND,Short; describes behaviour implemented in CI tooling outside this area.
RC-02-0039,Developer example that solves the invented preview fixture and prints the mechanics envelope as JSON.,projects/chirality-piping/core/product_physics/examples/preview_result.rs,NONE_FOUND,Cargo example; no product path.
RC-02-0040,"Tells contributors what may be contributed, the required certification, review routing, rejection and quarantine rules, and test and evidence expectations.",projects/chirality-piping/CONTRIBUTING.md,projects/chirality-piping/tests/test_export_public_openpipestress.py,Included in public export.
RC-02-0041,"Defines report-facing warnings, assumptions, user-supplied values, provenance notes, limitations, open items and human-review findings.",projects/chirality-piping/schemas/report_sections.schema.yaml,projects/chirality-piping/tests/test_report_sections_contract.py,Referenced by core/reporting/report_generator/src/lib.rs and apps/desktop/src/features/report/renderableReportInput.ts.
RC-02-0042,"Provides the canonical dimension vocabulary, exponent-vector algebra and a closed SI/US unit catalog with SI-canonical units and definitional constants.",projects/chirality-piping/core/units/src/lib.rs::catalog;projects/chirality-piping/core/units/src/lib.rs::Dimension;projects/chirality-piping/core/units/src/lib.rs::DimensionVector;projects/chirality-piping/core/units/Cargo.toml;projects/chirality-piping/core/units/Cargo.lock,projects/chirality-piping/core/units/src/lib.rs::tests,"Consumed by the operation engine, product physics, rule-check runner and the desktop backend."
RC-02-0043,"Composes design-knowledge, constraint-warning, state/run browser, comparison tables, graphical overlays and operation diff-review panels into inspectable workspace state.",projects/chirality-piping/core/gui/design_workspace/engine.py::build_design_authoring_comparison_workspace;projects/chirality-piping/core/gui/design_workspace/__init__.py,projects/chirality-piping/tests/test_design_authoring_comparison_workspace.py,Python record builder; the desktop design workspace panel cites this module path as metadata only.
RC-02-0044,"Creates and validates references to external artifacts carried in a project envelope, including hash evidence.",projects/chirality-piping/core/project_persistence/service.py::external_artifact_reference;projects/chirality-piping/core/project_persistence/service.py::validate_external_artifact_references,projects/chirality-piping/tests/test_project_persistence_service.py,
RC-02-0045,"Recovers from a singular first iteration caused by inactive contact seeds by one all-active retrial, and identifies eligible potential contact DOFs.",projects/chirality-piping/core/solver/nonlinear_integration/src/lib.rs::eligible_contact_dofs,projects/chirality-piping/core/solver/nonlinear_integration/src/lib.rs::tests::contact_recovery_warning_preserves_original_singular_seed_provenance;projects/chirality-piping/core/solver/nonlinear_integration/src/lib.rs::tests::contact_recovery_caps_and_later_singularity_are_honest,Only one recovery is permitted and it is recorded as a warning; later singularity remains a failure. Product physics calls the eligibility helper.
RC-02-0046,Invented persisted preview project document used for persistence round-trip checks.,projects/chirality-piping/fixtures/persistence/,projects/chirality-piping/tests/test_persistence_schema.py;projects/chirality-piping/tests/test_project_persistence_service.py,One file.
RC-02-0047,"Provides invented linear mechanics benchmark fixtures with expected values, units and provenance, compared against solver output and exposed to the headless runner's benchmark command.",projects/chirality-piping/validation/benchmarks/mechanics/src/lib.rs::fixture_inventory;projects/chirality-piping/validation/benchmarks/mechanics/Cargo.toml;projects/chirality-piping/validation/benchmarks/mechanics/Cargo.lock;projects/chirality-piping/validation/benchmarks/mechanics/README.md;projects/chirality-piping/validation/benchmarks/mechanics/fixtures/tp_phys_014_canonical_analytical_payload.json,projects/chirality-piping/validation/benchmarks/mechanics/src/lib.rs;projects/chirality-piping/core/runner/headless/src/benchmark_binding.rs,Comparison values are regression evidence only; tolerance policy is recorded as unresolved. Also surfaced by the desktop validation-evidence panel.
RC-02-0048,"Classifies missing-data, provenance, assumption, solve-required and code-check-required conditions into warning or blocking records mapped to analysis statuses.",projects/chirality-piping/core/gui/warnings/engine.py::build_warning_ux_contract;projects/chirality-piping/core/gui/warnings/__init__.py,projects/chirality-piping/tests/test_missing_data_warning_ux.py,Python contract only; no product-runtime caller found.
RC-02-0049,"Records an earlier task run that produced the unit crate, with its scope, tools and outcome.",projects/chirality-piping/core/units/_run_records/TASK_RUN_2026-06-12_0136.md,NONE_FOUND,Historical run evidence stored inside a code folder; carries an absolute path from another machine.
RC-02-0050,Invented educational example models: a mechanics-only toy span and a toy model for a fake rule pack.,projects/chirality-piping/examples/models/invented/,projects/chirality-piping/tests/test_invented_example_models.py,Two files. They are marked as unsuitable for engineering reliance. Only tests consume them.
RC-02-0051,"Lets the user orient the camera with isometric, front and top presets, a view cube and orientation gizmo, orbit navigation, and fit to model, visible items or selection.",projects/chirality-piping/apps/desktop/src/features/viewport/PipeViewport.tsx::fitViewportCamera;projects/chirality-piping/apps/desktop/src/features/viewport/viewportSelection.ts::fittedViewportDistance;projects/chirality-piping/apps/desktop/src/features/viewport/viewportSelection.ts::displayedBoundsForEntityKeys;projects/chirality-piping/apps/desktop/src/features/viewport/viewportResource.ts::GIZMO_THEME_PALETTES;projects/chirality-piping/apps/desktop/src/features/viewport/viewportResource.ts::ViewportResource.cancelNavigation,projects/chirality-piping/apps/desktop/src/features/viewport/viewportSelection.test.ts;projects/chirality-piping/apps/desktop/src/features/viewport/viewportResource.test.ts;projects/chirality-piping/apps/desktop/e2e/ui-foundation.spec.ts;projects/chirality-piping/apps/desktop/e2e/r2-smoke.spec.ts,Fit commands are dispatched through a typed view-command channel owned by the parent shell.
RC-02-0052,Builds the private checked canonical-JSON adapter executable with Cargo so Python tests and development can use it.,projects/chirality-piping/tools/serialization/build_checked_json.py::build,projects/chirality-piping/tests/conftest.py,Invoked by the pytest session setup when no executable path is supplied. The runtime adapter never builds it itself and only points users here.
RC-02-0053,"Checks table editing, section and material editing, undo/redo and save/open session status end to end.",projects/chirality-piping/apps/desktop/e2e/b3a-session-status.spec.ts;projects/chirality-piping/apps/desktop/e2e/b3b-project-persistence.spec.ts;projects/chirality-piping/apps/desktop/e2e/b4-sections.spec.ts;projects/chirality-piping/apps/desktop/e2e/b4-table-editing.spec.ts,projects/chirality-piping/apps/desktop/e2e/b3a-session-status.spec.ts;projects/chirality-piping/apps/desktop/e2e/b3b-project-persistence.spec.ts;projects/chirality-piping/apps/desktop/e2e/b4-sections.spec.ts;projects/chirality-piping/apps/desktop/e2e/b4-table-editing.spec.ts,
RC-02-0054,"Defines the code-neutral canonical project and model structure (nodes, segments, components, supports, loads) with user-supplied, provenance-marked engineering values.",projects/chirality-piping/schemas/model.schema.yaml,projects/chirality-piping/tests/test_model_schema.py;projects/chirality-piping/tests/test_physical_to_analytical_transform.py;projects/chirality-piping/tests/test_invented_example_models.py;projects/chirality-piping/tests/test_persistence_schema.py;projects/chirality-piping/tests/test_project_persistence_service.py;projects/chirality-piping/apps/desktop/src/features/model-tree/schemaSlotEmission.test.tsx,"Referenced by name from core/project_persistence/service.py, core/handoff/native_json/package.py, core/model_operations/operation_applier and core/loads crates. Largest schema in the area (about 2,000 lines)."
RC-02-0055,"Provides invented nonlinear support regression fixtures for one-way, gap, lift-off, friction, multi-support and non-convergence behaviour with convergence observations.",projects/chirality-piping/validation/benchmarks/nonlinear/src/lib.rs::assembled_convergence_observations;projects/chirality-piping/validation/benchmarks/nonlinear/Cargo.toml;projects/chirality-piping/validation/benchmarks/nonlinear/Cargo.lock;projects/chirality-piping/validation/benchmarks/nonlinear/README.md;projects/chirality-piping/validation/benchmarks/nonlinear/.gitignore,projects/chirality-piping/validation/benchmarks/nonlinear/src/lib.rs;projects/chirality-piping/tests/test_nonlinear_support_regression.py;projects/chirality-piping/core/runner/headless/src/benchmark_binding.rs,Exposed to the headless runner's regression command.
RC-02-0056,Invented valid material library document.,projects/chirality-piping/fixtures/material/,projects/chirality-piping/tests/test_material_schema.py;projects/chirality-piping/tests/test_library_import_provenance.py;projects/chirality-piping/core/library_import/library_import_document/tests/provenance_parity.rs,One file.
RC-02-0057,"Stages an allowlisted, sanitized public export of the project tree with a path/size/hash manifest, forbidden-path and content checks, protected-content lint gate, and re-hash verification.",projects/chirality-piping/tools/release/export_public_openpipestress.py::run_execute;projects/chirality-piping/tools/release/export_public_openpipestress.py::run_verify;projects/chirality-piping/tools/release/export_public_openpipestress.py::boundary_findings,projects/chirality-piping/tests/test_export_public_openpipestress.py;projects/chirality-piping/tests/test_adapter_framework_contract.py,Builds and self-tests the export mechanism only; creates no public repository and pushes nothing. Fails toward exclusion.
RC-02-0058,"Orients a reader to the project: product identity, document map, status and how agents should use the documentation package.",projects/chirality-piping/README.md,NONE_FOUND,"Top-level copy diverges from docs/README.md: still describes the product as free and open-source while the license notice is noncommercial, and lists files at stale relative locations. Included in public export."
RC-02-0059,"Validates parsed material, section and component library imports for required provenance, public redistribution and review status, private-only handling, protected-content quarantine and units.",projects/chirality-piping/core/library_import/provenance_checker.py::validate_library_import,projects/chirality-piping/tests/test_library_import_provenance.py,Python reference contract; parses no external file formats and makes no legal determinations.
RC-02-0060,"Onboards contributors: first-hour path, repository map, how bounded work is executed, data boundary, tests and evidence, review gates and a handoff template.",projects/chirality-piping/docs/contributor_guide/index.md,NONE_FOUND,Oriented to the agentic work process as much as to outside contributors.
RC-02-0061,"Builds model-tree nodes, selection and property-inspector records for model entities with validation state and privacy classification.",projects/chirality-piping/core/gui/model_tree/engine.py::build_model_tree_property_inspector;projects/chirality-piping/core/gui/model_tree/__init__.py,projects/chirality-piping/tests/test_model_tree_property_inspector.py,Python contract only; no product-runtime caller found.
RC-02-0062,"Applies thermal expansion as equivalent element loads with fixed-end axial correction, requiring an explicit material expansion coefficient.",projects/chirality-piping/core/product_physics/src/lib.rs::build_thermal_element_loads;projects/chirality-piping/core/product_physics/src/lib.rs::add_thermal_equivalent_loads;projects/chirality-piping/core/product_physics/src/lib.rs::corrected_local_forces_for_axial_effects,projects/chirality-piping/core/product_physics/src/lib.rs::tests::fixed_fixed_thermal_load_applies_axial_fixed_end_correction;projects/chirality-piping/core/product_physics/src/lib.rs::tests::thermal_load_direction_does_not_change_thermal_magnitude_or_sign;projects/chirality-piping/core/product_physics/src/lib.rs::tests::thermal_load_requires_explicit_material_expansion_coefficient;projects/chirality-piping/core/product_physics/src/lib.rs::tests::p5_constant_signed_cut_fields_and_fixed_thermal_compression,Authored thermal load direction does not affect magnitude or sign.
