ClaimKey,DeliverableID,UnitKind,ClaimType,ClaimClass,ClaimSummary,NormativeSource,DecisionBasis,DeclaredState,RecordedRemaining,ImplementationEvidence,VerificationEvidence,VerificationClass,ValidationEvidence,SourceReliability,LifecycleState,Disposition,Confidence,CauseTag,AuthorityTier,BaselineClass,DivergenceLayers,FindingGroup,CanonicalSituation,AdoptedByReference,ContextRefs,RemainingWork,AuthorityNeeded,SelectableUnderCurrentLoop,Notes,SourceStateSHA
DEL-03-05:SOW#completion-and-reliance-basis-epistemology,DEL-03-05,BLOCK,NON_NORMATIVE,DOCUMENTATION,Epistemology section wrapper,SOW surface of DEL-03-05,NONE,IN_PROGRESS,NONE,NOT_APPLICABLE,NOT_APPLICABLE,NONE,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,NOT_ASSESSED,HIGH,,,,NONE,,,,NONE_FOUND,,NO,NOT_APPLICABLE,Pre-typed NON_NORMATIVE by extractor v2 (section wrapper or heading-only block); no override.,00115c71931bcae79909602d653740d3bb72dfa1
DEL-03-05:SOW#CLM-008,DEL-03-05,BLOCK,NON_NORMATIVE,DOCUMENTATION,Specification heading block,SOW surface of DEL-03-05,NONE,IN_PROGRESS,NONE,NOT_APPLICABLE,NOT_APPLICABLE,NONE,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,NOT_ASSESSED,HIGH,,,,NONE,,,,NONE_FOUND,,NO,NOT_APPLICABLE,Pre-typed NON_NORMATIVE by extractor v2 (section wrapper or heading-only block); no override.,00115c71931bcae79909602d653740d3bb72dfa1
DEL-03-05:SOW#CLM-009,DEL-03-05,BLOCK,EXCLUSION,SCHEMA,"Scope: specification limited to the sealed brief, registers, invariants, schema, fixture, test and memory/review evidence; editing code and inventing values out of scope",SOW surface of DEL-03-05,DEC-045,IN_PROGRESS,NONE,schemas/component.schema.yaml;core/product_physics/src/lib.rs;core/product_physics/src/validation.rs;core/model_operations/operation_applier/src/lib.rs,tests/test_component_section_schema.py;core/model_operations/operation_applier/src/lib.rs::tee_and_rigid_component_creation_block_incomplete_or_disconnected_geometry;GATE:GATE_EVIDENCE/B4_4_SWEEP_9D55/SUMMARY.json,UNIT,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,STALE_REVIEW_OR_EVIDENCE,MEDIUM,DOC_BEHIND_CODE,LOCAL_DESIGN,NONE,RECORD,FG-DEL-03-05-01,,,"projects/chirality-piping/execution/PKG-03_Piping Components, Materials, and Library Data Model/1_Working/DEL-03-05_Rigid component models for valves, flanges, reducers, and specialty items/_run_records/WORKING_ITEMS_RUN_2026-06-21_TP-R4-D3-RIGIDVIS-001.md",Restate the scope so that it covers the landed product-path rigid slice.,NO,NOT_APPLICABLE,"The scope limits the specification to schema-level evidence while the rigid product slice for this deliverable landed on 2026-06-21. The no-protected-data and no-claims exclusions still hold. Origin 1b62eb5b8, so STALE_REVIEW_OR_EVIDENCE (F3).",00115c71931bcae79909602d653740d3bb72dfa1
DEL-03-05:SOW#CLM-010,DEL-03-05,BLOCK,CONTAINER,SCHEMA,Requirements table R01..R11 (split into .rNN rows),SOW surface of DEL-03-05,NONE,IN_PROGRESS,NONE,NOT_APPLICABLE,NOT_APPLICABLE,NONE,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,COVERED_BY_CHILDREN,HIGH,,,,NONE,,,,NONE_FOUND,,NO,NOT_APPLICABLE,Substance is fully carried by the child rows keyed under this block (C1).,00115c71931bcae79909602d653740d3bb72dfa1
DEL-03-05:SOW#CLM-010.r01,DEL-03-05,ITEM,REQUIREMENT,SCHEMA,"R01: support rigid and semi-rigid data structures for valves, flanges, reducers, rigid placeholders and specialty items",SOW surface of DEL-03-05,SOW-009,IN_PROGRESS,NONE,schemas/component.schema.yaml;fixtures/component/invented_component_library_valid.json;core/model_operations/operation_applier/src/lib.rs,tests/test_component_section_schema.py;core/model_operations/operation_applier/src/lib.rs::tee_and_rigid_component_creation_block_incomplete_or_disconnected_geometry;GATE:GATE_EVIDENCE/B4_4_SWEEP_9D55/SUMMARY.json,UNIT,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,ALIGNED,HIGH,,,,NONE,,,,NONE_FOUND,,NO,NOT_APPLICABLE,"ComponentType equals the model enum (asserted) and the rigid/semi-rigid contract lists all five families; the product applier creates valve, flange, reducer and rigid components.",00115c71931bcae79909602d653740d3bb72dfa1
DEL-03-05:SOW#CLM-010.r02,DEL-03-05,ITEM,REQUIREMENT,SCHEMA,"R02: dimensions, weights and centres of gravity are user-supplied or lawful private/library data",SOW surface of DEL-03-05,SOW-009; OPS-K-DATA-1; DEC-045,IN_PROGRESS,NONE,fixtures/component/invented_component_library_valid.json;fixtures/product_preview/invented_preview_model.json,tests/test_component_section_schema.py;GATE:GATE_EVIDENCE/B4_4_SWEEP_9D55/SUMMARY.json,UNIT,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,ALIGNED,HIGH,,,,NONE,,,,NONE_FOUND,,NO,NOT_APPLICABLE,"Fixture rigid record values are `missing` with schema_shape_only, no_public_proprietary_catalog_values or private_user_supplied_only policies; the preview C-130 values are invented user-entered values (DEC-045).",00115c71931bcae79909602d653740d3bb72dfa1
DEL-03-05:SOW#CLM-010.r03,DEL-03-05,ITEM,REQUIREMENT,SCHEMA,"R03: unit awareness and dimensional checking for dimensional, weight, COG and split stiffness fields",SOW surface of DEL-03-05,OPS-K-UNIT-1; AB-00-04,IN_PROGRESS,NONE,schemas/component.schema.yaml;core/product_physics/src/validation.rs;core/model_operations/operation_applier/src/lib.rs,tests/test_component_section_schema.py;GATE:GATE_EVIDENCE/B4_4_SWEEP_9D55/SUMMARY.json,UNIT,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,ALIGNED,HIGH,,,,NONE,,,,NONE_FOUND,,NO,NOT_APPLICABLE,"The stated verification hook holds: the test asserts linear_stiffness and rotational_stiffness are accepted dimensions and retired generic dimensions are excluded. Product validation checks length, force, COG-vector length and stiffness units for rigid components, and the applier checks entered dimensions.",00115c71931bcae79909602d653740d3bb72dfa1
DEL-03-05:SOW#CLM-010.r04,DEL-03-05,ITEM,REQUIREMENT,SCHEMA,R04: provenance fields including source and redistribution status for reusable component data,SOW surface of DEL-03-05,OPS-K-IP-2; OPS-K-DATA-3; AB-00-07,IN_PROGRESS,NONE,schemas/component.schema.yaml,tests/test_component_section_schema.py;GATE:GATE_EVIDENCE/B4_4_SWEEP_9D55/SUMMARY.json,UNIT,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,ALIGNED,HIGH,,,,NONE,,,,NONE_FOUND,,NO,NOT_APPLICABLE,"Provenance with source, licence, contributor certification, redistribution and review status is required on library, record, field slot and diagnostic.",00115c71931bcae79909602d653740d3bb72dfa1
DEL-03-05:SOW#CLM-010.r05,DEL-03-05,ITEM,REQUIREMENT,SCHEMA,"R05: unknown required values are TBD, findings or diagnostics, never silent defaults",SOW surface of DEL-03-05,OPS-K-DATA-2; OPS-K-AGENT-1; AB-00-06,IN_PROGRESS,NONE,fixtures/component/invented_component_library_valid.json;core/product_physics/src/validation.rs;core/model_operations/operation_applier/src/lib.rs,tests/test_component_section_schema.py;core/model_operations/operation_applier/src/lib.rs::tee_and_rigid_component_creation_block_incomplete_or_disconnected_geometry;GATE:GATE_EVIDENCE/B4_4_SWEEP_9D55/SUMMARY.json,UNIT,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,ALIGNED,HIGH,,,,NONE,,,,NONE_FOUND,,NO,NOT_APPLICABLE,"Fixture rigid record is incomplete with `RIGID_COMPONENT_GEOMETRY_INCOMPLETE`, asserted by the test; product validation and the applier block or flag incomplete rigid geometry.",00115c71931bcae79909602d653740d3bb72dfa1
DEL-03-05:SOW#CLM-010.r06,DEL-03-05,ITEM,REQUIREMENT,MECHANICS,R06: preserve the 3D centerline/frame model boundary; shell/solid FEA stays a local-analysis handoff,SOW surface of DEL-03-05,OPS-K-MECH-1,IN_PROGRESS,NONE,schemas/component.schema.yaml,GATE:GATE_EVIDENCE/B4_4_SWEEP_9D55/SUMMARY.json,NONE,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,ALIGNED,HIGH,,,,NONE,,,,NONE_FOUND,,NO,NOT_APPLICABLE,"The mechanics interface offers centerline_component, local_detail_reference and rigid_placeholder roles; nothing requires shell or solid elements.",00115c71931bcae79909602d653740d3bb72dfa1
DEL-03-05:SOW#CLM-010.r07,DEL-03-05,ITEM,REQUIREMENT,SECURITY,R07: dependencies point inward to domain contracts and pass through validation/diagnostic boundaries; architecture review confirms no adapter or plugin bypass,SOW surface of DEL-03-05,AB-00-02; AB-00-07,IN_PROGRESS,NONE,schemas/component.schema.yaml;core/model_operations/operation_applier/src/lib.rs;core/library_import/library_import_document/src/lib.rs,core/model_operations/operation_applier/src/lib.rs::tee_and_rigid_component_creation_block_incomplete_or_disconnected_geometry;GATE:GATE_EVIDENCE/B4_4_SWEEP_9D55/SUMMARY.json,UNIT,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,PARTIALLY_IMPLEMENTED,MEDIUM,PARTIAL_SLICE,PROJECT_BASELINE,NONE,BASELINE,,,,NONE_FOUND,"Locate or run the architecture review named in the verification hook for component data paths (applier, library-import seam, adapters).",REVIEW,NOT_APPLICABLE,"Implemented slice: the strict schema, the applier's gated rigid creation and the shared library-import provenance seam route component data through validation. The named architecture review confirming that adapters and plugins cannot bypass validation was not located for this deliverable. Basis is the accepted architecture basis AB-00-02/07, so PROJECT_BASELINE and BASELINE.",00115c71931bcae79909602d653740d3bb72dfa1
DEL-03-05:SOW#CLM-010.r08,DEL-03-05,ITEM,REQUIREMENT,SCHEMA,"R08: deterministic, versioned, schema-governed persistence for component records, with round-trip and canonical hash checks",SOW surface of DEL-03-05,AB-00-04,IN_PROGRESS,NONE,core/project_persistence/service.py;schemas/model.schema.yaml,tests/test_project_persistence_service.py;GATE:GATE_EVIDENCE/B4_4_SWEEP_9D55/SUMMARY.json,UNIT,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,ALIGNED,MEDIUM,,,,NONE,,,,NONE_FOUND,,NO,NOT_APPLICABLE,"Project persistence serialises sorted compact JSON with source and round-trip hashes and delegates model shape to model.schema.yaml, whose Component definition governs component records; the round-trip tests exercise whole envelopes. GAP_WORDING_CHECKED: envelope-level round-trip covers component records as payload content; the claim asks for the persistence mechanism, not a per-family test.",00115c71931bcae79909602d653740d3bb72dfa1
DEL-03-05:SOW#CLM-010.r09,DEL-03-05,ITEM,REQUIREMENT,SCHEMA,R09: strict fixture evidence for the rigid contract with synthetic schema-shape records only; concrete public family values TBD,SOW surface of DEL-03-05,OPS-K-IP-1,IN_PROGRESS,NONE,fixtures/component/invented_component_library_valid.json,tests/test_component_section_schema.py;GATE:GATE_EVIDENCE/B4_4_SWEEP_9D55/SUMMARY.json,UNIT,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,ALIGNED,HIGH,,,,NONE,,,,NONE_FOUND,,NO,NOT_APPLICABLE,"The fixture has the rigid/semi-rigid contract and a schema-shape rigid record, asserted by the test; concrete public values for the families remain open, as stated.",00115c71931bcae79909602d653740d3bb72dfa1
DEL-03-05:SOW#CLM-010.r10,DEL-03-05,ITEM,REQUIREMENT,MECHANICS,R10: define the COG coordinate convention and reference frame before COG values are accepted for mechanics use,SOW surface of DEL-03-05,SOW-009; OPS-K-UNIT-1,IN_PROGRESS,R01 PDU-013 COG hold,schemas/component.schema.yaml;core/model_operations/operation_applier/src/lib.rs,core/model_operations/operation_applier/src/lib.rs::center_of_gravity_stays_unsupported_pending_payload_ruling;GATE:GATE_EVIDENCE/B4_4_SWEEP_9D55/SUMMARY.json,UNIT,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,DOCUMENTED_UNIMPLEMENTED,HIGH,NOT_STARTED,LOCAL_DESIGN,NONE,VALIDATION,,,,"projects/chirality-piping/execution/PKG-03_Piping Components, Materials, and Library Data Model/1_Working/DEL-03-05_Rigid component models for valves, flanges, reducers, and specialty items/_run_records/WORKING_ITEMS_RUN_2026-07-12_D41-R5-T2B-PDU013.md;projects/chirality-piping/execution/PKG-03_Piping Components, Materials, and Library Data Model/1_Working/DEL-03-05_Rigid component models for valves, flanges, reducers, and specialty items/MEMORY.md","Obtain an authorized COG coordinate convention and reference frame (axes, origin, sign, local/global transform) before any COG value is used by mechanics.",ENGINEERING,NOT_APPLICABLE,"No convention or reference frame is defined anywhere at the freeze; the D-41 R5 T2B backcheck recorded it as held and the applier keeps COG edits unsupported pending a payload ruling. COG is captured (applier rigid creation requires an explicit x/y/z vector with unit) but not consumed by mechanics (mechanics_geometry_only), so the code has not settled the hold (not CP-10). No ruling defers it, so NOT_STARTED. Engineering convention choice needed.",00115c71931bcae79909602d653740d3bb72dfa1
DEL-03-05:SOW#CLM-010.r11,DEL-03-05,ITEM,REQUIREMENT,SCHEMA,R11: minimum provenance for user-supplied and library-imported component data before reusable public fixtures are accepted; provenance validator checks,SOW surface of DEL-03-05,OPS-K-IP-2; OPS-K-DATA-3; AB-00-07,IN_PROGRESS,NONE,schemas/component.schema.yaml;core/library_import/provenance_checker.py;core/library_import/library_import_document/src/lib.rs,tests/test_component_section_schema.py;GATE:GATE_EVIDENCE/B4_4_SWEEP_9D55/SUMMARY.json,UNIT,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,ALIGNED,HIGH,,,,NONE,,,,NONE_FOUND,,NO,NOT_APPLICABLE,"The provenance validator named in the hook exists as the shared library-import provenance checker (DEL-03-07 owned), which checks required provenance, redistribution and review disposition for component imports. Source catalog and fixture-value policy remain open, as stated.",00115c71931bcae79909602d653740d3bb72dfa1
DEL-03-05:SOW#CLM-011,DEL-03-05,BLOCK,DECLARED_STATE,GOVERNANCE,"Review finding reconciliation: both PKG-02 findings ACCEPT_AS_IS / RESOLVED under Gate C, with the technical evidence cited",SOW surface of DEL-03-05,NONE,IN_PROGRESS,NONE,schemas/component.schema.yaml,tests/test_component_section_schema.py,UNIT;DOCUMENT_REVIEW,NOT_APPLICABLE,REVIEWED,IN_PROGRESS,ALIGNED,HIGH,,,,NONE,,,,"projects/chirality-piping/execution/PKG-03_Piping Components, Materials, and Library Data Model/1_Working/DEL-03-05_Rigid component models for valves, flanges, reducers, and specialty items/Review_Findings.csv;projects/chirality-piping/execution/PKG-03_Piping Components, Materials, and Library Data Model/1_Working/DEL-03-05_Rigid component models for valves, flanges, reducers, and specialty items/MEMORY.md",,NO,NOT_APPLICABLE,"Assessed directly, with no split of the optional .rNN rows. Review_Findings.csv records both findings ACCEPT_AS_IS / RESOLVED; the human Gate C ruling of 2026-06-05 (MEMORY) is the named disposition. ComponentType includes specialty and equals the model enum; generic stiffness is not an enum value of ComponentQuantityDimension.",00115c71931bcae79909602d653740d3bb72dfa1
DEL-03-05:SOW#CLM-012,DEL-03-05,BLOCK,DECLARED_STATE,GOVERNANCE,"Standards: no standards text, protected tables or code-specific defaults; PRD references are provenance only",SOW surface of DEL-03-05,NONE,IN_PROGRESS,NONE,schemas/component.schema.yaml,tests/test_component_section_schema.py,UNIT,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,ALIGNED,HIGH,,,,NONE,,,,NONE_FOUND,,NO,NOT_APPLICABLE,"Consistent with the frozen schema, fixture and preview data.",00115c71931bcae79909602d653740d3bb72dfa1
