TraceRowID,Product,SourceLayer,SourceID,SourceAssertion,DownstreamRefs,Disposition,Notes
A-T-011,ROOT,LIVE_SOW,DEL-01-04,Human Authority and Three Judgment Gate Model,execution/PKG-01_Product_Definition_Normative_Basis_and_Authority/1_Working/DEL-01-04_Human_Authority_and_Three_Judgment_Gate_Model/ScopeOfWork.md#frontmatter; sha256:e5e96ee2a4b0,TRACED,INITIALIZED; decomposition basis 653fabc9b3e8…; AC/VER definitions remain candidate and are expressed through non-uniform prose.
A-T-012,ROOT,LIVE_SOW,DEL-01-05,File Native Authority Substrate Conformance,execution/PKG-01_Product_Definition_Normative_Basis_and_Authority/1_Working/DEL-01-05_File_Native_Authority_Substrate_Conformance/ScopeOfWork.md#frontmatter; sha256:a04e89e8e016,TRACED,INITIALIZED; decomposition basis 653fabc9b3e8…; AC/VER definitions remain candidate and are expressed through non-uniform prose.
A-T-013,ROOT,LIVE_SOW,DEL-01-06,Four Pillars and Professional Responsibility Conformance,execution/PKG-01_Product_Definition_Normative_Basis_and_Authority/1_Working/DEL-01-06_Four_Pillars_and_Professional_Responsibility_Conformance/ScopeOfWork.md#frontmatter; sha256:f701fbfebbb3,TRACED,INITIALIZED; decomposition basis 653fabc9b3e8…; AC/VER definitions remain candidate and are expressed through non-uniform prose.
A-T-014,ROOT,LIVE_SOW,DEL-01-07,Jurisdiction Accountability and v1 User Scope Register,execution/PKG-01_Product_Definition_Normative_Basis_and_Authority/1_Working/DEL-01-07_Jurisdiction_Accountability_and_v1_User_Scope_Register/ScopeOfWork.md#frontmatter; sha256:b6947503558e,TRACED,INITIALIZED; decomposition basis 653fabc9b3e8…; AC/VER definitions remain candidate and are expressed through non-uniform prose.
A-T-015,ROOT,LIVE_SOW,DEL-01-08,Non Goal Boundary and Open Conflict Register,execution/PKG-01_Product_Definition_Normative_Basis_and_Authority/1_Working/DEL-01-08_Non_Goal_Boundary_and_Open_Conflict_Register/ScopeOfWork.md#frontmatter; sha256:8a6105810839,TRACED,INITIALIZED; decomposition basis 653fabc9b3e8…; AC/VER definitions remain candidate and are expressed through non-uniform prose.
A-T-016,ROOT,LIVE_SOW,DEL-02-01,Instruction Surface Membership and Release Management,execution/PKG-02_Operative_Instruction_Surface_and_Runtime_Layers/1_Working/DEL-02-01_Instruction_Surface_Membership_and_Release_Management/ScopeOfWork.md#frontmatter; sha256:92e0baa10e2a,TRACED,INITIALIZED; decomposition basis 653fabc9b3e8…; AC/VER definitions remain candidate and are expressed through non-uniform prose.
A-T-017,ROOT,LIVE_SOW,DEL-02-02,Three Layer Authority Boundary Conformance,execution/PKG-02_Operative_Instruction_Surface_and_Runtime_Layers/1_Working/DEL-02-02_Three_Layer_Authority_Boundary_Conformance/ScopeOfWork.md#frontmatter; sha256:e95554f4bd9e,TRACED,INITIALIZED; decomposition basis 653fabc9b3e8…; AC/VER definitions remain candidate and are expressed through non-uniform prose.
A-T-018,ROOT,LIVE_SOW,DEL-02-03,Delegation Hierarchy and Entry Rules,execution/PKG-02_Operative_Instruction_Surface_and_Runtime_Layers/1_Working/DEL-02-03_Delegation_Hierarchy_and_Entry_Rules/ScopeOfWork.md#frontmatter; sha256:c82469b18caf,TRACED,INITIALIZED; decomposition basis 653fabc9b3e8…; AC/VER definitions remain candidate and are expressed through non-uniform prose.
A-T-019,ROOT,LIVE_SOW,DEL-02-04,Declared Write Scope and Capability Boundary Controls,execution/PKG-02_Operative_Instruction_Surface_and_Runtime_Layers/1_Working/DEL-02-04_Declared_Write_Scope_and_Capability_Boundary_Controls/ScopeOfWork.md#frontmatter; sha256:1dd0220ba37c,TRACED,INITIALIZED; decomposition basis 653fabc9b3e8…; AC/VER definitions remain candidate and are expressed through non-uniform prose.
A-T-020,ROOT,LIVE_SOW,DEL-02-05,Live Registry Discipline for Skills and Tools,execution/PKG-02_Operative_Instruction_Surface_and_Runtime_Layers/1_Working/DEL-02-05_Live_Registry_Discipline_for_Skills_and_Tools/ScopeOfWork.md#frontmatter; sha256:2d3ffb11a465,TRACED,INITIALIZED; decomposition basis 653fabc9b3e8…; AC/VER definitions remain candidate and are expressed through non-uniform prose.
A-T-021,ROOT,LIVE_SOW,DEL-03-01,Path Model and ScopePath Containment Conformance,execution/PKG-03_Governed_Execution_Structure_and_Root_Containment/1_Working/DEL-03-01_Path_Model_and_ScopePath_Containment_Conformance/ScopeOfWork.md#frontmatter; sha256:6bc41b269096,TRACED,INITIALIZED; decomposition basis 653fabc9b3e8…; AC/VER definitions remain candidate and are expressed through non-uniform prose.
A-T-022,ROOT,LIVE_SOW,DEL-03-02,Execution Structure and Lifecycle Conformance,execution/PKG-03_Governed_Execution_Structure_and_Root_Containment/1_Working/DEL-03-02_Execution_Structure_and_Lifecycle_Conformance/ScopeOfWork.md#frontmatter; sha256:4328bcccbdf8,TRACED,INITIALIZED; decomposition basis 653fabc9b3e8…; AC/VER definitions remain candidate and are expressed through non-uniform prose.
A-T-023,ROOT,LIVE_SOW,DEL-03-03,Dependency Register and Derived Graph Boundary,execution/PKG-03_Governed_Execution_Structure_and_Root_Containment/1_Working/DEL-03-03_Dependency_Register_and_Derived_Graph_Boundary/ScopeOfWork.md#frontmatter; sha256:62e3153fb825,TRACED,INITIALIZED; decomposition basis 653fabc9b3e8…; AC/VER definitions remain candidate and are expressed through non-uniform prose.
A-T-024,ROOT,LIVE_SOW,DEL-03-04,Root Working Root Exception Conformance,execution/PKG-03_Governed_Execution_Structure_and_Root_Containment/1_Working/DEL-03-04_Root_Working_Root_Exception_Conformance/ScopeOfWork.md#frontmatter; sha256:4b882b15377f,TRACED,INITIALIZED; decomposition basis 653fabc9b3e8…; AC/VER definitions remain candidate and are expressed through non-uniform prose.
A-T-025,ROOT,LIVE_SOW,DEL-03-05,Guard State Instantiation and Registration,execution/PKG-03_Governed_Execution_Structure_and_Root_Containment/1_Working/DEL-03-05_Guard_State_Instantiation_and_Registration/ScopeOfWork.md#frontmatter; sha256:48e88a304536,TRACED,INITIALIZED; decomposition basis 653fabc9b3e8…; AC/VER definitions remain candidate and are expressed through non-uniform prose.
A-T-026,ROOT,LIVE_SOW,DEL-03-06,Root Materialization Readiness and Deliverable Stream,execution/PKG-03_Governed_Execution_Structure_and_Root_Containment/1_Working/DEL-03-06_Root_Materialization_Readiness_and_Deliverable_Stream/ScopeOfWork.md#frontmatter; sha256:4262aa7ad1c0,TRACED,INITIALIZED; decomposition basis 653fabc9b3e8…; AC/VER definitions remain candidate and are expressed through non-uniform prose.
A-T-027,ROOT,LIVE_SOW,DEL-04-01,Decision Record and Terminal Artifact Discipline,execution/PKG-04_Developmental_Machinery_and_Change_Control/1_Working/DEL-04-01_Decision_Record_and_Terminal_Artifact_Discipline/ScopeOfWork.md#frontmatter; sha256:9c0ba2ecf98e,TRACED,INITIALIZED; decomposition basis 653fabc9b3e8…; AC/VER definitions remain candidate and are expressed through non-uniform prose.
A-T-028,ROOT,LIVE_SOW,DEL-04-02,Identity Attribution and Refusal Controls,execution/PKG-04_Developmental_Machinery_and_Change_Control/1_Working/DEL-04-02_Identity_Attribution_and_Refusal_Controls/ScopeOfWork.md#frontmatter; sha256:33e387e55258,TRACED,INITIALIZED; decomposition basis 653fabc9b3e8…; AC/VER definitions remain candidate and are expressed through non-uniform prose.
A-T-029,ROOT,LIVE_SOW,DEL-04-03,Validation Severity and Override Controls,execution/PKG-04_Developmental_Machinery_and_Change_Control/1_Working/DEL-04-03_Validation_Severity_and_Override_Controls/ScopeOfWork.md#frontmatter; sha256:d048f8d86ae8,TRACED,INITIALIZED; decomposition basis 653fabc9b3e8…; AC/VER definitions remain candidate and are expressed through non-uniform prose.
A-T-030,ROOT,LIVE_SOW,DEL-04-04,Governance Integration Rules and Change Notice Routing,execution/PKG-04_Developmental_Machinery_and_Change_Control/1_Working/DEL-04-04_Governance_Integration_Rules_and_Change_Notice_Routing/ScopeOfWork.md#frontmatter; sha256:82a7f20f9a7e,TRACED,INITIALIZED; decomposition basis 653fabc9b3e8…; AC/VER definitions remain candidate and are expressed through non-uniform prose.
A-T-031,ROOT,LIVE_SOW,DEL-04-05,Root Governed Loop and Receipt Discipline,execution/PKG-04_Developmental_Machinery_and_Change_Control/1_Working/DEL-04-05_Root_Governed_Loop_and_Receipt_Discipline/ScopeOfWork.md#frontmatter; sha256:fc0fc290bad2,TRACED,INITIALIZED; decomposition basis 653fabc9b3e8…; AC/VER definitions remain candidate and are expressed through non-uniform prose.
A-T-032,ROOT,LIVE_SOW,DEL-04-06,Change Management and Human Gated Closeout,execution/PKG-04_Developmental_Machinery_and_Change_Control/1_Working/DEL-04-06_Change_Management_and_Human_Gated_Closeout/ScopeOfWork.md#frontmatter; sha256:bc1f8126d91b,TRACED,INITIALIZED; decomposition basis 653fabc9b3e8…; AC/VER definitions remain candidate and are expressed through non-uniform prose.
A-T-033,ROOT,LIVE_SOW,DEL-04-07,Public Export Boundary Conformance,execution/PKG-04_Developmental_Machinery_and_Change_Control/1_Working/DEL-04-07_Public_Export_Boundary_Conformance/ScopeOfWork.md#frontmatter; sha256:388f5043afdf,TRACED,INITIALIZED; decomposition basis 653fabc9b3e8…; AC/VER definitions remain candidate and are expressed through non-uniform prose.
A-T-034,ROOT,LIVE_SOW,DEL-04-08,PRD Amendment and Attributable Change Control,execution/PKG-04_Developmental_Machinery_and_Change_Control/1_Working/DEL-04-08_PRD_Amendment_and_Attributable_Change_Control/ScopeOfWork.md#frontmatter; sha256:09d4f2d50c86,TRACED,INITIALIZED; decomposition basis 653fabc9b3e8…; AC/VER definitions remain candidate and are expressed through non-uniform prose.
A-T-035,ROOT,LIVE_SOW,DEL-04-09,PRD Source Currency Check Capability,execution/PKG-04_Developmental_Machinery_and_Change_Control/1_Working/DEL-04-09_PRD_Source_Currency_Check_Capability/ScopeOfWork.md#frontmatter; sha256:eb573317fbc5,TRACED,INITIALIZED; decomposition basis 653fabc9b3e8…; AC/VER definitions remain candidate and are expressed through non-uniform prose.
A-T-036,ROOT,LIVE_SOW,DEL-04-10,Decomposition Pipeline and Root Coverage Demonstration,execution/PKG-04_Developmental_Machinery_and_Change_Control/1_Working/DEL-04-10_Decomposition_Pipeline_and_Root_Coverage_Demonstration/ScopeOfWork.md#frontmatter; sha256:0cfe9dd46bbc,TRACED,INITIALIZED; decomposition basis 653fabc9b3e8…; AC/VER definitions remain candidate and are expressed through non-uniform prose.
A-T-037,ROOT,LIVE_SOW,DEL-05-01,Run Record Tree Conformance,execution/PKG-05_Evidence_Provenance_and_Audit/1_Working/DEL-05-01_Run_Record_Tree_Conformance/ScopeOfWork.md#frontmatter; sha256:101bb2c031cd,TRACED,INITIALIZED; decomposition basis 653fabc9b3e8…; AC/VER definitions remain candidate and are expressed through non-uniform prose.
A-T-038,ROOT,LIVE_SOW,DEL-05-02,Snapshot Handoff and Receipt Discipline,execution/PKG-05_Evidence_Provenance_and_Audit/1_Working/DEL-05-02_Snapshot_Handoff_and_Receipt_Discipline/ScopeOfWork.md#frontmatter; sha256:2f527c56844c,TRACED,INITIALIZED; decomposition basis 653fabc9b3e8…; AC/VER definitions remain candidate and are expressed through non-uniform prose.
A-T-039,ROOT,LIVE_SOW,DEL-05-03,SHA Role Register,execution/PKG-05_Evidence_Provenance_and_Audit/1_Working/DEL-05-03_SHA_Role_Register/ScopeOfWork.md#frontmatter; sha256:bd7572b687f5,TRACED,INITIALIZED; decomposition basis 653fabc9b3e8…; AC/VER definitions remain candidate and are expressed through non-uniform prose.
A-T-040,ROOT,LIVE_SOW,DEL-05-04,Claim Provenance and Warrant Lifecycle,execution/PKG-05_Evidence_Provenance_and_Audit/1_Working/DEL-05-04_Claim_Provenance_and_Warrant_Lifecycle/ScopeOfWork.md#frontmatter; sha256:4cca5a835acc,TRACED,INITIALIZED; decomposition basis 653fabc9b3e8…; AC/VER definitions remain candidate and are expressed through non-uniform prose.
A-T-041,ROOT,LIVE_SOW,DEL-05-05,Audit and Evaluation Surface Governance,execution/PKG-05_Evidence_Provenance_and_Audit/1_Working/DEL-05-05_Audit_and_Evaluation_Surface_Governance/ScopeOfWork.md#frontmatter; sha256:d68f08ad5b33,TRACED,INITIALIZED; decomposition basis 653fabc9b3e8…; AC/VER definitions remain candidate and are expressed through non-uniform prose.
A-T-042,ROOT,LIVE_SOW,DEL-05-06,Validation Evidence Mutation Control,execution/PKG-05_Evidence_Provenance_and_Audit/1_Working/DEL-05-06_Validation_Evidence_Mutation_Control/ScopeOfWork.md#frontmatter; sha256:4c64d39a7153,TRACED,INITIALIZED; decomposition basis 653fabc9b3e8…; AC/VER definitions remain candidate and are expressed through non-uniform prose.
A-T-043,ROOT,LIVE_SOW,DEL-05-07,Closure Criteria Conformance,execution/PKG-05_Evidence_Provenance_and_Audit/1_Working/DEL-05-07_Closure_Criteria_Conformance/ScopeOfWork.md#frontmatter; sha256:2a42827502f4,TRACED,INITIALIZED; decomposition basis 653fabc9b3e8…; AC/VER definitions remain candidate and are expressed through non-uniform prose.
A-T-044,ROOT,LIVE_SOW,DEL-05-08,Evidence Linkage Completeness and Retrieval Evaluation,execution/PKG-05_Evidence_Provenance_and_Audit/1_Working/DEL-05-08_Evidence_Linkage_Completeness_and_Retrieval_Evaluation/ScopeOfWork.md#frontmatter; sha256:74c71a5fef88,TRACED,INITIALIZED; decomposition basis 653fabc9b3e8…; AC/VER definitions remain candidate and are expressed through non-uniform prose.
A-T-045,ROOT,LIVE_SOW,DEL-06-01,Self Application Discipline and Falsifier Observation,execution/PKG-06_Self_Application_Variants_and_Release/1_Working/DEL-06-01_Self_Application_Discipline_and_Falsifier_Observation/ScopeOfWork.md#frontmatter; sha256:da56c61d60e4,TRACED,INITIALIZED; decomposition basis 653fabc9b3e8…; AC/VER definitions remain candidate and are expressed through non-uniform prose.
A-T-046,ROOT,LIVE_SOW,DEL-06-02,Concurrency Mechanism Legibility and Run State Reconstruction,execution/PKG-06_Self_Application_Variants_and_Release/1_Working/DEL-06-02_Concurrency_Mechanism_Legibility_and_Run_State_Reconstruction/ScopeOfWork.md#frontmatter; sha256:b7f42f96994a,TRACED,INITIALIZED; decomposition basis 653fabc9b3e8…; AC/VER definitions remain candidate and are expressed through non-uniform prose.
A-T-047,ROOT,LIVE_SOW,DEL-06-03,Approval Vehicle Practice Record,execution/PKG-06_Self_Application_Variants_and_Release/1_Working/DEL-06-03_Approval_Vehicle_Practice_Record/ScopeOfWork.md#frontmatter; sha256:be1f7ff5f87f,TRACED,INITIALIZED; decomposition basis 653fabc9b3e8…; AC/VER definitions remain candidate and are expressed through non-uniform prose.
A-T-048,ROOT,LIVE_SOW,DEL-06-04,Downward Variant Service and Non Weakening,execution/PKG-06_Self_Application_Variants_and_Release/1_Working/DEL-06-04_Downward_Variant_Service_and_Non_Weakening/ScopeOfWork.md#frontmatter; sha256:ded576d32ea9,TRACED,INITIALIZED; decomposition basis 653fabc9b3e8…; AC/VER definitions remain candidate and are expressed through non-uniform prose.
A-T-049,ROOT,LIVE_SOW,DEL-06-05,Domain Engine Truth Boundary,execution/PKG-06_Self_Application_Variants_and_Release/1_Working/DEL-06-05_Domain_Engine_Truth_Boundary/ScopeOfWork.md#frontmatter; sha256:e5a72a4d894a,TRACED,INITIALIZED; decomposition basis 653fabc9b3e8…; AC/VER definitions remain candidate and are expressed through non-uniform prose.
A-T-050,ROOT,LIVE_SOW,DEL-06-06,Governed Promotion Pathway,execution/PKG-06_Self_Application_Variants_and_Release/1_Working/DEL-06-06_Governed_Promotion_Pathway/ScopeOfWork.md#frontmatter; sha256:d7ac86a21e35,TRACED,INITIALIZED; decomposition basis 653fabc9b3e8…; AC/VER definitions remain candidate and are expressed through non-uniform prose.
A-T-051,ROOT,LIVE_SOW,DEL-06-07,Release Authority Gate,execution/PKG-06_Self_Application_Variants_and_Release/1_Working/DEL-06-07_Release_Authority_Gate/ScopeOfWork.md#frontmatter; sha256:69e2b7d8b67c,TRACED,INITIALIZED; decomposition basis 653fabc9b3e8…; AC/VER definitions remain candidate and are expressed through non-uniform prose.
A-T-052,ROOT,LIVE_SOW,DEL-06-08,Situated Working Root Convergence Demonstration,execution/PKG-06_Self_Application_Variants_and_Release/1_Working/DEL-06-08_Situated_Working_Root_Convergence_Demonstration/ScopeOfWork.md#frontmatter; sha256:6c6ae623c55b,TRACED,INITIALIZED; decomposition basis 653fabc9b3e8…; AC/VER definitions remain candidate and are expressed through non-uniform prose.
A-T-053,ROOT,ACCEPTED_AMENDMENT,D-GOV-25,Accepts the 6-package / 45-deliverable / 103-item / 7-objective decomposition and records one objective deferral.,docs/governance_harness/_DECISIONS/D-GOV-25_root_decomposition_acceptance.md#What is accepted,TRACED,AcceptedCandidateSHA ec62af…; CandidateMergeSHA ea0ad…; SOW basis/EffectiveSHA 653fabc….
A-T-054,ROOT,ACCEPTED_AMENDMENT,D-GOV-27,"Propagates four objective mappings, refreshes four contracts, initializes all 45 deliverables, and supersedes PRD O-1 by instrument.",docs/governance_harness/_DECISIONS/D-GOV-27_initialization_closing_rulings.md#Effects applied in this tranche,PARTIAL,"Effects are present, but EffectiveSHA is unbound at the review freeze."
A-T-055,ROOT,IDENTITY_WEAKNESS,ROOT-SHA-ROLES,Accepted decomposition surfaces use conflicting EffectiveSHA terminology.,execution/_Decomposition/Chirality_Root_SOFTWARE_DECOMP_v1_0.md#header; docs/governance_harness/_DECISIONS/D-GOV-25_root_decomposition_acceptance.md#header,AMBIGUOUS,"Decision record distinguishes candidate, merge, publication, and effective roles; decomposition header does not."
A-T-056,ROOT,LIFECYCLE_STATE,ROOT-CURRENT-WORKPLAN,Current pointer resolves to a goal-complete workplan still marked ACTIVE; Receipt 52 is the actual initialization handoff.,execution/_Coordination/CURRENT_WORKPLAN.md#Status; execution/_Coordination/WORKPLAN_2026-07-25_root_initialization.md#Goal; execution/_Coordination/LOOP_RECEIPTS.md#Receipt 52,AMBIGUOUS,Navigation can reopen completed initialization unless the receipt is consulted.
A-T-057,APP,DECOMPOSITION_OBJECTIVE,OBJ-001,"Provide a governed local desktop harness centred on actual human–agent dialogue, with explicit turn context, provenance-bearing inline and focused artifacts, recorded Work/Agents coordination, and evidence-derived supervision.","projects/chirality-app-dev/execution/_Decomposition/Chirality_App_vNext_SOFTWARE_DECOMP_v3_2.md#§6 OBJ-001; SOW-001-SOW-008, SOW-023",TRACED,Mapped to decomposition scope and the 51-deliverable population; live SOW rows follow.
A-T-058,APP,DECOMPOSITION_OBJECTIVE,OBJ-002,Establish product-owned runtime contracts and thin route boundaries before provider/SDK adapter behavior becomes production default.,"projects/chirality-app-dev/execution/_Decomposition/Chirality_App_vNext_SOFTWARE_DECOMP_v3_2.md#§6 OBJ-002; SOW-009-SOW-018, SOW-037-SOW-040",TRACED,Mapped to decomposition scope and the 51-deliverable population; live SOW rows follow.
A-T-059,APP,DECOMPOSITION_OBJECTIVE,OBJ-003,"Make accepted turns, provider/SDK messages, terminal outcomes, tool activity, and replay auditable through Chirality-owned session records.","projects/chirality-app-dev/execution/_Decomposition/Chirality_App_vNext_SOFTWARE_DECOMP_v3_2.md#§6 OBJ-003; SOW-014-SOW-015, SOW-039-SOW-046, SOW-059, SOW-061",TRACED,Mapped to decomposition scope and the 51-deliverable population; live SOW rows follow.
A-T-060,APP,DECOMPOSITION_OBJECTIVE,OBJ-004,"Build provider-adapter architecture with Claude Agent SDK / Anthropic as the first governed, replaceable adapter with deterministic options, prompt composition, settings isolation, and provider redaction.","projects/chirality-app-dev/execution/_Decomposition/Chirality_App_vNext_SOFTWARE_DECOMP_v3_2.md#§6 OBJ-004; SOW-016-SOW-021, SOW-044-SOW-046, SOW-051",TRACED,Mapped to decomposition scope and the 51-deliverable population; live SOW rows follow.
