LocalSeq,UnitStatement,SourceRef,ContentHash,InOutStatus,SectionID,DispatchUnitID,Corrects,Notes
1,WSR-DOMAINS-PIPING-DESIGN is a work-surface registry source for later DOMAIN_DECOMP Phase 2 atomization.,@repo/domains/chirality/_Decomposition/work_surface_registry/WSR-DOMAINS-PIPING-DESIGN.md:L5|domains/chirality/_Decomposition/source_review_html/SRC-WSR-DOMAINS-PIPING-DESIGN.html#SEC-WSR002-0002,c7b811d39bd3,IN,SEC-WSR002-0002,UNIT-WSR002-0001,,
18,Observed .proof-case content is excluded because it marks itself archived.,@repo/domains/chirality/_Decomposition/work_surface_registry/WSR-DOMAINS-PIPING-DESIGN.md:L23|domains/chirality/_Decomposition/source_review_html/SRC-WSR-DOMAINS-PIPING-DESIGN.html#SEC-WSR002-0004,b7739a78f573,IN,SEC-WSR002-0004,UNIT-WSR002-0001,,
19,_LocalIndexes is a rebuildable local source database and retrieval-index area.,@repo/domains/chirality/_Decomposition/work_surface_registry/WSR-DOMAINS-PIPING-DESIGN.md:L24|domains/chirality/_Decomposition/source_review_html/SRC-WSR-DOMAINS-PIPING-DESIGN.html#SEC-WSR002-0004,96957f3d12f9,IN,SEC-WSR002-0004,UNIT-WSR002-0001,,
20,"The skills, tools, and vocabularies roots were present only as local placeholder roots with .gitkeep at inspection time.",@repo/domains/chirality/_Decomposition/work_surface_registry/WSR-DOMAINS-PIPING-DESIGN.md:L25|domains/chirality/_Decomposition/source_review_html/SRC-WSR-DOMAINS-PIPING-DESIGN.html#SEC-WSR002-0004,d7de0ae3dc2d,IN,SEC-WSR002-0004,UNIT-WSR002-0001,,
21,"The surface is organized around source corpora first, with decomposition state and indexes as secondary processing and governance surfaces.",@repo/domains/chirality/_Decomposition/work_surface_registry/WSR-DOMAINS-PIPING-DESIGN.md:L29|domains/chirality/_Decomposition/source_review_html/SRC-WSR-DOMAINS-PIPING-DESIGN.html#SEC-WSR002-0005,6728fe5c7153,IN,SEC-WSR002-0005,UNIT-WSR002-0001,,
22,The industry-practices subarea is organized by topical chapter folders.,@repo/domains/chirality/_Decomposition/work_surface_registry/WSR-DOMAINS-PIPING-DESIGN.md:L31|domains/chirality/_Decomposition/source_review_html/SRC-WSR-DOMAINS-PIPING-DESIGN.html#SEC-WSR002-0005,c2673b39c8bd,IN,SEC-WSR002-0005,UNIT-WSR002-0001,,
23,The PDF2MD campaign plan records 108 PDFs across 19 chapter folders and chapter completion status.,@repo/domains/chirality/_Decomposition/work_surface_registry/WSR-DOMAINS-PIPING-DESIGN.md:L31|domains/chirality/_Decomposition/source_review_html/SRC-WSR-DOMAINS-PIPING-DESIGN.html#SEC-WSR002-0005,69fc3a1fefbc,IN,SEC-WSR002-0005,UNIT-WSR002-0001,,
24,The numbered industry-practices directories are interpreted as a managed conversion campaign rather than arbitrary file grouping.,@repo/domains/chirality/_Decomposition/work_surface_registry/WSR-DOMAINS-PIPING-DESIGN.md:L31|domains/chirality/_Decomposition/source_review_html/SRC-WSR-DOMAINS-PIPING-DESIGN.html#SEC-WSR002-0005,998793d4c1bb,IN,SEC-WSR002-0005,UNIT-WSR002-0001,,
25,"Audit folders, table folders, section-node CSVs, and asset manifests are support artifacts for source review and later atomization.",@repo/domains/chirality/_Decomposition/work_surface_registry/WSR-DOMAINS-PIPING-DESIGN.md:L33|domains/chirality/_Decomposition/source_review_html/SRC-WSR-DOMAINS-PIPING-DESIGN.html#SEC-WSR002-0005,e78384bae6ba,IN,SEC-WSR002-0005,UNIT-WSR002-0001,,Source marks this statement as an inference.
26,The registry should cite support artifact presence as structural evidence and not atomize those artifacts as separate implementation details in this topology pass.,@repo/domains/chirality/_Decomposition/work_surface_registry/WSR-DOMAINS-PIPING-DESIGN.md:L33|domains/chirality/_Decomposition/source_review_html/SRC-WSR-DOMAINS-PIPING-DESIGN.html#SEC-WSR002-0005,a8c4407417f1,IN,SEC-WSR002-0005,UNIT-WSR002-0001,,Source marks this statement as an inference.
27,This work surface owns piping-design knowledge source material and extraction state for domain atomization.,@repo/domains/chirality/_Decomposition/work_surface_registry/WSR-DOMAINS-PIPING-DESIGN.md:L37|domains/chirality/_Decomposition/source_review_html/SRC-WSR-DOMAINS-PIPING-DESIGN.html#SEC-WSR002-0006,893413068489,IN,SEC-WSR002-0006,UNIT-WSR002-0001,,
28,"The work surface is concerned with domain knowledge, design-practice corpora, source conversion status, local retrieval indexes, and future domain-decomposition preparation.",@repo/domains/chirality/_Decomposition/work_surface_registry/WSR-DOMAINS-PIPING-DESIGN.md:L37|domains/chirality/_Decomposition/source_review_html/SRC-WSR-DOMAINS-PIPING-DESIGN.html#SEC-WSR002-0006,d1eb94037c5d,IN,SEC-WSR002-0006,UNIT-WSR002-0001,,
29,"This work surface does not own OpenPipeStress implementation code, app tranches, schemas, runtime tests, desktop packaging, or project lifecycle state.",@repo/domains/chirality/_Decomposition/work_surface_registry/WSR-DOMAINS-PIPING-DESIGN.md:L39|domains/chirality/_Decomposition/source_review_html/SRC-WSR-DOMAINS-PIPING-DESIGN.html#SEC-WSR002-0006,e513ca5ac366,IN,SEC-WSR002-0006,UNIT-WSR002-0001,,
30,OpenPipeStress implementation code and project lifecycle state belong under projects/chirality-piping/.,@repo/domains/chirality/_Decomposition/work_surface_registry/WSR-DOMAINS-PIPING-DESIGN.md:L39|domains/chirality/_Decomposition/source_review_html/SRC-WSR-DOMAINS-PIPING-DESIGN.html#SEC-WSR002-0006,05daee175bcf,IN,SEC-WSR002-0006,UNIT-WSR002-0001,,
31,The industry-practices corpus is framed as design-stage context rather than code-compliance content.,@repo/domains/chirality/_Decomposition/work_surface_registry/WSR-DOMAINS-PIPING-DESIGN.md:L41|domains/chirality/_Decomposition/source_review_html/SRC-WSR-DOMAINS-PIPING-DESIGN.html#SEC-WSR002-0006,5d7394b9375a,IN,SEC-WSR002-0006,UNIT-WSR002-0001,,
32,"PDF-to-Markdown conversion is managed as a campaign with per-PDF workflow, filesystem audits, validation, chapter gates, and resume points.",@repo/domains/chirality/_Decomposition/work_surface_registry/WSR-DOMAINS-PIPING-DESIGN.md:L45|domains/chirality/_Decomposition/source_review_html/SRC-WSR-DOMAINS-PIPING-DESIGN.html#SEC-WSR002-0007,2c3f8f475fcf,IN,SEC-WSR002-0007,UNIT-WSR002-0001,,
33,The export interoperability plan connects the piping-design knowledge domain to downstream model/export strategy.,@repo/domains/chirality/_Decomposition/work_surface_registry/WSR-DOMAINS-PIPING-DESIGN.md:L47|domains/chirality/_Decomposition/source_review_html/SRC-WSR-DOMAINS-PIPING-DESIGN.html#SEC-WSR002-0007,f66b3cb7075a,IN,SEC-WSR002-0007,UNIT-WSR002-0001,,
34,The app is framed as a local-first open model authoring and solver-handoff workbench.,@repo/domains/chirality/_Decomposition/work_surface_registry/WSR-DOMAINS-PIPING-DESIGN.md:L47|domains/chirality/_Decomposition/source_review_html/SRC-WSR-DOMAINS-PIPING-DESIGN.html#SEC-WSR002-0007,181ace714563,IN,SEC-WSR002-0007,UNIT-WSR002-0001,,
35,"Downstream tools are responsible for formal analysis, code compliance, reporting, and professional design acceptance.",@repo/domains/chirality/_Decomposition/work_surface_registry/WSR-DOMAINS-PIPING-DESIGN.md:L47|domains/chirality/_Decomposition/source_review_html/SRC-WSR-DOMAINS-PIPING-DESIGN.html#SEC-WSR002-0007,713a7b761de7,IN,SEC-WSR002-0007,UNIT-WSR002-0001,,
36,The registry describes a domain pack adjacent to the Chirality governance-core domain.,@repo/domains/chirality/_Decomposition/work_surface_registry/WSR-DOMAINS-PIPING-DESIGN.md:L51|domains/chirality/_Decomposition/source_review_html/SRC-WSR-DOMAINS-PIPING-DESIGN.html#SEC-WSR002-0008,af341917a57f,IN,SEC-WSR002-0008,UNIT-WSR002-0001,,
37,The registry can be admitted later as a topology source for the Chirality DOMAIN_DECOMP workflow.,@repo/domains/chirality/_Decomposition/work_surface_registry/WSR-DOMAINS-PIPING-DESIGN.md:L51|domains/chirality/_Decomposition/source_review_html/SRC-WSR-DOMAINS-PIPING-DESIGN.html#SEC-WSR002-0008,6f83dd52957d,IN,SEC-WSR002-0008,UNIT-WSR002-0001,,
38,The registry is not accepted decomposition truth for either the piping-design or governance-core domain.,@repo/domains/chirality/_Decomposition/work_surface_registry/WSR-DOMAINS-PIPING-DESIGN.md:L51|domains/chirality/_Decomposition/source_review_html/SRC-WSR-DOMAINS-PIPING-DESIGN.html#SEC-WSR002-0008,6848291e40a8,IN,SEC-WSR002-0008,UNIT-WSR002-0001,,
39,"If admitted, atomization should describe the organization of the live domain surface and source-boundary posture.",@repo/domains/chirality/_Decomposition/work_surface_registry/WSR-DOMAINS-PIPING-DESIGN.md:L53|domains/chirality/_Decomposition/source_review_html/SRC-WSR-DOMAINS-PIPING-DESIGN.html#SEC-WSR002-0008,8405d51e418c,IN,SEC-WSR002-0008,UNIT-WSR002-0001,,
40,"If admitted, atomization should not target technical content from piping books, industry-practice chapters, equations, or tables.",@repo/domains/chirality/_Decomposition/work_surface_registry/WSR-DOMAINS-PIPING-DESIGN.md:L53|domains/chirality/_Decomposition/source_review_html/SRC-WSR-DOMAINS-PIPING-DESIGN.html#SEC-WSR002-0008,6a54e2f55c5e,IN,SEC-WSR002-0008,UNIT-WSR002-0001,,
41,.archive and _Archive are explicitly excluded.,@repo/domains/chirality/_Decomposition/work_surface_registry/WSR-DOMAINS-PIPING-DESIGN.md:L57|domains/chirality/_Decomposition/source_review_html/SRC-WSR-DOMAINS-PIPING-DESIGN.html#SEC-WSR002-0009,18d5127846aa,IN,SEC-WSR002-0009,UNIT-WSR002-0001,,
42,_Sources/*_pdf2md_work and per-PDF working directories are explicitly excluded as generated conversion scratch.,@repo/domains/chirality/_Decomposition/work_surface_registry/WSR-DOMAINS-PIPING-DESIGN.md:L58|domains/chirality/_Decomposition/source_review_html/SRC-WSR-DOMAINS-PIPING-DESIGN.html#SEC-WSR002-0009,a285b2dc6104,IN,SEC-WSR002-0009,UNIT-WSR002-0001,,
43,_LocalIndexes generated retrieval and index artifacts are excluded except for the README as structural evidence.,@repo/domains/chirality/_Decomposition/work_surface_registry/WSR-DOMAINS-PIPING-DESIGN.md:L59|domains/chirality/_Decomposition/source_review_html/SRC-WSR-DOMAINS-PIPING-DESIGN.html#SEC-WSR002-0009,9247c772ebc4,IN,SEC-WSR002-0009,UNIT-WSR002-0001,,
44,_Decomposition/.proof-case is excluded as authoritative decomposition truth because its README marks it archived.,@repo/domains/chirality/_Decomposition/work_surface_registry/WSR-DOMAINS-PIPING-DESIGN.md:L60|domains/chirality/_Decomposition/source_review_html/SRC-WSR-DOMAINS-PIPING-DESIGN.html#SEC-WSR002-0009,e2eee8e5d879,IN,SEC-WSR002-0009,UNIT-WSR002-0001,,
45,Bulk extraction support artifacts are excluded as atomization targets in this registry pass and used as structural evidence only.,@repo/domains/chirality/_Decomposition/work_surface_registry/WSR-DOMAINS-PIPING-DESIGN.md:L61|domains/chirality/_Decomposition/source_review_html/SRC-WSR-DOMAINS-PIPING-DESIGN.html#SEC-WSR002-0009,f5118886b94c,IN,SEC-WSR002-0009,UNIT-WSR002-0001,,
46,"OpenPipeStress implementation code, project execution state, and app validation artifacts under projects/chirality-piping are excluded.",@repo/domains/chirality/_Decomposition/work_surface_registry/WSR-DOMAINS-PIPING-DESIGN.md:L62|domains/chirality/_Decomposition/source_review_html/SRC-WSR-DOMAINS-PIPING-DESIGN.html#SEC-WSR002-0009,bb37b1f538b3,IN,SEC-WSR002-0009,UNIT-WSR002-0001,,
47,_Decomposition/.proof-case remains excluded from authoritative decomposition truth unless a human later accepts it as historical evidence only.,@repo/domains/chirality/_Decomposition/work_surface_registry/WSR-DOMAINS-PIPING-DESIGN.md:L66|domains/chirality/_Decomposition/source_review_html/SRC-WSR-DOMAINS-PIPING-DESIGN.html#SEC-WSR002-0010,58d6f52fc1b1,IN,SEC-WSR002-0010,UNIT-WSR002-0001,,
48,"Later admission of private industry-practices material should preserve its boundary as design-judgment context, not redistributed code content.",@repo/domains/chirality/_Decomposition/work_surface_registry/WSR-DOMAINS-PIPING-DESIGN.md:L67|domains/chirality/_Decomposition/source_review_html/SRC-WSR-DOMAINS-PIPING-DESIGN.html#SEC-WSR002-0010,23f9d8c91bf0,IN,SEC-WSR002-0010,UNIT-WSR002-0001,,
49,"No live local skill, tool, or vocabulary contracts should be inferred from placeholder directories without later inspection.",@repo/domains/chirality/_Decomposition/work_surface_registry/WSR-DOMAINS-PIPING-DESIGN.md:L68|domains/chirality/_Decomposition/source_review_html/SRC-WSR-DOMAINS-PIPING-DESIGN.html#SEC-WSR002-0010,48f8f0568f83,IN,SEC-WSR002-0010,UNIT-WSR002-0001,,
