BoundaryRowID,Function,SemanticOwner,Producers,Consumers,AuthoritativeRecord,CompatibilityObligation,FallbackBehavior,ChangeRoute,Disposition,EvidenceRefs
B-B-011,Credentials and session state,Root runtime operational owner with project-specific permission boundaries,"Daemon credential/session stores and engine providers","Authenticated clients and project adapters","Per-user daemon operational state; project files remain authority","Credentials/session data must not enter public export or silently grant project authority","Loss of operational state may require re-auth/restart but cannot change accepted product state","Root runtime security/change route plus client compatibility notice",PARTIAL,"da31c19b5656dd74615e308c4215688971d33dc9:AGENTS.md#Shared-Runtime-Doctrine; da31c19b5656dd74615e308c4215688971d33dc9:docs/governance_harness/_DECISIONS/D-GOV-20_shared_runtime_local_agent_pilot.md#Security"
B-B-012,Notices and drift,Change-owning tranche plus receiving loop,"Root HELPS_HUMANS/change tranches and per-loop drift checks","Pinned downstream project/domain loops","Coordination notices plus each receiver's own authoritative instruments/manifests","Notice carries minimum context and never substitutes for adoption; pins must detect drift","Receiver continues under existing accepted state until it adopts/amends/declines","Agent-index notice rule and each receiving loop's coordination surface",PARTIAL,"da31c19b5656dd74615e308c4215688971d33dc9:AGENTS.md#Agent-index-change-notice-rule; da31c19b5656dd74615e308c4215688971d33dc9:domains/chirality/_Sources/Source_Manifest.csv#all-rows"
B-B-013,Application integration,Each situated application owner,"App client, PEC client seam, project adapters","Human users and domain workflows","Application PRD/decomposition/SOW plus pinned Root runtime contracts","Integration must preserve Root transport semantics and the application's own authority/gates","Application remains governable through files even when optional PEC or candidate services are absent","Application SCOPE_CHANGE and owner gate; Root notices for shared changes",PARTIAL,"da31c19b5656dd74615e308c4215688971d33dc9:docs/governance_harness/_DECISIONS/D-GOV-20_shared_runtime_local_agent_pilot.md#Project-boundaries; da31c19b5656dd74615e308c4215688971d33dc9:projects/chirality-app-dev/docs/PRD.md#Shared-runtime-amendment"
B-B-014,Optional PEC fallback,Root/App/project workflow owners,"Files, Git and ordinary governed agents without PEC","Every governed workflow","Original product files and Git; PEC is derivative only","No governed act may depend on PEC availability or projection state","Delete PEC store/service; workflows continue and projections can rebuild","PEC release kill test and owner-gated PEC changes",EXPLICIT,"da31c19b5656dd74615e308c4215688971d33dc9:projects/pec/docs/PRD.md#PEC-K-01; da31c19b5656dd74615e308c4215688971d33dc9:projects/pec/execution/_Decomposition/Deliverables.csv#DEL-10-02"
B-B-015,Optional resource-governance candidate,No accepted product owner yet,"Charter-only proposed future service","Potential Root/App/PEC/human planning consumers","None in accepted Root/App/PEC basis","If adopted, must remain non-authoritative, optional and non-correctness-critical","No service exists; current products operate unchanged","New owner proposal and explicit human scope/authority decision",CANDIDATE_ONLY,"da31c19b5656dd74615e308c4215688971d33dc9:plans/chirality_program_architecture_and_tandem_review_2026-07-25.html#resource-governance"
B-B-016,Migration and rollback,"Root runtime for generic state; each project for its own data/adapter state","Runtime migration tools and project adapters","App, PEC and future clients","Runtime migration records plus project SOW/evidence","Version transitions must preserve file authority, client compatibility and recoverable rollback","Restore previous compatible client/runtime or rebuild derivative state from files","Root runtime change plus project-specific SCOPE_CHANGE/receipts",PARTIAL,"da31c19b5656dd74615e308c4215688971d33dc9:docs/governance_harness/_DECISIONS/D-GOV-20_shared_runtime_local_agent_pilot.md#Migration; da31c19b5656dd74615e308c4215688971d33dc9:projects/chirality-app-dev/execution/_ScopeChange/SCA-APP-003_2026-07-22_Shared_Runtime_Local_Agent_Pilot/Propagation_Plan.md#Rollback"
B-B-017,Release and conformance evidence,Owning product release authority,"Validators, tests, reviewers and package workflows","Human release/issuance decision","Exact tool-basis evidence, SOW verification claims, snapshots and receipts","Validator era and exact inputs must be named; PASS does not create authority","Release remains blocked/pending if required evidence or human gate is absent","REVIEW/EVALUATION then human release/issuance gate",PARTIAL,"da31c19b5656dd74615e308c4215688971d33dc9:docs/DELIVERABLE_SCOPE_OF_WORK_STANDARD.md#Verification; da31c19b5656dd74615e308c4215688971d33dc9:projects/chirality-app-dev/execution/_Decomposition/Chirality_App_vNext_SOFTWARE_DECOMP_v3_2.md#10A"
B-B-018,Root decomposition acceptance,Root owner under D-GOV-25,"SOFTWARE_DECOMP and PROJECT_SETUP","45 Root SOWs and future work","D-GOV-25 plus accepted seven-file decomposition package","SHA roles and accepted amendments must stay precise","No downstream work beyond the accepted/deferred scope","Root SCOPE_CHANGE/decomposition amendment and owner gate",PARTIAL,"da31c19b5656dd74615e308c4215688971d33dc9:docs/governance_harness/_DECISIONS/D-GOV-25_root_decomposition_acceptance.md#What-is-accepted; da31c19b5656dd74615e308c4215688971d33dc9:execution/_Decomposition/Chirality_Root_SOFTWARE_DECOMP_v1_0.md#header"
B-B-019,App decomposition acceptance,App owner,"SOFTWARE_DECOMP and App scope-change packages","53 App SOWs and implementation/review workflows","Current v3.2 decomposition plus accumulated D-APP rulings","Exact accepted bytes and amendment chain should be reconstructible","Unaccepted/candidate surfaces cannot substitute for decomposition truth","App owner decomposition ruling and SCOPE_CHANGE",GAP,"da31c19b5656dd74615e308c4215688971d33dc9:projects/chirality-app-dev/execution/_Decomposition/Chirality_App_vNext_SOFTWARE_DECOMP_v3_2.md#Gate-Posture; da31c19b5656dd74615e308c4215688971d33dc9:projects/chirality-app-dev/execution/_Coordination/_DECISIONS/_REGISTER.md#Status-note"
B-B-020,PEC decomposition acceptance,PEC owner under D-PEC-60/61/64,"DOMAIN_DECOMP/SCOPE_CHANGE packages","64 PEC deliverables and 32 initialized SOWs","Revision 1.2 SOFTWARE_DECOMP plus companion registers and rulings","32 later-phase SOWs remain lawfully deferred; objective coverage remains explicit","Open deliverables do not execute until their owner-gated phase packets","PEC SCOPE_CHANGE and per-tranche owner ruling",EXPLICIT,"da31c19b5656dd74615e308c4215688971d33dc9:projects/pec/execution/_Coordination/_DECISIONS/D-PEC-60_decomposition_session.md#Ruling; da31c19b5656dd74615e308c4215688971d33dc9:projects/pec/execution/_Coordination/_DECISIONS/D-PEC-64_sca_002_objective_mapping_session.md#Ruling"
B-B-021,App private contract mirror,App D-APP-48 contract owner,"12 Root/App harness contract source files","Private App contract-pull consumers","D-APP-48 JSON SHA pins","Every source rewrite requires repin/retire/supersession and consumer routing","Consumer should refuse stale hashes rather than silently accept shims","App decision owner and SCOPE_CHANGE notice",CONFLICT,"da31c19b5656dd74615e308c4215688971d33dc9:projects/chirality-app-dev/execution/_Coordination/_DECISIONS/D-APP-48_FLOW_A_PULL_CONTRACT_2026-07-04.json#source_files; da31c19b5656dd74615e308c4215688971d33dc9:projects/chirality-app-dev/execution/_ScopeChange/SCA-APP-003_2026-07-22_Shared_Runtime_Local_Agent_Pilot/Supersession_Map.csv#all-rows"
B-B-022,Current-state handoff,Each owning loop,"Receipts, status files, handoff records and current pointers","Next human/agent session","Latest accepted receipt/status plus explicit handoff state","Pointers and handoffs must converge on terminal state and name accepted inputs/blockers","If inconsistent, next session must orient from governing receipt and stop consequential continuation","Owning loop closeout/handoff amendment",PARTIAL,"da31c19b5656dd74615e308c4215688971d33dc9:AGENTS.md#Handoff-state-rule; da31c19b5656dd74615e308c4215688971d33dc9:execution/_Coordination/LOOP_RECEIPTS.md#Receipt-52; da31c19b5656dd74615e308c4215688971d33dc9:projects/chirality-app-dev/loop/LOOP_RECEIPTS.md#Receipt-91"
