SourceScopeID,SourceInOut,SourceStatement,SourcePackages,SourceDeliverables,Successors,SourceObjectives,Disposition,ReplacementRule,OpenIssue,State,ExactPredicateSource
SOW-011,IN,"Deterministic tools, guards, and validators supply findings to the three judgments and gate objective preconditions; they never perform any of the judgments.",PKG-01_Product_Definition_Normative_Basis_and_Authority,DEL-01-04_Human_Authority_and_Three_Judgment_Gate_Model,GOV-01-04,OBJ-002,TRANSFER_OR_REHOME,"Deterministic tools, guards, and validators supply findings to the three judgments and gate objective preconditions; they never perform any of the judgments.",FALSE,CANDIDATE_NOT_ACCEPTED,CANON/SCOPE_PREDICATE_SUCCESSORS.csv SOW-011
SOW-012,IN,"The categories classify functions and authority relationships, are non-exclusive, and do not prescribe four packages; the decomposition partition is not determined by them.",PKG-04_Developmental_Machinery_and_Change_Control,DEL-04-10_Decomposition_Pipeline_and_Root_Coverage_Demonstration,GOV-04-10,,TRANSFER_OR_REHOME,"The categories classify functions and authority relationships, are non-exclusive, and do not prescribe four packages; the decomposition partition is not determined by them.",FALSE,CANDIDATE_NOT_ACCEPTED,CANON/SCOPE_PREDICATE_SUCCESSORS.csv SOW-012
SOW-013,IN,"Dynamic registries are incorporated by reference rather than restated; where a live registry and a narrative list disagree, the live registry governs and the discrepancy is surfaced.",PKG-02_Operative_Instruction_Surface_and_Runtime_Layers,DEL-02-05_Live_Registry_Discipline_for_Skills_and_Tools,GOV-02-05,OBJ-001,TRANSFER_OR_REHOME,"Dynamic registries are incorporated by reference rather than restated; where a live registry and a narrative list disagree, the live registry governs and the discrepancy is surfaced.",FALSE,CANDIDATE_NOT_ACCEPTED,CANON/SCOPE_PREDICATE_SUCCESSORS.csv SOW-013
SOW-014,IN,"For authoritative governance and project-coordination state the substrate is git-tracked plain files; no external database, server state, or configuration holds that truth, rebuildable projections are permitted and never citable as authority, and a decision not in a versioned file does not exist for reliance.",PKG-01_Product_Definition_Normative_Basis_and_Authority,DEL-01-05_File_Native_Authority_Substrate_Conformance,GOV-01-05,OBJ-007,TRANSFER_OR_REHOME,"For authoritative governance and project-coordination state the substrate is git-tracked plain files; no external database, server state, or configuration holds that truth, rebuildable projections are permitted and never citable as authority, and a decision not in a versioned file does not exist for reliance.",FALSE,CANDIDATE_NOT_ACCEPTED,CANON/SCOPE_PREDICATE_SUCCESSORS.csv SOW-014
SOW-015,IN,Domain engines own authoritative domain truth and are exempt from the rebuildable-projection rule; the product governs the work around the engine and is never the solver or the source of accepted engineering truth.,PKG-06_Self_Application_Variants_and_Release,DEL-06-05_Domain_Engine_Truth_Boundary,GOV-06-05,OBJ-005,TRANSFER_OR_REHOME,Domain engines own authoritative domain truth and are exempt from the rebuildable-projection rule; the product governs the work around the engine and is never the solver or the source of accepted engineering truth.,FALSE,CANDIDATE_NOT_ACCEPTED,CANON/SCOPE_PREDICATE_SUCCESSORS.csv SOW-015
SOW-016,IN,The invariant catalog is the binding constraint set the product must continue to satisfy; it governs its own membership and no parallel invariant list is maintained.,PKG-01_Product_Definition_Normative_Basis_and_Authority,DEL-01-02_Invariant_Catalog_Conformance_Register,GOV-01-02,OBJ-001,TRANSFER_OR_REHOME,The invariant catalog remains the binding constraint set for Root governance and project work; it governs its own membership and no parallel invariant list is maintained.,FALSE,CANDIDATE_NOT_ACCEPTED,CANON/SCOPE_PREDICATE_SUCCESSORS.csv SOW-016
SOW-017,IN,"Human authority holds at every consequential gate: only humans author binding approvals, approvals bind to a specific git SHA and are voided by content change, approvals are always and only binding, gates are dynamic per project with a stated minimum, and no machine BLOCK on the issuance judgment is non-overridable.",PKG-01_Product_Definition_Normative_Basis_and_Authority,DEL-01-04_Human_Authority_and_Three_Judgment_Gate_Model,GOV-01-04,OBJ-002,TRANSFER_OR_REHOME,"Human authority holds at every consequential gate: only humans author binding approvals, approvals bind to a specific git SHA and are voided by content change, approvals are always and only binding, gates are dynamic per project with a stated minimum, and no machine BLOCK on the issuance judgment is non-overridable.",FALSE,CANDIDATE_NOT_ACCEPTED,CANON/SCOPE_PREDICATE_SUCCESSORS.csv SOW-017
SOW-018,IN,"Epistemic discipline is architectural rather than advisory: mandatory provenance, unknowns become TBD rather than guesses, conflicts are surfaced with pointers rather than silently resolved, and claims are calibrated to their warrant.",PKG-01_Product_Definition_Normative_Basis_and_Authority,DEL-01-03_Authority_Chain_and_Conflict_Surfacing_Conformance,GOV-01-03,OBJ-001,TRANSFER_OR_REHOME,"Epistemic discipline is architectural rather than advisory: mandatory provenance, unknowns become TBD rather than guesses, conflicts are surfaced with pointers rather than silently resolved, and claims are calibrated to their warrant.",FALSE,CANDIDATE_NOT_ACCEPTED,CANON/SCOPE_PREDICATE_SUCCESSORS.csv SOW-018
SOW-019,IN,Every agent has an explicit declared write scope.,PKG-02_Operative_Instruction_Surface_and_Runtime_Layers,DEL-02-04_Declared_Write_Scope_and_Capability_Boundary_Controls,GOV-02-04,OBJ-004,TRANSFER_OR_REHOME,Every agent has an explicit declared write scope.,FALSE,CANDIDATE_NOT_ACCEPTED,CANON/SCOPE_PREDICATE_SUCCESSORS.csv SOW-019
SOW-020,IN,Every scope path and write target resolves under the active checkout or the task stops.,PKG-03_Governed_Execution_Structure_and_Root_Containment,DEL-03-01_Path_Model_and_ScopePath_Containment_Conformance,GOV-03-01,OBJ-004,TRANSFER_OR_REHOME,Every scope path and write target resolves under the active checkout or the task stops.,FALSE,CANDIDATE_NOT_ACCEPTED,CANON/SCOPE_PREDICATE_SUCCESSORS.csv SOW-020
SOW-021,IN,Task outputs to tool roots are immutable snapshots.,PKG-05_Evidence_Provenance_and_Audit,DEL-05-02_Snapshot_Handoff_and_Receipt_Discipline,GOV-05-02,OBJ-003,TRANSFER_OR_REHOME,Task outputs to tool roots are immutable snapshots.,FALSE,CANDIDATE_NOT_ACCEPTED,CANON/SCOPE_PREDICATE_SUCCESSORS.csv SOW-021
SOW-022,IN,"The authority chain runs DIRECTIVE to CONTRACT to SPEC to TYPES with the live instruction surface alongside; where a lower or candidate document conflicts with ratified governance, ratified governance controls and the conflict is surfaced.",PKG-01_Product_Definition_Normative_Basis_and_Authority,DEL-01-03_Authority_Chain_and_Conflict_Surfacing_Conformance,GOV-01-03,OBJ-001,TRANSFER_OR_REHOME,"The authority chain runs DIRECTIVE to CONTRACT to SPEC to TYPES with the live instruction surface alongside; where a lower or candidate document conflicts with ratified governance, ratified governance controls and the conflict is surfaced.",FALSE,CANDIDATE_NOT_ACCEPTED,CANON/SCOPE_PREDICATE_SUCCESSORS.csv SOW-022
SOW-023,IN,"The four pillars - ontology, epistemology, praxiology, axiology - are the accountability ontology, and ontology, praxiology, and axiology exist to serve the epistemology.",PKG-01_Product_Definition_Normative_Basis_and_Authority,DEL-01-06_Four_Pillars_and_Professional_Responsibility_Conformance,GOV-01-06,,TRANSFER_OR_REHOME,"The four pillars - ontology, epistemology, praxiology, axiology - are the accountability ontology, and ontology, praxiology, and axiology exist to serve the epistemology.",FALSE,CANDIDATE_NOT_ACCEPTED,CANON/SCOPE_PREDICATE_SUCCESSORS.csv SOW-023
SOW-024,IN,"The professional-responsibility model holds where it activates: AI outputs are drafts, the licensed professional retains scope, code selection, hazard acceptance, adjudication and issuance rights, competence includes tool competence, and the hierarchy of authority runs laws to codes to project specifications to verified analysis to professional judgment.",PKG-01_Product_Definition_Normative_Basis_and_Authority,DEL-01-06_Four_Pillars_and_Professional_Responsibility_Conformance,GOV-01-06,OBJ-002,TRANSFER_OR_REHOME,"The professional-responsibility model holds where it activates: AI outputs are drafts, the licensed professional retains scope, code selection, hazard acceptance, adjudication and issuance rights, competence includes tool competence, and the hierarchy of authority runs laws to codes to project specifications to verified analysis to professional judgment.",FALSE,CANDIDATE_NOT_ACCEPTED,CANON/SCOPE_PREDICATE_SUCCESSORS.csv SOW-024
SOW-025,IN,"The normative basis is a constituent of the product rather than documentation about it: the requirement is that the running system continue to satisfy the invariants, not that it describe them.",PKG-01_Product_Definition_Normative_Basis_and_Authority,DEL-01-02_Invariant_Catalog_Conformance_Register,GOV-01-02,OBJ-001,TRANSFER_OR_REHOME,The normative basis binds actual instruction/tool and project operation rather than merely describing it; Root governance conformance does not require Root product materialization.,FALSE,CANDIDATE_NOT_ACCEPTED,CANON/SCOPE_PREDICATE_SUCCESSORS.csv SOW-025
SOW-026,IN,"The shared instruction surface is release-managed and read-mostly, and changing it is a repo-wide governance action rather than ordinary working-root execution.",PKG-02_Operative_Instruction_Surface_and_Runtime_Layers,DEL-02-01_Instruction_Surface_Membership_and_Release_Management,GOV-02-01,OBJ-001,TRANSFER_OR_REHOME,"The shared instruction surface is release-managed and read-mostly, and changing it is a repo-wide governance action rather than ordinary working-root execution.",FALSE,CANDIDATE_NOT_ACCEPTED,CANON/SCOPE_PREDICATE_SUCCESSORS.csv SOW-026
SOW-027,IN,"The product operates through three layers with distinct authority boundaries: instruction artifacts carrying semantic authority contracts, deterministic tools producing facts and findings and never substituting for semantic judgment, and the runtime executable substrate whose transport never grants project authority and whose user-data state is operational rather than project truth.",PKG-02_Operative_Instruction_Surface_and_Runtime_Layers,DEL-02-02_Three_Layer_Authority_Boundary_Conformance,GOV-02-02,OBJ-002,TRANSFER_OR_REHOME,"Instruction artifacts, deterministic tools and runtime retain distinct authority boundaries. Root owns shared instruction/tool governance; projects/chirality-runtime owns the runtime product. Tools never substitute for semantic judgment, runtime transport never grants project authority, and user-data state remains operational.",FALSE,CANDIDATE_NOT_ACCEPTED,CANON/SCOPE_PREDICATE_SUCCESSORS.csv SOW-027
SOW-028,IN,"The runtime delegation hierarchy is Agent 0 to Agent 1 to Agent 2 with declared entry rules, no delegation below Agent 2, and three Agent 2 construction forms; role membership is incorporated by reference to the live index.",PKG-02_Operative_Instruction_Surface_and_Runtime_Layers,DEL-02-03_Delegation_Hierarchy_and_Entry_Rules,GOV-02-03,OBJ-002,TRANSFER_OR_REHOME,"The runtime delegation hierarchy is Agent 0 to Agent 1 to Agent 2 with declared entry rules, no delegation below Agent 2, and three Agent 2 construction forms; role membership is incorporated by reference to the live index.",FALSE,CANDIDATE_NOT_ACCEPTED,CANON/SCOPE_PREDICATE_SUCCESSORS.csv SOW-028
SOW-029,IN,"Capability never confers authority: delegation implies no capability inheritance, a child's capability never becomes its parent's, and every child remains subject to sealed context, gate approval, path containment, enforced read/write scope, and durable evidence.",PKG-02_Operative_Instruction_Surface_and_Runtime_Layers,DEL-02-04_Declared_Write_Scope_and_Capability_Boundary_Controls,GOV-02-04,OBJ-004,TRANSFER_OR_REHOME,"Capability never confers authority: delegation implies no capability inheritance, a child's capability never becomes its parent's, and every child remains subject to sealed context, gate approval, path containment, enforced read/write scope, and durable evidence.",FALSE,CANDIDATE_NOT_ACCEPTED,CANON/SCOPE_PREDICATE_SUCCESSORS.csv SOW-029
SOW-030,IN,"Method packs and deterministic operations are maintained as live registries, and the live registry is authoritative over any narrative list.",PKG-02_Operative_Instruction_Surface_and_Runtime_Layers,DEL-02-05_Live_Registry_Discipline_for_Skills_and_Tools,GOV-02-05,OBJ-001,TRANSFER_OR_REHOME,"Method packs and deterministic operations are maintained as live registries, and the live registry is authoritative over any narrative list.",FALSE,CANDIDATE_NOT_ACCEPTED,CANON/SCOPE_PREDICATE_SUCCESSORS.csv SOW-030
SOW-031,IN,"The path model defines two roots, one containment rule, and a closed root-token registry, and instruction, coordination, and plan files must not embed machine-absolute paths.",PKG-03_Governed_Execution_Structure_and_Root_Containment,DEL-03-01_Path_Model_and_ScopePath_Containment_Conformance,GOV-03-01,OBJ-007,TRANSFER_OR_REHOME,Declared path tokens and containment remain binding. Root governance maintenance uses independently authorized repository scopes; in-tree v1 project writes remain project-contained and external v2 instruction roots disjoint. Instruction/coordination/plan files carry no machine-absolute paths.,FALSE,CANDIDATE_NOT_ACCEPTED,CANON/SCOPE_PREDICATE_SUCCESSORS.csv SOW-031
SOW-032,IN,"Governed work is structured as execution instances containing flat packages and deliverables with stable IDs, a canonical lifecycle state file, and human-triaged staleness propagation.",PKG-03_Governed_Execution_Structure_and_Root_Containment,DEL-03-02_Execution_Structure_and_Lifecycle_Conformance,GOV-03-02,OBJ-002,TRANSFER_OR_REHOME,"Ordinary project product work uses execution instances, flat packages/deliverables, stable IDs, canonical lifecycle and human-triaged staleness. Root historical product state remains reserved evidence, excluded from active scanners after effective retirement.",FALSE,CANDIDATE_NOT_ACCEPTED,CANON/SCOPE_PREDICATE_SUCCESSORS.csv SOW-032
SOW-033,IN,"Deliverable-local dependency registers are authoritative and no central dependency graph is authoritative, while derived and aggregated graphs remain lawful coordination state including on-demand read-only aggregation and full-graph blocker computation.",PKG-03_Governed_Execution_Structure_and_Root_Containment,DEL-03-03_Dependency_Register_and_Derived_Graph_Boundary,GOV-03-03,OBJ-006,TRANSFER_OR_REHOME,"Deliverable-local dependency registers are authoritative and no central dependency graph is authoritative, while derived and aggregated graphs remain lawful coordination state including on-demand read-only aggregation and full-graph blocker computation.",FALSE,CANDIDATE_NOT_ACCEPTED,CANON/SCOPE_PREDICATE_SUCCESSORS.csv SOW-033
SOW-034,IN,"The instruction root is separated from the working root with exactly one governed exception - the root product's working root is the repository root and root execution/ is its execution root, eligible for packages and deliverables only from an accepted root decomposition derived from an adopted PRD and only while the guards pass - and the replacement containment contract of mechanisms M1-M7 and guards G0-G4 with its gate ordering is required and incorporated by reference.",PKG-03_Governed_Execution_Structure_and_Root_Containment,DEL-03-04_Root_Working_Root_Exception_Conformance;DEL-03-05_Guard_State_Instantiation_and_Registration,GOV-03-04;GOV-03-05,OBJ-004,TRANSFER_OR_REHOME,"After effective retirement the Root product working-root/materialization exception is closed. Root governance/instruction maintenance retains explicit authorized scope, frozen basis, applicable isolation/serialization, real delegation and M2/G4/M6; successor G0–G3 validate historical accounting and deny new Root product activation. Runtime registration grants no instruction-write exception.",FALSE,CANDIDATE_NOT_ACCEPTED,CANON/SCOPE_PREDICATE_SUCCESSORS.csv SOW-034
SOW-035,IN,"The operative product's boundary is exactly the three layers; no fourth machine execution substrate is claimed and none of the layers holds or grants project authority, which is why an instruction-surface change is a governance act rather than a code change.",PKG-02_Operative_Instruction_Surface_and_Runtime_Layers,DEL-02-02_Three_Layer_Authority_Boundary_Conformance,GOV-02-02,OBJ-002,TRANSFER_OR_REHOME,"Instruction, tool and runtime layers remain distinct; no fourth substrate or machine-granted project authority exists. Root shared governance responsibility is not runtime product ownership, and instruction changes remain governance acts.",FALSE,CANDIDATE_NOT_ACCEPTED,CANON/SCOPE_PREDICATE_SUCCESSORS.csv SOW-035
SOW-036,IN,"A design change is carried by one of two terminal artifacts - it supersedes a decision record or arrives as PR review - never a new plan document; where the vehicle is a decision record it carries status, verbatim owner ruling, SHAs, date, framing, accepted basis, and record convention, with the register navigational and the per-decision records governing.",PKG-04_Developmental_Machinery_and_Change_Control,DEL-04-01_Decision_Record_and_Terminal_Artifact_Discipline,GOV-04-01,OBJ-003,TRANSFER_OR_REHOME,"A design change is carried by one of two terminal artifacts - it supersedes a decision record or arrives as PR review - never a new plan document; where the vehicle is a decision record it carries status, verbatim owner ruling, SHAs, date, framing, accepted basis, and record convention, with the register navigational and the per-decision records governing.",FALSE,CANDIDATE_NOT_ACCEPTED,CANON/SCOPE_PREDICATE_SUCCESSORS.csv SOW-036
SOW-037,IN,Within the two record classes where the convention governs - published decision records carrying the supersede-never-edit convention and ruled candidate packets bound to an accepted candidate SHA - corrections to ruled content are superseding acts rather than edits.,PKG-04_Developmental_Machinery_and_Change_Control,DEL-04-01_Decision_Record_and_Terminal_Artifact_Discipline,GOV-04-01,OBJ-003,TRANSFER_OR_REHOME,Within the two record classes where the convention governs - published decision records carrying the supersede-never-edit convention and ruled candidate packets bound to an accepted candidate SHA - corrections to ruled content are superseding acts rather than edits.,FALSE,CANDIDATE_NOT_ACCEPTED,CANON/SCOPE_PREDICATE_SUCCESSORS.csv SOW-037
SOW-038,IN,"Attribution of rulings and adoptions matches an owner-curated identity allowlist, identity-dependent checks refuse rather than guess, and the list is not extended programmatically.",PKG-04_Developmental_Machinery_and_Change_Control,DEL-04-02_Identity_Attribution_and_Refusal_Controls,GOV-04-02,OBJ-002,TRANSFER_OR_REHOME,"Attribution of rulings and adoptions matches an owner-curated identity allowlist, identity-dependent checks refuse rather than guess, and the list is not extended programmatically.",FALSE,CANDIDATE_NOT_ACCEPTED,CANON/SCOPE_PREDICATE_SUCCESSORS.csv SOW-038
SOW-039,IN,"Validation is deterministic and severity-typed with exit-code semantics and human-only recorded BLOCK override, BLOCK never means globally proven safe or unsafe, and a validator finding may never mechanically reject content the owner has ruled - where ruled text trips a validator, the validator is defective.",PKG-04_Developmental_Machinery_and_Change_Control,DEL-04-03_Validation_Severity_and_Override_Controls,GOV-04-03,OBJ-003,TRANSFER_OR_REHOME,"Validation is deterministic and severity-typed with exit-code semantics and human-only recorded BLOCK override, BLOCK never means globally proven safe or unsafe, and a validator finding may never mechanically reject content the owner has ruled - where ruled text trips a validator, the validator is defective.",FALSE,CANDIDATE_NOT_ACCEPTED,CANON/SCOPE_PREDICATE_SUCCESSORS.csv SOW-039
SOW-040,IN,"Phase-crossing work is bound by the governance integration rules - derivative-package, snapshot, handoff-state, closure, sequencing, cycle-resolution, and change-notice routing - incorporated by reference.",PKG-04_Developmental_Machinery_and_Change_Control,DEL-04-04_Governance_Integration_Rules_and_Change_Notice_Routing,GOV-04-04,OBJ-003,TRANSFER_OR_REHOME,"Phase-crossing work is bound by the governance integration rules - derivative-package, snapshot, handoff-state, closure, sequencing, cycle-resolution, and change-notice routing - incorporated by reference.",FALSE,CANDIDATE_NOT_ACCEPTED,CANON/SCOPE_PREDICATE_SUCCESSORS.csv SOW-040
SOW-041,IN,"Root-product development runs through a governed loop with a session-init contract, a deterministic standing-plan pointer, and an append-only receipts log, and coordination surfaces carry no authority merely because they exist; on disagreement with a live source the live source governs and the delta is recorded.",PKG-04_Developmental_Machinery_and_Change_Control,DEL-04-05_Root_Governed_Loop_and_Receipt_Discipline;DEL-04-11_Root_Loop_Receipt_Validator,GOV-04-05;GOV-04-11,OBJ-003,TRANSFER_OR_REHOME,"Root governance runs through its session-init contract, deterministic intent-plan pointer and append-only receipts. Coordination records grant no authority; current accepted instruments govern and discrepancies are recorded. Runtime maintains its own product entry/evidence.",FALSE,CANDIDATE_NOT_ACCEPTED,CANON/SCOPE_PREDICATE_SUCCESSORS.csv SOW-041
SOW-042,IN,"Git closeout in every registered loop runs through the shared change-management role with human-gated pull requests as the standing default. Beyond that default, the owner may direct merge execution — typed by the owner directly or executed by an agent as the owner's proxy, identical authority either way — with the direction recorded in the loop's ordinary closeout evidence (approved source HEAD, owner direction, effective merge SHA), preserving K-MERGE-1. Each loop's stricter local merge discipline remains controlling until that loop adopts or acknowledges the policy under its own instruments.",PKG-04_Developmental_Machinery_and_Change_Control,DEL-04-06_Change_Management_and_Human_Gated_Closeout,GOV-04-06,OBJ-002,TRANSFER_OR_REHOME,"Git closeout in every registered loop runs through the shared change-management role with human-gated pull requests as the standing default. Beyond that default, the owner may direct merge execution — typed by the owner directly or executed by an agent as the owner's proxy, identical authority either way — with the direction recorded in the loop's ordinary closeout evidence (approved source HEAD, owner direction, effective merge SHA), preserving K-MERGE-1. Each loop's stricter local merge discipline remains controlling until that loop adopts or acknowledges the policy under its own instruments.",FALSE,CANDIDATE_NOT_ACCEPTED,CANON/SCOPE_PREDICATE_SUCCESSORS.csv SOW-042
SOW-043,IN,"The decomposition pipeline is not waivable: packages and deliverables come only from an accepted decomposition, and nothing authorizes inventing packages from discussion.",PKG-04_Developmental_Machinery_and_Change_Control,DEL-04-10_Decomposition_Pipeline_and_Root_Coverage_Demonstration,GOV-04-10,OBJ-002,TRANSFER_OR_REHOME,"The decomposition pipeline is not waivable: packages and deliverables come only from an accepted decomposition, and nothing authorizes inventing packages from discussion.",FALSE,CANDIDATE_NOT_ACCEPTED,CANON/SCOPE_PREDICATE_SUCCESSORS.csv SOW-043
SOW-044,IN,"The public-export boundary is an explicit allowlist profile that copies allowlisted content, sanitizes private absolute paths, writes a manifest and report, and fails on forbidden paths or leaks; the profile is the boundary contract and is incorporated by reference.",PKG-04_Developmental_Machinery_and_Change_Control,DEL-04-07_Public_Export_Boundary_Conformance,GOV-04-07,OBJ-001,TRANSFER_OR_REHOME,"The public-export boundary is an explicit allowlist profile that copies allowlisted content, sanitizes private absolute paths, writes a manifest and report, and fails on forbidden paths or leaks; the profile is the boundary contract and is incorporated by reference.",FALSE,CANDIDATE_NOT_ACCEPTED,CANON/SCOPE_PREDICATE_SUCCESSORS.csv SOW-044
SOW-045,IN,"A tranche changing surfaces that downstream loops pin or mirror ships a routed coordination notice to each affected loop in the same tranche, as coordination rather than authority.",PKG-04_Developmental_Machinery_and_Change_Control,DEL-04-04_Governance_Integration_Rules_and_Change_Notice_Routing,GOV-04-04,OBJ-003,TRANSFER_OR_REHOME,"A tranche changing surfaces that downstream loops pin or mirror ships a routed coordination notice to each affected loop in the same tranche, as coordination rather than authority.",FALSE,CANDIDATE_NOT_ACCEPTED,CANON/SCOPE_PREDICATE_SUCCESSORS.csv SOW-045
SOW-046,IN,"Developmental machinery is product scope rather than surrounding process - a legitimate target of decomposition, deliverables, and acceptance rather than exempt overhead.",PKG-04_Developmental_Machinery_and_Change_Control,DEL-04-10_Decomposition_Pipeline_and_Root_Coverage_Demonstration,GOV-04-10,,TRANSFER_OR_REHOME,"Developmental machinery remains substantive governed work with accountable owner, explicit scope, checks and evidence. Root shared machinery is maintained through M2/G4 governance tranches and controls; ordinary project developmental products use accepted product scope. It is not exempt overhead.",FALSE,CANDIDATE_NOT_ACCEPTED,CANON/SCOPE_PREDICATE_SUCCESSORS.csv SOW-046
