CanonicalTerm,Synonyms,Definition,SourceDocs,SourceRefs,Notes,SourceCount
Tool/write quarantine,,,SRC-DOCS-RUBRICS-AUDIT-AGENT,@repo/docs/rubrics/AUDIT_AGENT.md:L56|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-RUBRICS-AUDIT-AGENT.html#SEC-DG010-0009,,1
Versioning/deprecation,,,SRC-DOCS-RUBRICS-AUDIT-AGENT,@repo/docs/rubrics/AUDIT_AGENT.md:L57|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-RUBRICS-AUDIT-AGENT.html#SEC-DG010-0009,,1
Role Drift Detectors,,Checks filled for every file to detect wrong-layer thinking.,SRC-DOCS-RUBRICS-AUDIT-AGENT,@repo/docs/rubrics/AUDIT_AGENT.md:L96|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-RUBRICS-AUDIT-AGENT.html#SEC-DG010-0015;@repo/docs/rubrics/AUDIT_AGENT.md:L294|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-RUBRICS-AUDIT-AGENT.html#SEC-DG010-0054,,1
Architect drift,,Agent 0 doing execution.,SRC-DOCS-RUBRICS-AUDIT-AGENT,@repo/docs/rubrics/AUDIT_AGENT.md:L299|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-RUBRICS-AUDIT-AGENT.html#SEC-DG010-0055,,1
Manager drift,,Agent 1 collapsing into Specialist.,SRC-DOCS-RUBRICS-AUDIT-AGENT,@repo/docs/rubrics/AUDIT_AGENT.md:L303|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-RUBRICS-AUDIT-AGENT.html#SEC-DG010-0056,,1
Specialist drift,,Agent 2 becoming Manager or Architect.,SRC-DOCS-RUBRICS-AUDIT-AGENT,@repo/docs/rubrics/AUDIT_AGENT.md:L307|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-RUBRICS-AUDIT-AGENT.html#SEC-DG010-0057,,1
Contract drift,,Use of a different brief or output schema than v2.,SRC-DOCS-RUBRICS-AUDIT-AGENT,@repo/docs/rubrics/AUDIT_AGENT.md:L311|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-RUBRICS-AUDIT-AGENT.html#SEC-DG010-0058,,1
Terminology drift,,Redefines canonical terms or introduces conflicting synonyms.,SRC-DOCS-RUBRICS-AUDIT-AGENT,@repo/docs/rubrics/AUDIT_AGENT.md:L315|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-RUBRICS-AUDIT-AGENT.html#SEC-DG010-0059,,1
Issue log,,System-wide table with one row per issue found across files.,SRC-DOCS-RUBRICS-AUDIT-AGENT,@repo/docs/rubrics/AUDIT_AGENT.md:L321|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-RUBRICS-AUDIT-AGENT.html#SEC-DG010-0060,,1
Patch plan,,System-wide prioritized edit and consolidation plan.,SRC-DOCS-RUBRICS-AUDIT-AGENT,@repo/docs/rubrics/AUDIT_AGENT.md:L329|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-RUBRICS-AUDIT-AGENT.html#SEC-DG010-0061;@repo/docs/rubrics/AUDIT_AGENT.md:L330|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-RUBRICS-AUDIT-AGENT.html#SEC-DG010-0062,,1
Single source of truth,,Consolidation planning frame for centralizing rules in v2.;The role assigned to the filesystem for project state.,SRC-DOCS-RUBRICS-AUDIT-AGENT;SRC-DOCS-THESIS-01-INTRODUCTION,@repo/docs/rubrics/AUDIT_AGENT.md:L335|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-RUBRICS-AUDIT-AGENT.html#SEC-DG010-0063;@repo/docs/thesis/01_introduction.md:L0023|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-01-INTRODUCTION.html#SEC-DG013-0003,,2
Final coherence judgment,,"Final assessment containing score, risks, improvements, and any minimal v2 fix.",SRC-DOCS-RUBRICS-AUDIT-AGENT,@repo/docs/rubrics/AUDIT_AGENT.md:L347|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-RUBRICS-AUDIT-AGENT.html#SEC-DG010-0065,,1
Fan-out/fan-in,,Canonical workflow pattern checked for Architect and Manager layers.,SRC-DOCS-RUBRICS-AUDIT-AGENT,@repo/docs/rubrics/AUDIT_AGENT.md:L134|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-RUBRICS-AUDIT-AGENT.html#SEC-DG010-0022;@repo/docs/rubrics/AUDIT_AGENT.md:L199|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-RUBRICS-AUDIT-AGENT.html#SEC-DG010-0035,,1
Least privilege,,Safety constraint for data/tool routing and data handling.,SRC-DOCS-RUBRICS-AUDIT-AGENT,@repo/docs/rubrics/AUDIT_AGENT.md:L169|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-RUBRICS-AUDIT-AGENT.html#SEC-DG010-0029;@repo/docs/rubrics/AUDIT_AGENT.md:L225|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-RUBRICS-AUDIT-AGENT.html#SEC-DG010-0040,,1
Memory,,,SRC-DOCS-TEMPLATES-MEMORY-TEMPLATE,@repo/docs/templates/MEMORY_TEMPLATE.md:L1|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-TEMPLATES-MEMORY-TEMPLATE.html#SEC-DG011-0001,,1
{{DEL-ID}},,Deliverable identifier placeholder in the memory document title.,SRC-DOCS-TEMPLATES-MEMORY-TEMPLATE,@repo/docs/templates/MEMORY_TEMPLATE.md:L1|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-TEMPLATES-MEMORY-TEMPLATE.html#SEC-DG011-0001,,1
semantic topic,,,SRC-DOCS-TEMPLATES-MEMORY-TEMPLATE,@repo/docs/templates/MEMORY_TEMPLATE.md:L3|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-TEMPLATES-MEMORY-TEMPLATE.html#SEC-DG011-0001,,1
minimum schema,,Minimum heading schema required by the memory template.,SRC-DOCS-TEMPLATES-MEMORY-TEMPLATE,@repo/docs/templates/MEMORY_TEMPLATE.md:L3|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-TEMPLATES-MEMORY-TEMPLATE.html#SEC-DG011-0001,,1
Key Decisions & Human Rulings,,,SRC-DOCS-TEMPLATES-MEMORY-TEMPLATE,@repo/docs/templates/MEMORY_TEMPLATE.md:L5|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-TEMPLATES-MEMORY-TEMPLATE.html#SEC-DG011-0002,,1
Domain Context,,,SRC-DOCS-TEMPLATES-MEMORY-TEMPLATE,@repo/docs/templates/MEMORY_TEMPLATE.md:L7|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-TEMPLATES-MEMORY-TEMPLATE.html#SEC-DG011-0003,,1
Open Items,,,SRC-DOCS-TEMPLATES-MEMORY-TEMPLATE,@repo/docs/templates/MEMORY_TEMPLATE.md:L9|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-TEMPLATES-MEMORY-TEMPLATE.html#SEC-DG011-0004,,1
Proposal History,,,SRC-DOCS-TEMPLATES-MEMORY-TEMPLATE,@repo/docs/templates/MEMORY_TEMPLATE.md:L11|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-TEMPLATES-MEMORY-TEMPLATE.html#SEC-DG011-0005,,1
Interface & Dependency Notes,,,SRC-DOCS-TEMPLATES-MEMORY-TEMPLATE,@repo/docs/templates/MEMORY_TEMPLATE.md:L13|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-TEMPLATES-MEMORY-TEMPLATE.html#SEC-DG011-0006,,1
Large language models,LLM;LLM-based agents;LLMs,,SRC-DOCS-THESIS-00-FRONT-MATTER;SRC-DOCS-THESIS-01-INTRODUCTION,@repo/docs/thesis/00_front_matter.md:L16|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-00-FRONT-MATTER.html#SEC-DG012-0002;@repo/docs/thesis/00_front_matter.md:L26|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-00-FRONT-MATTER.html#SEC-DG012-0002;@repo/docs/thesis/01_introduction.md:L0007|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-01-INTRODUCTION.html#SEC-DG013-0002;@repo/docs/thesis/01_introduction.md:L0009|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-01-INTRODUCTION.html#SEC-DG013-0002,,2
epistemic warrant,warrant,,SRC-DOCS-THESIS-00-FRONT-MATTER;SRC-DOCS-THESIS-01-INTRODUCTION;SRC-DOCS-THESIS-10-CONCLUSION,@repo/docs/thesis/00_front_matter.md:L16|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-00-FRONT-MATTER.html#SEC-DG012-0002;@repo/docs/thesis/00_front_matter.md:L18|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-00-FRONT-MATTER.html#SEC-DG012-0002;@repo/docs/thesis/01_introduction.md:L0009|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-01-INTRODUCTION.html#SEC-DG013-0002;@repo/docs/thesis/10_conclusion.md:L17|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-10-CONCLUSION.html#SEC-DG022-0003,,3
Chirality,Chirality of knowledge,"A formally specified agent operating system that governs LLM-based agents for use in regulated professional engineering practice.;A formally specified agent operating system for deliverable-heavy professional work.;The structural property that knowledge is composed of complementary, non-superimposable components whose pairing is constitutive.",SRC-DOCS-THESIS-00-FRONT-MATTER;SRC-DOCS-THESIS-01-INTRODUCTION;SRC-DOCS-THESIS-03-PHILOSOPHICAL-FRAMEWORK,@repo/docs/thesis/00_front_matter.md:L16|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-00-FRONT-MATTER.html#SEC-DG012-0002;@repo/docs/thesis/00_front_matter.md:L18|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-00-FRONT-MATTER.html#SEC-DG012-0002;@repo/docs/thesis/00_front_matter.md:L22|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-00-FRONT-MATTER.html#SEC-DG012-0002;@repo/docs/thesis/01_introduction.md:L0023|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-01-INTRODUCTION.html#SEC-DG013-0003;@repo/docs/thesis/01_introduction.md:L0041|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-01-INTRODUCTION.html#SEC-DG013-0004;@repo/docs/thesis/03_philosophical_framework.md:L205|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-03-PHILOSOPHICAL-FRAMEWORK.html#SEC-DG015-0013;@repo/docs/thesis/03_philosophical_framework.md:L303|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-03-PHILOSOPHICAL-FRAMEWORK.html#SEC-DG015-0021,,3
agent operating system,,A formally specified operating system for governing LLM-based agents in regulated professional engineering practice.;A formally specified operating system for deliverable-heavy professional work.;The source identifies Chirality as a formally specified agent operating system.,SRC-DOCS-THESIS-00-FRONT-MATTER;SRC-DOCS-THESIS-01-INTRODUCTION;SRC-DOCS-THESIS-10-CONCLUSION,@repo/docs/thesis/00_front_matter.md:L16|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-00-FRONT-MATTER.html#SEC-DG012-0002;@repo/docs/thesis/01_introduction.md:L0023|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-01-INTRODUCTION.html#SEC-DG013-0003;@repo/docs/thesis/10_conclusion.md:L9|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-10-CONCLUSION.html#SEC-DG022-0002,,3
regulated professional engineering practice,professional engineering;professional engineering practice;professional practice,,SRC-DOCS-THESIS-00-FRONT-MATTER;SRC-DOCS-THESIS-01-INTRODUCTION;SRC-DOCS-THESIS-10-CONCLUSION;SRC-DOCS-THESIS-README,@repo/docs/thesis/00_front_matter.md:L16|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-00-FRONT-MATTER.html#SEC-DG012-0002;@repo/docs/thesis/00_front_matter.md:L26|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-00-FRONT-MATTER.html#SEC-DG012-0002;@repo/docs/thesis/01_introduction.md:L0007|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-01-INTRODUCTION.html#SEC-DG013-0002;@repo/docs/thesis/01_introduction.md:L0011|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-01-INTRODUCTION.html#SEC-DG013-0002;@repo/docs/thesis/01_introduction.md:L0015|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-01-INTRODUCTION.html#SEC-DG013-0002;@repo/docs/thesis/01_introduction.md:L0037|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-01-INTRODUCTION.html#SEC-DG013-0004;@repo/docs/thesis/10_conclusion.md:L7|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-10-CONCLUSION.html#SEC-DG022-0002;@repo/docs/thesis/10_conclusion.md:L45|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-10-CONCLUSION.html#SEC-DG022-0005;@repo/docs/thesis/README.md:L5|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-README.html#SEC-DG023-0002,,4
mandatory provenance,provenance;K-PROV-1,Every extracted or aggregated claim must cite its source file and section reference or carry location TBD.;Every extracted dependency row must cite EvidenceFile and SourceRef or explicit location TBD.,SRC-DOCS-THESIS-00-FRONT-MATTER;SRC-DOCS-THESIS-01-INTRODUCTION;SRC-DOCS-THESIS-03-PHILOSOPHICAL-FRAMEWORK;SRC-DOCS-THESIS-05-EPISTEMIC-ARCHITECTURE;SRC-DOCS-THESIS-10-CONCLUSION;SRC-DOCS-THESIS-README,@repo/docs/thesis/00_front_matter.md:L16|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-00-FRONT-MATTER.html#SEC-DG012-0002;@repo/docs/thesis/00_front_matter.md:L26|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-00-FRONT-MATTER.html#SEC-DG012-0002;@repo/docs/thesis/01_introduction.md:L0037|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-01-INTRODUCTION.html#SEC-DG013-0004;@repo/docs/thesis/03_philosophical_framework.md:L39|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-03-PHILOSOPHICAL-FRAMEWORK.html#SEC-DG015-0005;@repo/docs/thesis/03_philosophical_framework.md:L72|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-03-PHILOSOPHICAL-FRAMEWORK.html#SEC-DG015-0006;@repo/docs/thesis/05_epistemic_architecture.md:L31|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-05-EPISTEMIC-ARCHITECTURE.html#SEC-DG017-0005;@repo/docs/thesis/05_epistemic_architecture.md:L33|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-05-EPISTEMIC-ARCHITECTURE.html#SEC-DG017-0005;@repo/docs/thesis/10_conclusion.md:L17|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-10-CONCLUSION.html#SEC-DG022-0003;@repo/docs/thesis/10_conclusion.md:L33|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-10-CONCLUSION.html#SEC-DG022-0004;@repo/docs/thesis/10_conclusion.md:L45|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-10-CONCLUSION.html#SEC-DG022-0005;@repo/docs/thesis/README.md:L30|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-README.html#SEC-DG023-0004,Section heading and invariant name.,6
no-invention rules,,,SRC-DOCS-THESIS-00-FRONT-MATTER;SRC-DOCS-THESIS-01-INTRODUCTION,@repo/docs/thesis/00_front_matter.md:L16|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-00-FRONT-MATTER.html#SEC-DG012-0002;@repo/docs/thesis/01_introduction.md:L0037|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-01-INTRODUCTION.html#SEC-DG013-0004,,2
conflict surfacing,K-CONFLICT-1,"When sources disagree, agents produce a Conflict Table rather than silently resolving contradictions.;Conflicts between sources must be surfaced, not silently resolved.",SRC-DOCS-THESIS-00-FRONT-MATTER;SRC-DOCS-THESIS-01-INTRODUCTION;SRC-DOCS-THESIS-03-PHILOSOPHICAL-FRAMEWORK;SRC-DOCS-THESIS-05-EPISTEMIC-ARCHITECTURE;SRC-DOCS-THESIS-10-CONCLUSION;SRC-DOCS-THESIS-README,@repo/docs/thesis/00_front_matter.md:L16|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-00-FRONT-MATTER.html#SEC-DG012-0002;@repo/docs/thesis/01_introduction.md:L0037|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-01-INTRODUCTION.html#SEC-DG013-0004;@repo/docs/thesis/03_philosophical_framework.md:L43|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-03-PHILOSOPHICAL-FRAMEWORK.html#SEC-DG015-0005;@repo/docs/thesis/03_philosophical_framework.md:L74|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-03-PHILOSOPHICAL-FRAMEWORK.html#SEC-DG015-0006;@repo/docs/thesis/05_epistemic_architecture.md:L90|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-05-EPISTEMIC-ARCHITECTURE.html#SEC-DG017-0007;@repo/docs/thesis/05_epistemic_architecture.md:L92|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-05-EPISTEMIC-ARCHITECTURE.html#SEC-DG017-0007;@repo/docs/thesis/10_conclusion.md:L17|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-10-CONCLUSION.html#SEC-DG022-0003;@repo/docs/thesis/10_conclusion.md:L33|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-10-CONCLUSION.html#SEC-DG022-0004;@repo/docs/thesis/10_conclusion.md:L45|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-10-CONCLUSION.html#SEC-DG022-0005;@repo/docs/thesis/README.md:L30|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-README.html#SEC-DG023-0004,Section heading and invariant name.,6
