CandidateTerm,Synonyms,Definition,SourceRefs,Notes
primitive load,primitive loads,"Explicit mechanics load input: weight, pressure, temperature, imposed displacement, hydrotest, wind, seismic, occasional.",@repo/docs/SPEC.md:L507|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SPEC.html#SEC-PD036-0020;@repo/docs/SPEC.md:L509|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SPEC.html#SEC-PD036-0020,
load-case algebra,,"Combination of primitive-load or result-state operands using user-defined factors, subtraction, and range envelopes.",@repo/docs/SPEC.md:L524|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SPEC.html#SEC-PD036-0020,
analysis boundary,code-neutral analysis boundary,"Separation of mechanics-solve, user-rule-check, and human-acceptance authority domains.",@repo/docs/SPEC.md:L301|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SPEC.html#SEC-PD036-0010,
professional boundary,professional-boundary,"Constraint that software output is decision support and must not declare code compliance, certification, sealing, approval, or professional reliance.",@repo/docs/SPEC.md:L758|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SPEC.html#SEC-PD036-0023;@repo/docs/SPEC.md:L605|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SPEC.html#SEC-PD036-0021,
audit manifest,audit-manifest,"Bounded model-hash surface recording canonical JSON hashes, asset hashes, version stamps, and missing-evidence findings.",@repo/docs/SPEC.md:L714|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SPEC.html#SEC-PD036-0023,core/reporting/audit_manifest
headless runner,,"Schema-first request/result envelope for non-GUI solve execution, benchmark/regression automation, and result-export handoff.",@repo/docs/SPEC.md:L827|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SPEC.html#SEC-PD036-0023,core/runner/headless
plugin manifest,,"Contract defining extension metadata, entrypoints, permissions, provenance, checksums, sandbox requirements, and no-bypass controls.",@repo/docs/SPEC.md:L371|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SPEC.html#SEC-PD036-0012,
section property calculator,pipe section property calculator,Calculates circular pipe section properties and mass-per-length from user-entered dimensions and density only.,@repo/docs/SPEC.md:L258|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SPEC.html#SEC-PD036-0009,core/section_properties/calculator.py
expression evaluator,,"Bounded evaluator over explicit expression trees supporting literals, variables, negation, arithmetic, and same-dimension comparisons.",@repo/docs/SPEC.md:L615|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SPEC.html#SEC-PD036-0021,core/rules/expression_evaluator
missing-data warning class,warning class,"GUI warning categories: SOLVE_BLOCKING, RULE_CHECK_BLOCKING, PROVENANCE_WARNING, ASSUMPTION_WARNING, NONLINEAR_WARNING, IP_BOUNDARY_WARNING.",@repo/docs/SPEC.md:L673|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SPEC.html#SEC-PD036-0022,
Type 2 specialist,bounded Type 2 specialist,The bounded executor expected to be able to execute each deliverable.,@repo/docs/SPEC.md:L892|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SPEC.html#SEC-PD036-0025,
