CandidateTerm,Synonyms,Definition,SourceRefs,Notes
Safety Integrity Levels,SIL;SIL 1-4,Risk-based levels in IEC 61508 quantifying required reliability.,@repo/docs/thesis/02_literature_review.md:L200|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0022,
defense-in-depth architecture,independent protection layers,An architecture using multiple independent protection layers to prevent single failures from propagating to hazardous outcomes.,@repo/docs/thesis/02_literature_review.md:L200|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0022;@repo/docs/thesis/02_literature_review.md:L204|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0022,
robust partitioning,spatial separation;temporal separation,Partitioning requirements for isolation in integrated modular avionics architectures.,@repo/docs/thesis/02_literature_review.md:L208|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0023,
fault containment,containment infrastructure,An architectural property achieved when partition boundaries are correctly specified and enforced.,@repo/docs/thesis/02_literature_review.md:L210|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0023,
Hoare logic,Hoare triple,"A program verification formalism using precondition, program, postcondition, and invariant reasoning.",@repo/docs/thesis/02_literature_review.md:L216|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0024,
model checking,,Algorithmic state-space exploration verifying finite-state systems against temporal logic specifications.,@repo/docs/thesis/02_literature_review.md:L218|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0024,
TLA+,Specifying Systems,A specification language treating behavior as a sequence of states and correctness as temporal-logic satisfaction.,@repo/docs/thesis/02_literature_review.md:L220|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0024,
architectural governance,probabilistic governance,External architectural constraints that bound what non-deterministic agents can do regardless of internal generation.,@repo/docs/thesis/02_literature_review.md:L238|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0026,
Relying on the Work of Others and Outsourcing,APEGA outsourcing standard;RWO,"APEGA practice standard requiring due diligence on reliability, accuracy, validity, regulatory compliance, and quality processes for work by others.",@repo/docs/thesis/02_literature_review.md:L250|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0028;@repo/docs/thesis/02_literature_review.md:L252|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0028,
Professional Work Products,PWPs,Deliverables for which authentication is the act by which a licensed professional formally accepts responsibility.,@repo/docs/thesis/02_literature_review.md:L254|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0028,
human gate action,human review;explicit approval,The Chirality mechanism by which only a human can advance authentication state.,@repo/docs/thesis/02_literature_review.md:L256|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0028,
Use of Artificial Intelligence (AI) in Professional Practice,EGBC AI practice advisory,"EGBC advisory requiring professionals using AI to assess checking, supervision, retention, and independent-review obligations.",@repo/docs/thesis/02_literature_review.md:L262|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0029;@repo/docs/thesis/02_literature_review.md:L264|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0029,
responsible charge,,The doctrine that a licensed engineer must have actual knowledge of and responsibility for work done in their name.,@repo/docs/thesis/02_literature_review.md:L296|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0034,
W3C Provenance Data Model,PROV-DM,"A W3C framework for representing provenance information about entities, activities, and people involved in producing data or things.",@repo/docs/thesis/02_literature_review.md:L383|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0038,
PROV-N,,A human-readable notation for PROV assertions.,@repo/docs/thesis/02_literature_review.md:L385|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0038,
PROV-O,,An OWL ontology serialization for PROV.,@repo/docs/thesis/02_literature_review.md:L385|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0038,
K-PROV-1,,A Chirality invariant requiring extracted or aggregated claims to carry a source reference and section pointer or explicit location TBD marker.,@repo/docs/thesis/02_literature_review.md:L377|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0037;@repo/docs/thesis/02_literature_review.md:L387|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0038,
why-provenance,,The source tuples that contributed to the existence of an output tuple.,@repo/docs/thesis/02_literature_review.md:L393|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0039,
where-provenance,,The specific source database locations from which data values were copied.,@repo/docs/thesis/02_literature_review.md:L393|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0039,
how-provenance,how,The algebraic derivation axis of database provenance.,@repo/docs/thesis/02_literature_review.md:L395|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0039,
knowledge representation,,A field concerned with how knowledge can be represented in computable form.,@repo/docs/thesis/02_literature_review.md:L403|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0040,
canonical ontology,TYPES.md vocabulary,"Chirality's required ontology of constructs including Package, Deliverable, Dependency, LifecycleState, and EpistemicLabel.",@repo/docs/thesis/02_literature_review.md:L407|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0040,
Bunge-Wand-Weber model,BWW model,"An information systems ontology based on constructs including things, attributes, states, events, and couplings.",@repo/docs/thesis/02_literature_review.md:L413|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0041,
state-tracking model,,A BWW model specifying requirements for an information system to track the real-world system it models.,@repo/docs/thesis/02_literature_review.md:L415|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0041,
filesystem-as-single-source-of-truth,filesystem state,Chirality design principle treating filesystem state as authoritative project state.,@repo/docs/thesis/02_literature_review.md:L417|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0041,
naturalistic epistemology,reliabilist framework,Goldman's view that justification and knowledge depend on the reliability of the processes producing beliefs.,@repo/docs/thesis/02_literature_review.md:L423|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0042,
veritistic social epistemology,social epistemology,A normative discipline concerned with which social practices and institutions best foster true beliefs across a community.,@repo/docs/thesis/02_literature_review.md:L425|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0042,
Conflict Table,conflict surfacing mechanism;K-CONFLICT-1,"A Chirality mechanism requiring agents to surface source disagreements, label proposed resolutions, and leave rulings to the human.",@repo/docs/thesis/02_literature_review.md:L429|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0042;@repo/docs/thesis/02_literature_review.md:L439|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0043,
common knowledge,eventual common knowledge;epsilon-common knowledge,"A fact known by all agents, known by all to be known, and so on; unattainable in practical distributed systems with communication delays.",@repo/docs/thesis/02_literature_review.md:L435|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0043,
contractual trust,trust contract,Trust in an AI system that holds conditionally on an explicit or implicit contract being honored.,@repo/docs/thesis/02_literature_review.md:L445|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0044;@repo/docs/thesis/02_literature_review.md:L451|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0044,
CUL/TCL Architecture,Context Utility Layer;Truth-Checker Layer,A dual-layer architecture in which a Context Utility Layer determines verification requirements and a Truth-Checker Layer assigns truth-states to claims.,@repo/docs/thesis/02_literature_review.md:L449|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0044,Publication venue and author names are placeholder/TBD in the source.
