CandidateTerm,Synonyms,Definition,SourceRefs,Notes
Vision Language Models,VLMs,Models used for structure-preserving conversion of rasterized PDF page images.,@repo/tools/EXTERNAL_TOOLS.md:L17|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0002;@repo/tools/EXTERNAL_TOOLS.md:L223|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0019,Provider API key required for edgequake-pdf2md.
DataModel,synalinks.DataModel,Synalinks class pattern used to define entity types per project.,@repo/tools/EXTERNAL_TOOLS.md:L19|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0002;@repo/tools/EXTERNAL_TOOLS.md:L47|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0003;@repo/tools/EXTERNAL_TOOLS.md:L117|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0007,Synalinks schema mechanism.
Generator,Generator,Synalinks extraction component used for schema-constrained structured output.,@repo/tools/EXTERNAL_TOOLS.md:L19|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0002;@repo/tools/EXTERNAL_TOOLS.md:L117|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0007,Synalinks extraction mechanism.
GB.v1.0,GB.v1.0,Extraction CSV compliance format used by synalinks outputs.,@repo/tools/EXTERNAL_TOOLS.md:L19|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0002;@repo/tools/EXTERNAL_TOOLS.md:L46|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0003;@repo/tools/EXTERNAL_TOOLS.md:L117|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0007,Output contract.
deterministic blake2b identity fingerprinting,deterministic identity fingerprinting; blake2b identity fingerprinting,Identity method where the same identity fields produce the same ID.,@repo/tools/EXTERNAL_TOOLS.md:L49|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0003;@repo/tools/EXTERNAL_TOOLS.md:L117|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0007;@repo/tools/EXTERNAL_TOOLS.md:L150|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0014,Common-case entity resolution method.
Synalinks Memory,Synalinks Memory,Hosted knowledge API queried by synalinks-memory-python-sdk over uploaded extraction data.,@repo/tools/EXTERNAL_TOOLS.md:L20|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0002;@repo/tools/EXTERNAL_TOOLS.md:L53|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0003;@repo/tools/EXTERNAL_TOOLS.md:L243|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0019,Hosted API.
pdftotext,pdftotext; Poppler,"Command-line PDF text extractor used for title-block text, drawing-number verification, and system-name candidate harvesting.",@repo/tools/EXTERNAL_TOOLS.md:L21|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0002;@repo/tools/EXTERNAL_TOOLS.md:L209|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0019;@repo/tools/EXTERNAL_TOOLS.md:L215|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0019,Usually provided by Poppler.
Pillow,Pillow,Python imaging library used for ad hoc image cropping and contact-sheet generation during drawing extraction QA.,@repo/tools/EXTERNAL_TOOLS.md:L22|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0002;@repo/tools/EXTERNAL_TOOLS.md:L203|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0019,Operator QA utility.
ad hoc graphs,ad hoc graphs,Graphs scoped to the documents the human selects and validated by the human before use.,@repo/tools/EXTERNAL_TOOLS.md:L120|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0007,Not automatic pipeline stages.
DOMAIN_HYPERGRAPH,DOMAIN_HYPERGRAPH,Agent that reads workspace folder structure and metadata stubs to produce the structural hypergraph.,@repo/tools/EXTERNAL_TOOLS.md:L29|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0003;@repo/tools/EXTERNAL_TOOLS.md:L79|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0004;@repo/tools/EXTERNAL_TOOLS.md:L126|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0009;@repo/tools/EXTERNAL_TOOLS.md:L128|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0009,Step 4 agent.
AUDIT_HYPERGRAPH_CLOSURE,AUDIT_HYPERGRAPH_CLOSURE,"Agent that reads the structural hypergraph and validates structural integrity, referential integrity, and completeness.",@repo/tools/EXTERNAL_TOOLS.md:L82|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0004;@repo/tools/EXTERNAL_TOOLS.md:L96|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0005;@repo/tools/EXTERNAL_TOOLS.md:L130|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0010;@repo/tools/EXTERNAL_TOOLS.md:L132|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0010,Step 5 audit agent.
ORCHESTRATOR,ORCHESTRATOR,Agent that coordinates pipeline invocation and may assist with directed ad hoc entity extraction.,@repo/tools/EXTERNAL_TOOLS.md:L134|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0011;@repo/tools/EXTERNAL_TOOLS.md:L136|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0011;@repo/tools/EXTERNAL_TOOLS.md:L201|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0019,Coordination agent.
DRAWING_EXTRACT,DRAWING_EXTRACT,Agent that orchestrates drawing-type-aware structured extraction from engineering drawing PDFs.,@repo/tools/EXTERNAL_TOOLS.md:L142|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0013;@repo/tools/EXTERNAL_TOOLS.md:L144|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0013,Drawing extraction agent.
core-vs-repertoire split,core-vs-repertoire split,DRAWING_EXTRACT architecture separating type-agnostic core phases from target-specific hooks.,@repo/tools/EXTERNAL_TOOLS.md:L144|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0013,Drawing extraction architecture.
drawing_type x extraction_target,drawing_type x extraction_target,Target registry axis used by DRAWING_EXTRACT for target-specific behavior.,@repo/tools/EXTERNAL_TOOLS.md:L144|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0013,ASCII rendering of source expression.
Synalinks to zingg Flattening,Synalinks -> zingg Flattening,Process that flattens extracted entities to flat CSV or Parquet records for zingg fuzzy resolution.,@repo/tools/EXTERNAL_TOOLS.md:L154|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0015;@repo/tools/EXTERNAL_TOOLS.md:L156|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0015;@repo/tools/EXTERNAL_TOOLS.md:L158|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0015,Flattening handoff.
FieldDefinition,FieldDefinition,zingg mapping from each flattened column to a domain-appropriate match type.,@repo/tools/EXTERNAL_TOOLS.md:L161|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0015,zingg schema mapping.
cross-document entity identity,Cross-document entity identity,Resolution type handled by zingg through structured record matching with fuzzy fields.,@repo/tools/EXTERNAL_TOOLS.md:L178|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0017,Entity resolution pattern.
Entity-to-knowledge correspondence,Entity-to-knowledge correspondence,Resolution type requiring production-document reading and contextual domain reasoning.,@repo/tools/EXTERNAL_TOOLS.md:L179|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0017,Agent-assisted semantic matching.
labeled training pairs,match / no-match training pairs,Training data required by zingg for match and no-match classification.,@repo/tools/EXTERNAL_TOOLS.md:L183|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0018,Training requirement.
deterministic seed,Deterministic seed,Training-data seed where exact identity-fingerprint matches are positive examples and different entity types are negative examples.,@repo/tools/EXTERNAL_TOOLS.md:L185|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0018,Training seed strategy.
findTrainingData,findTrainingData,zingg phase that selects candidate pairs for LLM-assisted labeling.,@repo/tools/EXTERNAL_TOOLS.md:L186|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0018,Training phase.
active learning iteration,active learning,Iteration that prioritizes uncertain informative pairs to minimize LLM evaluations.,@repo/tools/EXTERNAL_TOOLS.md:L18|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0002;@repo/tools/EXTERNAL_TOOLS.md:L187|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0018,Training loop.
Poppler,Poppler; poppler-utils,Package source that typically provides pdftotext.,@repo/tools/EXTERNAL_TOOLS.md:L215|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0019,Installation dependency.
LiteLLM,LiteLLM,Provider layer named for using Claude models with an LLM API key in synalinks extraction.,@repo/tools/EXTERNAL_TOOLS.md:L235|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0019,API-key context.
hosted Memory API,Synalinks Memory hosted API,API queried by synalinks-memory-python-sdk and requiring SYNALINKS_API_KEY.,@repo/tools/EXTERNAL_TOOLS.md:L20|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0002;@repo/tools/EXTERNAL_TOOLS.md:L243|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0019,Optional query layer.
