AtomicUnitID,LocalSeq,UnitStatement,SourceRef,ContentHash,InOutStatus,SectionID,DispatchUnitID,Corrects,Notes
HBA-DG005-00001,1,The PRD is derived from repository-local sources only.,@repo/docs/PRD_CANDIDATE.md:L0013|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0002,a6e649a13b92,IN,SEC-DG005-0002,UNIT-DG005-0001,,
HBA-DG005-00012,12,The product shall preserve strict separation between the bundled instruction root and the mutable working root.,@repo/docs/PRD_CANDIDATE.md:L0053|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0005,32a9d07a30c5,IN,SEC-DG005-0005,UNIT-DG005-0001,,
HBA-DG005-00013,13,"Agent work shall be auditable through plain files, git diffs, lifecycle files, dependency registers, and immutable snapshots.",@repo/docs/PRD_CANDIDATE.md:L0054|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0005,0748c87375c8,IN,SEC-DG005-0005,UNIT-DG005-0001,,
HBA-DG005-00014,14,The product shall provide matrix-based navigation into WORKBENCH for interactive persona agents and PIPELINE for operative task categories.,@repo/docs/PRD_CANDIDATE.md:L0055|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0005,15bcbcce022b,IN,SEC-DG005-0005,UNIT-DG005-0001,,
HBA-DG005-00015,15,"The product shall support streaming chat turns with session persistence, runtime options, interrupts, multimodal attachments, and Anthropic provider integration.",@repo/docs/PRD_CANDIDATE.md:L0056|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0005,f968f7cd2d10,IN,SEC-DG005-0005,UNIT-DG005-0001,,
HBA-DG005-00016,16,"The product shall enforce safety and governance boundaries including human gates, no automated issuance, no hidden project memory, fail-closed subagent delegation, and Anthropic-only outbound network policy.",@repo/docs/PRD_CANDIDATE.md:L0057|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0005,6cb4120a86e7,IN,SEC-DG005-0005,UNIT-DG005-0001,,
HBA-DG005-00017,17,"The product shall provide deterministic tools and validation workflows for scaffolding, schema checks, dependency closure, harness runtime validation, and release packaging.",@repo/docs/PRD_CANDIDATE.md:L0058|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0005,2349e25d1422,IN,SEC-DG005-0005,UNIT-DG005-0001,,
HBA-DG005-00018,18,The product shall ship a macOS 15+ Apple Silicon unsigned DMG build path with instruction-root integrity verification.,@repo/docs/PRD_CANDIDATE.md:L0059|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0005,c02521b67ce7,IN,SEC-DG005-0005,UNIT-DG005-0001,,
HBA-DG005-00019,19,The product must not replace professional judgment or produce binding approval records autonomously.,@repo/docs/PRD_CANDIDATE.md:L0065|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0006,574d0f1a219e,IN,SEC-DG005-0006,UNIT-DG005-0001,,
HBA-DG005-00020,20,"The product must not sign, seal, certify, approve, issue, transmit, or otherwise release professional work for reliance.",@repo/docs/PRD_CANDIDATE.md:L0066|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0006,65e649d7434b,IN,SEC-DG005-0006,UNIT-DG005-0001,,
HBA-DG005-00021,21,The product must not make safety-critical decisions without human review.,@repo/docs/PRD_CANDIDATE.md:L0067|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0006,1bf55ed5de08,IN,SEC-DG005-0006,UNIT-DG005-0001,,
HBA-DG005-00022,22,The product must not conduct financial transactions or binding commitments.,@repo/docs/PRD_CANDIDATE.md:L0068|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0006,072bfb1059a5,IN,SEC-DG005-0006,UNIT-DG005-0001,,
HBA-DG005-00023,23,The product must not depend on an external project database.,@repo/docs/PRD_CANDIDATE.md:L0069|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0006,d5fabf682f41,IN,SEC-DG005-0006,UNIT-DG005-0001,,
HBA-DG005-00024,24,"The product must not persist project truth in hidden app state, chats, caches, or vendor systems.",@repo/docs/PRD_CANDIDATE.md:L0070|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0006,3f174654aabf,IN,SEC-DG005-0006,UNIT-DG005-0001,,
HBA-DG005-00025,25,The product must not allow outbound network access beyond the Anthropic API path required for provider execution.,@repo/docs/PRD_CANDIDATE.md:L0071|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0006,4f71bd5cf2a2,IN,SEC-DG005-0006,UNIT-DG005-0001,,
HBA-DG005-00026,26,"The product must not treat local UI preferences, API keys, or chat drafts as authoritative project state.",@repo/docs/PRD_CANDIDATE.md:L0072|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0006,30d3a079bfb8,IN,SEC-DG005-0006,UNIT-DG005-0001,,
HBA-DG005-00027,27,"The Professional Operator selects the working root, approves gates, reviews evidence, and decides what can be relied upon.",@repo/docs/PRD_CANDIDATE.md:L0080|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0008,3b6983fcd7fb,IN,SEC-DG005-0008,UNIT-DG005-0001,,
HBA-DG005-00028,28,"The Project Orchestrator converts a scope of work into packages, deliverables, lifecycle records, document kits, dependency registers, and coordination artifacts.",@repo/docs/PRD_CANDIDATE.md:L0084|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0009,7baa052dbdbc,IN,SEC-DG005-0009,UNIT-DG005-0001,,
HBA-DG005-00029,29,"The Project Orchestrator uses ORCHESTRATOR, WORKING_ITEMS, RECONCILIATION, CHANGE, and PIPELINE lanes.",@repo/docs/PRD_CANDIDATE.md:L0084|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0009,68a35bfb24ce,IN,SEC-DG005-0009,UNIT-DG005-0001,,
HBA-DG005-00030,30,"The Specialist Contributor executes bounded deliverable-local work through TASK, DEPENDENCIES, CHIRALITY_FRAMEWORK, CHIRALITY_LENS, ESTIMATING, or audit agents.",@repo/docs/PRD_CANDIDATE.md:L0088|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0010,f4a8d3ddd1c2,IN,SEC-DG005-0010,UNIT-DG005-0001,,
HBA-DG005-00031,31,"The Governance Maintainer is responsible for agent instruction conformance, invariant consistency, deterministic tooling, and release-managed instruction-root changes.",@repo/docs/PRD_CANDIDATE.md:L0092|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0011,762ddaca6af1,IN,SEC-DG005-0011,UNIT-DG005-0001,,
HBA-DG005-00032,32,"The Release Operator builds, validates, packages, and distributes local unsigned desktop builds.",@repo/docs/PRD_CANDIDATE.md:L0096|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0012,e2af9f254d54,IN,SEC-DG005-0012,UNIT-DG005-0001,,
HBA-DG005-00033,33,Project state is represented as human-readable files under the working root.,@repo/docs/PRD_CANDIDATE.md:L0102|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0013,331c92f5d1ec,IN,SEC-DG005-0013,UNIT-DG005-0001,,
HBA-DG005-00034,34,"Review, audit, rollback, and approvals bind to git-tracked content.",@repo/docs/PRD_CANDIDATE.md:L0103|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0013,edeb08ee2b56,IN,SEC-DG005-0013,UNIT-DG005-0001,,
HBA-DG005-00035,35,"Agents propose while humans approve, issue, sign, seal, and decide.",@repo/docs/PRD_CANDIDATE.md:L0104|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0013,0bcb22117483,IN,SEC-DG005-0013,UNIT-DG005-0001,,
HBA-DG005-00036,36,"Claims require provenance, and unknowns become TBD rather than guesses.",@repo/docs/PRD_CANDIDATE.md:L0105|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0013,21daa6112649,IN,SEC-DG005-0013,UNIT-DG005-0001,,
HBA-DG005-00037,37,Runtime convenience state is allowed only when it is explicitly non-authoritative.,@repo/docs/PRD_CANDIDATE.md:L0106|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0013,a35cb7112c47,IN,SEC-DG005-0013,UNIT-DG005-0001,,
HBA-DG005-00038,38,Release-managed agent OS files must not be modified by project execution.,@repo/docs/PRD_CANDIDATE.md:L0107|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0013,46903251cb21,IN,SEC-DG005-0013,UNIT-DG005-0001,,
HBA-DG005-00039,39,Each agent has an explicit write scope.,@repo/docs/PRD_CANDIDATE.md:L0108|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0013,c238c6620041,IN,SEC-DG005-0013,UNIT-DG005-0001,,
HBA-DG005-00040,40,"Derived outputs live in tool roots, while source truth lives in deliverable folders.",@repo/docs/PRD_CANDIDATE.md:L0108|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0013,5d50dc0fff8d,IN,SEC-DG005-0013,UNIT-DG005-0001,,
HBA-DG005-00041,41,Snapshot-producing runs create timestamped folders that are not overwritten.,@repo/docs/PRD_CANDIDATE.md:L0109|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0013,97662a6766a0,IN,SEC-DG005-0013,UNIT-DG005-0001,,
HBA-DG005-00042,42,_LATEST.md pointers may move.,@repo/docs/PRD_CANDIDATE.md:L0109|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0013,fec4b9fbadd3,IN,SEC-DG005-0013,UNIT-DG005-0001,,
HBA-DG005-00043,43,"Rigor scales with stakes, and structure is added when it reduces error, rework, or ambiguity.",@repo/docs/PRD_CANDIDATE.md:L0110|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0013,36c5bfc3aade,IN,SEC-DG005-0013,UNIT-DG005-0001,,
HBA-DG005-00044,44,The current scope includes a desktop shell built with Next.js and Electron.,@repo/docs/PRD_CANDIDATE.md:L0118|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0015,29ab50826c8e,IN,SEC-DG005-0015,UNIT-DG005-0001,,
HBA-DG005-00045,45,"The current scope includes working-root selection, validation, file tree browsing, and deliverable scanning.",@repo/docs/PRD_CANDIDATE.md:L0119|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0015,8ee8f81e0555,IN,SEC-DG005-0015,UNIT-DG005-0001,,
HBA-DG005-00046,46,"The current scope includes matrix navigation across PORTAL, WORKBENCH, and PIPELINE.",@repo/docs/PRD_CANDIDATE.md:L0120|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0015,7467eebc979d,IN,SEC-DG005-0015,UNIT-DG005-0001,,
HBA-DG005-00047,47,The current scope includes session lifecycle APIs and turn execution via SSE.,@repo/docs/PRD_CANDIDATE.md:L0121|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0015,eef57870e073,IN,SEC-DG005-0015,UNIT-DG005-0001,,
HBA-DG005-00048,48,The current scope includes an Anthropic SDK provider path with local UI key storage and environment fallback.,@repo/docs/PRD_CANDIDATE.md:L0122|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0015,3b0a55a9402f,IN,SEC-DG005-0015,UNIT-DG005-0001,,
HBA-DG005-00049,49,The current scope includes stub provider mode for deterministic local tests.,@repo/docs/PRD_CANDIDATE.md:L0123|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0015,24029f072c72,IN,SEC-DG005-0015,UNIT-DG005-0001,,
HBA-DG005-00050,50,The current scope includes server-side attachment resolution for supported file types.,@repo/docs/PRD_CANDIDATE.md:L0124|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0015,ab0ae625767d,IN,SEC-DG005-0015,UNIT-DG005-0001,,
HBA-DG005-00051,51,The current scope includes an Operator Toolkit for per-turn runtime options and local presets.,@repo/docs/PRD_CANDIDATE.md:L0125|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0015,28e3a1f5c1b2,IN,SEC-DG005-0015,UNIT-DG005-0001,,
HBA-DG005-00052,52,The current scope includes execution-root scaffolding from decomposition markdown.,@repo/docs/PRD_CANDIDATE.md:L0126|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0015,277973278568,IN,SEC-DG005-0015,UNIT-DG005-0001,,
HBA-DG005-00053,53,The current scope includes deliverable status and dependency contract APIs.,@repo/docs/PRD_CANDIDATE.md:L0127|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0015,2a3dca1a994f,IN,SEC-DG005-0015,UNIT-DG005-0001,,
HBA-DG005-00054,54,The current scope includes lifecycle transition enforcement for _STATUS.md.,@repo/docs/PRD_CANDIDATE.md:L0128|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0015,dd2af87173b4,IN,SEC-DG005-0015,UNIT-DG005-0001,,
HBA-DG005-00055,55,The current scope includes Dependency register read and write support for Dependencies.csv v3.1.,@repo/docs/PRD_CANDIDATE.md:L0129|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0015,2607ffb56f6f,IN,SEC-DG005-0015,UNIT-DG005-0001,,
HBA-DG005-00056,56,The current scope includes subagent governance evaluation and fail-closed delegation behavior.,@repo/docs/PRD_CANDIDATE.md:L0130|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0015,94886bc83bd7,IN,SEC-DG005-0015,UNIT-DG005-0001,,
HBA-DG005-00057,57,"The current scope includes a deterministic tool registry for scaffolding, validation, reporting, coordination, PDF-to-markdown, and evaluation.",@repo/docs/PRD_CANDIDATE.md:L0131|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0015,ec4019ecbb35,IN,SEC-DG005-0015,UNIT-DG005-0001,,
HBA-DG005-00058,58,The current scope includes harness validation scripts and a CI premerge workflow.,@repo/docs/PRD_CANDIDATE.md:L0132|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0015,ea005eb0f5db,IN,SEC-DG005-0015,UNIT-DG005-0001,,
HBA-DG005-00059,59,The current scope includes instruction-root integrity verification in packaged builds.,@repo/docs/PRD_CANDIDATE.md:L0133|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0015,3e1358ad1f2a,IN,SEC-DG005-0015,UNIT-DG005-0001,,
HBA-DG005-00060,60,The current scope includes a macOS Apple Silicon unsigned DMG packaging workflow.,@repo/docs/PRD_CANDIDATE.md:L0134|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0015,da9d66214768,IN,SEC-DG005-0015,UNIT-DG005-0001,,
HBA-DG005-00061,61,The current release target includes macOS 15+.,@repo/docs/PRD_CANDIDATE.md:L0140|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0016,97de13775c95,IN,SEC-DG005-0016,UNIT-DG005-0001,,
HBA-DG005-00062,62,The current release target includes Apple Silicon arm64.,@repo/docs/PRD_CANDIDATE.md:L0141|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0016,04728e011e88,IN,SEC-DG005-0016,UNIT-DG005-0001,,
HBA-DG005-00063,63,"The current release target is an unsigned, unnotarized local-builder DMG.",@repo/docs/PRD_CANDIDATE.md:L0142|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0016,8fd05be6a00f,IN,SEC-DG005-0016,UNIT-DG005-0001,,
HBA-DG005-00064,64,Development and build require Node.js version 20 or later.,@repo/docs/PRD_CANDIDATE.md:L0143|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0016,f7db1310b94d,IN,SEC-DG005-0016,UNIT-DG005-0001,,
HBA-DG005-00065,65,"README references Windows packaging, but the current build config and runbook define macOS arm64 as the concrete release target.",@repo/docs/PRD_CANDIDATE.md:L0145|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0016,5df70dc1df61,IN,SEC-DG005-0016,UNIT-DG005-0001,,
HBA-DG005-00066,66,Automated staleness propagation and dirty-state SHA comparison are out of scope for the current release.,@repo/docs/PRD_CANDIDATE.md:L0149|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0017,3f97e4b132a6,IN,SEC-DG005-0017,UNIT-DG005-0001,,
HBA-DG005-00067,67,A deliverable-level lock mechanism is out of scope for the current release.,@repo/docs/PRD_CANDIDATE.md:L0150|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0017,e9c192ef0ec0,IN,SEC-DG005-0017,UNIT-DG005-0001,,
HBA-DG005-00068,68,Unified pipeline run record persistence across all task agents is out of scope for the current release.,@repo/docs/PRD_CANDIDATE.md:L0151|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0017,e894f6f7fc25,IN,SEC-DG005-0017,UNIT-DG005-0001,,
HBA-DG005-00069,69,Project-level dependency graph visualization output is out of scope for the current release.,@repo/docs/PRD_CANDIDATE.md:L0152|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0017,b36e15565ded,IN,SEC-DG005-0017,UNIT-DG005-0001,,
HBA-DG005-00070,70,Automated merge gates beyond documented and human CHANGE constraints are out of scope for the current release.,@repo/docs/PRD_CANDIDATE.md:L0153|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0017,d76d42f10f4b,IN,SEC-DG005-0017,UNIT-DG005-0001,,
HBA-DG005-00071,71,Windows release packaging is out of scope unless separately scoped.,@repo/docs/PRD_CANDIDATE.md:L0154|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0017,38c1a05eb2bb,IN,SEC-DG005-0017,UNIT-DG005-0001,,
HBA-DG005-00072,72,A runtime enforcement monitor that intercepts every agent file write is out of scope for the current release.,@repo/docs/PRD_CANDIDATE.md:L0155|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0017,91298482a15c,IN,SEC-DG005-0017,UNIT-DG005-0001,,
HBA-DG005-00073,73,Working-root selection starts when the user opens Chirality.,@repo/docs/PRD_CANDIDATE.md:L0163|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0019,84d27a1467d0,IN,SEC-DG005-0019,UNIT-DG005-0001,,
HBA-DG005-00074,74,The user can enter an absolute path or choose a folder through the native Electron directory picker.,@repo/docs/PRD_CANDIDATE.md:L0164|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0019,b98634e71406,IN,SEC-DG005-0019,UNIT-DG005-0001,,
HBA-DG005-00075,75,"The app validates that the selected path exists, is a directory, is readable and writable, and is not inside the instruction root.",@repo/docs/PRD_CANDIDATE.md:L0165|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0019,960740f97391,IN,SEC-DG005-0019,UNIT-DG005-0001,,
HBA-DG005-00076,76,"The app stores the selected root as local UI state and uses it for file tree, scan, chat session, scaffold, and contract APIs.",@repo/docs/PRD_CANDIDATE.md:L0166|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0019,0acd15a96ebe,IN,SEC-DG005-0019,UNIT-DG005-0001,,
HBA-DG005-00077,77,Relative working-root paths are rejected.,@repo/docs/PRD_CANDIDATE.md:L0170|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0019,a2c807a526ad,IN,SEC-DG005-0019,UNIT-DG005-0001,,
HBA-DG005-00078,78,Missing or inaccessible working-root directories show actionable errors.,@repo/docs/PRD_CANDIDATE.md:L0171|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0019,f3f01b0fb749,IN,SEC-DG005-0019,UNIT-DG005-0001,,
HBA-DG005-00079,79,Instruction-root conflicts are blocked during working-root selection.,@repo/docs/PRD_CANDIDATE.md:L0172|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0019,ef2f92241305,IN,SEC-DG005-0019,UNIT-DG005-0001,,
HBA-DG005-00080,80,Clearing the working root disables runtime actions that require projectRoot.,@repo/docs/PRD_CANDIDATE.md:L0173|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0019,cbb2fccf4140,IN,SEC-DG005-0019,UNIT-DG005-0001,,
HBA-DG005-00081,81,Matrix navigation starts when the user enters PORTAL.,@repo/docs/PRD_CANDIDATE.md:L0177|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0020,8cf386f36388,IN,SEC-DG005-0020,UNIT-DG005-0001,,
HBA-DG005-00082,82,Selecting a NORMATIVE or EVALUATIVE matrix cell routes to WORKBENCH with agent context.,@repo/docs/PRD_CANDIDATE.md:L0178|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0020,6bf1eb365925,IN,SEC-DG005-0020,UNIT-DG005-0001,,
HBA-DG005-00083,83,Selecting an OPERATIVE matrix cell routes to PIPELINE with category context.,@repo/docs/PRD_CANDIDATE.md:L0179|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0020,e21466e1b103,IN,SEC-DG005-0020,UNIT-DG005-0001,,
HBA-DG005-00084,84,"If deliverables are present, a deliverable row can route to PIPELINE TASK with that deliverable preselected.",@repo/docs/PRD_CANDIDATE.md:L0180|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0020,9303db0514fc,IN,SEC-DG005-0020,UNIT-DG005-0001,,
HBA-DG005-00085,85,NORMATIVE and EVALUATIVE matrix cells route to WORKBENCH.,@repo/docs/PRD_CANDIDATE.md:L0184|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0020,ab3904e06317,IN,SEC-DG005-0020,UNIT-DG005-0001,,
