FindingID,AtomicUnitID,SourceDoc,AssignedCategoryID,CandidateCategoryIDs,FindingType,Severity,Status,Evidence,Recommendation
G3F-00024,HBA-TL001-00020,SRC-TOOLS-REGISTRY,CAT-006,CAT-006:6;CAT-005:5,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,"`validate_kty_remediation_manifest.py` validates SCOPE_CHANGE KTY remediation manifest rows for schema, dispatch mapping, content-action assignment, evidence paths, closure states, and factual-use gates.","Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00025,HBA-TL001-00031,SRC-TOOLS-REGISTRY,CAT-005,CAT-005:7;CAT-008:6,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,"`rasterize_pdf.py` renders PDF pages to numbered PNG files, skips existing PNGs idempotently, and writes a manifest with PDF hash and page metadata.","Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00026,HBA-TL001-00053,SRC-TOOLS-REGISTRY,CAT-006,CAT-006:7;CAT-008:7;CAT-005:2,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,`audit_equations.py` extracts display equations from per-page Markdown and emits an equation review surface plus JSONL sidecar.,"Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00027,HBA-TL001-00111,SRC-TOOLS-REGISTRY,CAT-006,CAT-006:8;CAT-008:8;CAT-005:2,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,"`source_audit/audit_figures.py` renders a per-figure Gate 1.5-F review surface with crop image, caption, and accept/flag controls.","Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00028,HBA-TL001-00157,SRC-TOOLS-REGISTRY,CAT-009,CAT-009:7;CAT-003:6;CAT-008:3;CAT-005:2,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,`extract_decomp_ids.py` is deferred because ORCHESTRATOR and PREPARATION currently parse decomposition IDs through LLM reading.,"Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00029,HBA-AG001-00004,SRC-AGENTS-AGENT-AGGREGATION,CAT-007,CAT-007:6;CAT-009:6;CAT-008:3;CAT-004:2,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,Estimate Collation is typically performed one deliverable at a time as directed by the human via INIT-TASK.,"Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00030,HBA-AG001-00028,SRC-AGENTS-AGENT-AGGREGATION,CAT-003,CAT-003:6;CAT-007:6;CAT-009:6;CAT-008:3,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,"AGGREGATION must not modify source files, including deliverables, estimate packs, _STATUS.md, decomposition outputs, or dependency registers.","Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00031,HBA-AG001-00041,SRC-AGENTS-AGENT-AGGREGATION,CAT-007,CAT-007:6;CAT-008:5;CAT-009:3,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,"Estimate Collation must collect assumptions for each deliverable, as a parseable table when possible or as raw collection with provenance.","Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00032,HBA-AG001-00042,SRC-AGENTS-AGENT-AGGREGATION,CAT-007,CAT-007:6;CAT-008:5;CAT-009:3,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,"Estimate Collation must collect risks for each deliverable, as a parseable table when possible or as raw collection with provenance.","Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00033,HBA-AG001-00068,SRC-AGENTS-AGENT-AGGREGATION,CAT-007,CAT-007:6;CAT-005:5;CAT-009:3;CAT-006:2,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,"AGGREGATION validates each deliverable detail file contains at least LineID, CBS, Description, Qty, Unit, UnitRate, Amount, Currency, Method, SourceRef, and Confidence.","Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00034,HBA-AG002-00070,SRC-AGENTS-AGENT-AUDIT-AGENTS,CAT-006,CAT-006:6;CAT-008:6,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,AUDIT_AGENTS fills canon extraction once when canon is available.,"Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00035,HBA-AG003-00002,SRC-AGENTS-AGENT-AUDIT-DECOMP,CAT-006,CAT-006:6;CAT-003:5;CAT-002:4;CAT-009:3,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,"AUDIT_DECOMP checks forward coverage, reverse coverage, context fidelity, artifact presence, objective mapping, scope ledger integrity, derivative-package parity, active snapshot consistency, and handoff-state consistency.","Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00036,HBA-AG003-00004,SRC-AGENTS-AGENT-AUDIT-DECOMP,CAT-003,CAT-003:6;CAT-006:6;CAT-009:3,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,AUDIT_DECOMP is read-only on deliverables and the decomposition document and does not fix discrepancies.,"Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00037,HBA-AG003-00015,SRC-AGENTS-AGENT-AUDIT-DECOMP,CAT-006,CAT-006:6;CAT-003:5,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,"AUDIT_DECOMP primary outputs are a coverage report, issue log CSV, coverage matrix CSV, and summary JSON.","Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00038,HBA-AG003-00016,SRC-AGENTS-AGENT-AUDIT-DECOMP,CAT-002,CAT-002:7;CAT-006:6;CAT-003:3,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,AUDIT_DECOMP resolves conflicts by applying PROTOCOL before SPEC before STRUCTURE before RATIONALE.,"Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00039,HBA-AG003-00020,SRC-AGENTS-AGENT-AUDIT-DECOMP,CAT-006,CAT-006:6;CAT-003:5;CAT-009:3,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,AUDIT_DECOMP produces a per-deliverable coverage matrix.,"Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00040,HBA-AG003-00023,SRC-AGENTS-AGENT-AUDIT-DECOMP,CAT-003,CAT-003:6;CAT-006:6;CAT-009:3,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,"AUDIT_DECOMP must never modify deliverable files, _CONTEXT.md, _STATUS.md, Dependencies.csv, or the decomposition document.","Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00041,HBA-AG003-00031,SRC-AGENTS-AGENT-AUDIT-DECOMP,CAT-003,CAT-003:6;CAT-006:6;CAT-008:2,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,"For DOMAIN, AUDIT_DECOMP treats active decomposition-local derivatives and active _ScopeChange artifacts as auditable package state.","Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00042,HBA-AG003-00033,SRC-AGENTS-AGENT-AUDIT-DECOMP,CAT-003,CAT-003:6;CAT-006:6,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,AUDIT_DECOMP requires DECOMPOSITION_PATH as an input path to the decomposition document.,"Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00043,HBA-AG003-00042,SRC-AGENTS-AGENT-AUDIT-DECOMP,CAT-003,CAT-003:6;CAT-006:6;CAT-002:2,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,DOMAIN_DECOMP maps the protocol term Package to Category.,"Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00044,HBA-AG003-00043,SRC-AGENTS-AGENT-AUDIT-DECOMP,CAT-003,CAT-003:7;CAT-006:6;CAT-009:3;CAT-002:2,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,DOMAIN_DECOMP maps the protocol term Deliverable to Knowledge Type.,"Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00045,HBA-AG003-00045,SRC-AGENTS-AGENT-AUDIT-DECOMP,CAT-003,CAT-003:7;CAT-006:6;CAT-002:2,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,DOMAIN_DECOMP maps the protocol term Scope Ledger to Domain Ledger.,"Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00046,HBA-AG003-00046,SRC-AGENTS-AGENT-AUDIT-DECOMP,CAT-003,CAT-003:7;CAT-006:6;CAT-002:2;CAT-001:1,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,DOMAIN_DECOMP maps the protocol term Artifact to Knowledge Subject.,"Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00047,HBA-AG003-00048,SRC-AGENTS-AGENT-AUDIT-DECOMP,CAT-003,CAT-003:7;CAT-006:6;CAT-010:2,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,"The Ledger semantic section binds to PROJECT_DECOMP Section 5, SOFTWARE_DECOMP Section 5, and DOMAIN_DECOMP Section 2 Domain Ledger.","Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00048,HBA-AG003-00051,SRC-AGENTS-AGENT-AUDIT-DECOMP,CAT-003,CAT-003:7;CAT-006:6;CAT-010:4;CAT-001:1,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,"The Production Units semantic section binds to PROJECT_DECOMP Section 8, SOFTWARE_DECOMP Section 4, and the DOMAIN_DECOMP Knowledge Types section.","Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00049,HBA-AG003-00070,SRC-AGENTS-AGENT-AUDIT-DECOMP,CAT-003,CAT-003:6;CAT-006:6,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,"If DECOMPOSITION_PATH is missing, unreadable, or unparseable for required sections, AUDIT_DECOMP writes RUN_SUMMARY.md with RUN_STATUS FAILED_INPUTS and returns.","Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00050,HBA-AG003-00074,SRC-AGENTS-AGENT-AUDIT-DECOMP,CAT-006,CAT-006:6;CAT-003:5,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,"AUDIT_DECOMP snapshot contents include Brief.md, RUN_SUMMARY.md, QA_Report.md, Decision_Log.md, Decomp_Coverage_Report.md, issue log CSV, coverage matrix CSV, and coverage_summary.json.","Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00051,HBA-AG003-00076,SRC-AGENTS-AGENT-AUDIT-DECOMP,CAT-003,CAT-003:6;CAT-006:6,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,Step 0 resolves EXECUTION_ROOT and DECOMPOSITION_PATH.,"Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00052,HBA-AG003-00077,SRC-AGENTS-AGENT-AUDIT-DECOMP,CAT-003,CAT-003:6;CAT-006:6;CAT-010:2,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,"Step 0 parses the decomposition document into partitions, production units, objectives, and ledger entries.","Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00053,HBA-AG003-00078,SRC-AGENTS-AGENT-AUDIT-DECOMP,CAT-006,CAT-006:6;CAT-003:5;CAT-008:3;CAT-010:2,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,"Step 0 extracts each Production Unit ID, parent partition ID, name, type, responsible party, anticipated artifacts, covered atomic units, and supported objectives.","Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00054,HBA-AG003-00080,SRC-AGENTS-AGENT-AUDIT-DECOMP,CAT-003,CAT-003:6;CAT-006:6,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,"For DOMAIN_DECOMP, Step 0 inventories active decomposition-local derivative surfaces under EXECUTION_ROOT/_Decomposition/.","Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00055,HBA-AG003-00100,SRC-AGENTS-AGENT-AUDIT-DECOMP,CAT-003,CAT-003:6;CAT-006:6;CAT-008:3;CAT-009:3,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,Check 4 compares package and deliverable IDs extracted from matched folders against decomposition values.,"Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00056,HBA-AG003-00115,SRC-AGENTS-AGENT-AUDIT-DECOMP,CAT-003,CAT-003:7;CAT-006:6;CAT-001:1,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,"For DOMAIN_DECOMP, Check 6 checks anticipated Knowledge Subjects and does not assume the standard four-document set.","Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00057,HBA-AG003-00122,SRC-AGENTS-AGENT-AUDIT-DECOMP,CAT-003,CAT-003:6;CAT-006:6;CAT-010:2,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,Check 7 compares enumerated Production Unit support counts against objective-count or support-count surfaces in the active decomposition package.,"Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00058,HBA-AG003-00126,SRC-AGENTS-AGENT-AUDIT-DECOMP,CAT-003,CAT-003:7;CAT-006:6;CAT-010:2,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,Check 8 resolves the ledger as Scope Ledger for PROJECT_DECOMP and SOFTWARE_DECOMP and as Domain Ledger for DOMAIN_DECOMP.,"Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00059,HBA-AG003-00127,SRC-AGENTS-AGENT-AUDIT-DECOMP,CAT-006,CAT-006:6;CAT-003:5;CAT-008:2,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,"When a ledger table exists, Check 8 evaluates each atomic unit with InOutStatus IN.","Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00060,HBA-AG003-00128,SRC-AGENTS-AGENT-AUDIT-DECOMP,CAT-006,CAT-006:6;CAT-003:5,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,Check 8 confirms that each IN atomic unit references an existing partition.,"Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00061,HBA-AG003-00129,SRC-AGENTS-AGENT-AUDIT-DECOMP,CAT-006,CAT-006:6;CAT-003:5;CAT-010:2,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,Check 8 confirms that each IN atomic unit references existing production units or TBD.,"Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00062,HBA-AG003-00130,SRC-AGENTS-AGENT-AUDIT-DECOMP,CAT-006,CAT-006:6;CAT-003:5;CAT-010:2,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,Check 8 emits a WARNING when an atomic unit references a non-existent partition or production unit.,"Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00063,HBA-AG003-00132,SRC-AGENTS-AGENT-AUDIT-DECOMP,CAT-003,CAT-003:6;CAT-006:6,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,"For DOMAIN_DECOMP, Check 9 audits active decomposition-local derivative surfaces under _Decomposition/.","Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00064,HBA-AG003-00134,SRC-AGENTS-AGENT-AUDIT-DECOMP,CAT-003,CAT-003:6;CAT-006:6,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,Check 9 compares derivative surfaces against the main decomposition document and active authoritative package state.,"Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00065,HBA-AG003-00139,SRC-AGENTS-AGENT-AUDIT-DECOMP,CAT-003,CAT-003:6;CAT-006:6,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,Check 9b emits a WARNING when the main decomposition document lacks a companion inventory section.,"Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00066,HBA-AG003-00140,SRC-AGENTS-AGENT-AUDIT-DECOMP,CAT-003,CAT-003:6;CAT-006:6,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,Check 9b emits a WARNING when the main decomposition document duplicates heavy companion truth without explicit justification.,"Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00067,HBA-AG003-00141,SRC-AGENTS-AGENT-AUDIT-DECOMP,CAT-006,CAT-006:9;CAT-007:8;CAT-003:3,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,Check 9b emits a BLOCKER when a derived publication artifact appears to be treated as authoritative while a modular package exists.,"Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00068,HBA-AG003-00155,SRC-AGENTS-AGENT-AUDIT-DECOMP,CAT-006,CAT-006:6;CAT-003:5,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,Check 11 records lifecycle state in the coverage matrix.,"Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00069,HBA-AG003-00159,SRC-AGENTS-AGENT-AUDIT-DECOMP,CAT-006,CAT-006:6;CAT-003:5,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,Comparison mode loads the prior coverage_summary.json when PRIOR_RUN_LABEL is provided.,"Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
