LocalSeq,UnitStatement,SourceRef,ContentHash,InOutStatus,SectionID,DispatchUnitID,Corrects,Notes
1,design_workspace/engine.py provides deterministic design-authoring and comparison workspace records for DEL-07-08.,@repo/core/gui/design_workspace/engine.py:L1|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0013,1f5d55213f47,IN,SEC-CC001-0013,UNIT-CC001-0002,,
25,_analysis_comparison_table builds analysis result and settings delta rows and reports has_blocking_findings.,@repo/core/gui/design_workspace/engine.py:L591|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0013,ab4cc2fb333e,IN,SEC-CC001-0013,UNIT-CC001-0002,,
26,"_analysis_result_row normalizes a result delta row with mapping id, result family, classification, tolerance refs, unit, dimension, magnitudes, and normalized delta.",@repo/core/gui/design_workspace/engine.py:L632|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0013,bb59418817e4,IN,SEC-CC001-0013,UNIT-CC001-0002,,
27,"_graphical_overlays builds descriptor-only overlays from model comparison, analysis comparison, and operation preview rows; overlay_policy is descriptor_only_no_solver_or_geometry_generation.",@repo/core/gui/design_workspace/engine.py:L669|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0013,eab07bf6221b,IN,SEC-CC001-0013,UNIT-CC001-0002,,
28,_model_overlay produces a model_state_delta overlay; it is visible by default unless classification is unchanged or mapped_unchanged.,@repo/core/gui/design_workspace/engine.py:L712|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0013,8fe909cc887e,IN,SEC-CC001-0013,UNIT-CC001-0002,,
29,_analysis_overlay produces an analysis_result_delta overlay bound to upstream result object refs (descriptor only) with visual review support only.,@repo/core/gui/design_workspace/engine.py:L729|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0013,892800c9c7f2,IN,SEC-CC001-0013,UNIT-CC001-0002,,
30,_operation_overlay produces an operation_diff_preview overlay visible by default only when preview_status is 'previewed'.,@repo/core/gui/design_workspace/engine.py:L750|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0013,fe8affb830c8,IN,SEC-CC001-0013,UNIT-CC001-0002,,
31,"_operation_diff_review composes operation diff-preview rows joined with audit records, emitting warnings when preview or audit input is missing.",@repo/core/gui/design_workspace/engine.py:L767|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0013,d79cd313c994,IN,SEC-CC001-0013,UNIT-CC001-0002,,
32,"operation_diff_review operation_policy asserts the workspace does not apply operations, does not mutate accepted state, and requires explicit user acceptance before labelling an accepted operation.",@repo/core/gui/design_workspace/engine.py:L817|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0013,2b9799f84f29,IN,SEC-CC001-0013,UNIT-CC001-0002,,
33,_operation_review_row joins a preview row with its audit decision and emits WORKSPACE-OPERATION-MUTATION-SIGNAL-BLOCKED (blocking) when application_status is not 'not_applied'.,@repo/core/gui/design_workspace/engine.py:L839|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0013,f0ae9f3d9fd2,IN,SEC-CC001-0013,UNIT-CC001-0002,,
34,"An operation can be represented as an accepted operation only when the audit decision is accepted, has explicit user acceptance, and did not mutate accepted model state.",@repo/core/gui/design_workspace/engine.py:L878|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0013,6f25f512ce50,IN,SEC-CC001-0013,UNIT-CC001-0002,,
35,Operation review rows force workspace_application_status to not_applied and accepted_model_state_mutated_by_workspace to False.,@repo/core/gui/design_workspace/engine.py:L891|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0013,43c6208a49fc,IN,SEC-CC001-0013,UNIT-CC001-0002,,
36,"_operation_review_state maps audit decision and preview status to review states: explicit_user_acceptance_recorded, rejected_operation_recorded, held_for_user_acceptance, blocked_by_validation, preview_ready_for_user_review, or preview_unavailable.",@repo/core/gui/design_workspace/engine.py:L907|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0013,c5c81c9b21a3,IN,SEC-CC001-0013,UNIT-CC001-0002,,
37,"_review_state_routing computes route_state as blocked_findings_visible when blocking diagnostics exist, input_unavailable_review when panels are unavailable, else review_navigation_available.",@repo/core/gui/design_workspace/engine.py:L925|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0013,bd9ee5cb0ae7,IN,SEC-CC001-0013,UNIT-CC001-0002,,
38,_mapping_contract_summary summarizes a comparison mapping contract with mapping_count and unmatched_count.,@repo/core/gui/design_workspace/engine.py:L959|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0013,dd3ec72cd2db,IN,SEC-CC001-0013,UNIT-CC001-0002,,
39,"_tolerance_profile_summary summarizes a tolerance profile with profile ref, status, and rule_count.",@repo/core/gui/design_workspace/engine.py:L977|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0013,e28f5339817c,IN,SEC-CC001-0013,UNIT-CC001-0002,,
40,"_diagnostic assigns contract_ref DEL-02-05 when the code contains 'HASH', otherwise DEL-02-03.",@repo/core/gui/design_workspace/engine.py:L1019|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0013,a4960796ae9a,IN,SEC-CC001-0013,UNIT-CC001-0002,,
41,_contains_tbd recursively detects the literal 'TBD' in strings and treats None values as unresolved TBD.,@repo/core/gui/design_workspace/engine.py:L1112|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0013,0ebf385f07f0,IN,SEC-CC001-0013,UNIT-CC001-0002,,
42,_hash_payload returns a sha256: prefixed hash over canonical JSON of the value.,@repo/core/gui/design_workspace/engine.py:L1122|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0013,1e81f5a25776,IN,SEC-CC001-0013,UNIT-CC001-0002,,
43,"editors package exposes material, component, and rule-pack editor contracts for DEL-07-03.",@repo/core/gui/editors/__init__.py:L1|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0014,9c6347a7b28d,IN,SEC-CC001-0014,UNIT-CC001-0002,,
44,editors/__init__ exports build_editor_contract and canonical_json.,@repo/core/gui/editors/__init__.py:L5|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0014,7d464fb65fc2,IN,SEC-CC001-0014,UNIT-CC001-0002,,
45,editors/engine.py provides deterministic editor contracts for DEL-07-03.,@repo/core/gui/editors/engine.py:L1|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0015,6f2fcd9ff7e2,IN,SEC-CC001-0015,UNIT-CC001-0002,,
46,"EDITOR_KINDS are 'material', 'component', and 'rule_pack_reference'.",@repo/core/gui/editors/engine.py:L26|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0015,ae600b8a7cd1,IN,SEC-CC001-0015,UNIT-CC001-0002,,
47,build_editor_contract builds deterministic material/component/rule-pack editor records keyed by editor_set_id for DEL-07-03 / PKG-07 / SOW-021 / OBJ-006.,@repo/core/gui/editors/engine.py:L29|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0015,f41f6d964d99,IN,SEC-CC001-0015,UNIT-CC001-0002,,
48,Editor contract command_policy is bounded apply/cancel intents only and private_payload_policy keeps references and checksums only with no private payload copy.,@repo/core/gui/editors/engine.py:L43|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0015,b84fbd68ec6d,IN,SEC-CC001-0015,UNIT-CC001-0002,,
49,_editor_record emits EDITOR_KIND_UNSUPPORTED (blocking) for an unrecognized editor kind and RULE_PACK_CHECKSUM_MISSING (blocking) when a rule_pack_reference lifecycle lacks a checksum.,@repo/core/gui/editors/engine.py:L58|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0015,dc0103694da6,IN,SEC-CC001-0015,UNIT-CC001-0002,,
50,An editor save_intent has status pending_service_validation and mutates_persistent_project False.,@repo/core/gui/editors/engine.py:L76|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0015,a9e844363408,IN,SEC-CC001-0015,UNIT-CC001-0002,,
51,"_field_record validates a field, blocking on missing unit/dimension metadata and marking unresolved_TBD when value is None or 'TBD'.",@repo/core/gui/editors/engine.py:L83|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0015,7e429e569088,IN,SEC-CC001-0015,UNIT-CC001-0002,,
52,"_validation_state returns blocked when no fields, blocked_by_unresolved_fields for unresolved fields, blocked_by_contract_metadata for blocked fields, else ready_for_service_validation.",@repo/core/gui/editors/engine.py:L125|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0015,9dee719f4d33,IN,SEC-CC001-0015,UNIT-CC001-0002,,
53,model_tree package exposes model tree and property inspector contracts for DEL-07-02.,@repo/core/gui/model_tree/__init__.py:L1|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0016,d5061c7acbe5,IN,SEC-CC001-0016,UNIT-CC001-0002,,
54,"model_tree/__init__ exports GUI_PROFESSIONAL_BOUNDARY, build_model_tree_property_inspector, and canonical_json.",@repo/core/gui/model_tree/__init__.py:L3|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0016,c5d810e3b50b,IN,SEC-CC001-0016,UNIT-CC001-0002,,
55,model_tree/engine.py provides deterministic model-tree/property-inspector records for DEL-07-02.,@repo/core/gui/model_tree/engine.py:L1|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0017,cdebf7db03cd,IN,SEC-CC001-0017,UNIT-CC001-0002,,
56,"build_model_tree_property_inspector builds a deterministic GUI tree and inspector record from project_id, entities, and an optional selected_ref.",@repo/core/gui/model_tree/engine.py:L28|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0017,11423b6744cb,IN,SEC-CC001-0017,UNIT-CC001-0002,,
57,"The model-tree function only shapes invented or already-cleared GUI state; it does not mutate project data, persist edits, run solvers, or fill missing values.",@repo/core/gui/model_tree/engine.py:L34|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0017,298ae78484cf,IN,SEC-CC001-0017,UNIT-CC001-0002,,
58,Model-tree mutation_policy is application_service_command_intents_only.,@repo/core/gui/model_tree/engine.py:L57|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0017,e305cba211c8,IN,SEC-CC001-0017,UNIT-CC001-0002,,
59,_tree_node builds a tree node and emits MODEL_TREE_ENTITY_INCOMPLETE (blocking) for incomplete entities and PROPERTY_VALUE_UNRESOLVED (warning) for unresolved property values.,@repo/core/gui/model_tree/engine.py:L67|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0017,828571a23c3f,IN,SEC-CC001-0017,UNIT-CC001-0002,,
60,_selection resolves a selected_ref against known nodes and emits MODEL_TREE_SELECTION_UNKNOWN (warning) when the selection is not present.,@repo/core/gui/model_tree/engine.py:L92|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0017,09cf89b03b27,IN,SEC-CC001-0017,UNIT-CC001-0002,,
61,"_inspector returns the property inspector fields for the resolved selected entity, or no_selection / selection_unresolved when there is no match.",@repo/core/gui/model_tree/engine.py:L106|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0017,a69610f7fa48,IN,SEC-CC001-0017,UNIT-CC001-0002,,
62,pkg02_boundary.py provides shared PKG-02 boundary helpers for GUI contract records.,@repo/core/gui/pkg02_boundary.py:L1|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0018,c83bd8d74755,IN,SEC-CC001-0018,UNIT-CC001-0002,,
63,"CANONICAL_DIMENSIONS enumerates the accepted DEL-02-02 dimension identifiers including dimensionless, length, mass, time, temperature, pressure, stress, area, volume, density, stiffness, displacement, and TBD.",@repo/core/gui/pkg02_boundary.py:L10|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0018,eaaaa992906c,IN,SEC-CC001-0018,UNIT-CC001-0002,,
64,"CANONICAL_ANALYSIS_STATUSES are MODEL_INCOMPLETE, MECHANICS_SOLVED, RULE_INPUTS_INCOMPLETE, USER_RULE_CHECKED, USER_RULE_FAILED, HUMAN_REVIEW_REQUIRED, and HUMAN_APPROVED_FOR_PROJECT.",@repo/core/gui/pkg02_boundary.py:L43|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0018,104e6abb51dc,IN,SEC-CC001-0018,UNIT-CC001-0002,,
65,AUTOMATIC_ANALYSIS_STATUSES are all canonical analysis statuses except HUMAN_APPROVED_FOR_PROJECT.,@repo/core/gui/pkg02_boundary.py:L53|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0018,9748c0d5af9a,IN,SEC-CC001-0018,UNIT-CC001-0002,,
66,HUMAN_ACCEPTANCE_STATUS is 'HUMAN_APPROVED_FOR_PROJECT'.,@repo/core/gui/pkg02_boundary.py:L57|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0018,d3239304033b,IN,SEC-CC001-0018,UNIT-CC001-0002,,
67,"unit_contract returns the GUI-facing PKG-02 DEL-02-02 unit contract: canonical dimensions list, retired dimension values forbidden, unit-bearing values require explicit unit metadata, and missing-unit behavior is diagnostic_blocking.",@repo/core/gui/pkg02_boundary.py:L60|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0018,fda6e3601d8a,IN,SEC-CC001-0018,UNIT-CC001-0002,,
68,"analysis_boundary_contract returns the DEL-02-03 analysis boundary: automatic status scope, human acceptance status, external hash-bound human acceptance authority, software does not emit human approval status, and forbidden software claims (code_compliance, certification, sealing, professional_acceptance, authentication).",@repo/core/gui/pkg02_boundary.py:L73|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0018,2b306fa78304,IN,SEC-CC001-0018,UNIT-CC001-0002,,
69,"persistence_hash_contract returns the DEL-02-05 persistence/hash contract: JCS canonicalization, payload hashes required for persisted or result-available records, and human acceptance invalidates on hash change.",@repo/core/gui/pkg02_boundary.py:L95|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0018,7fe795c9ad0a,IN,SEC-CC001-0018,UNIT-CC001-0002,,
70,"pkg02_diagnostic builds a deterministic diagnostic with PKG-02 envelope-adjacent fields including code, diagnostic_id, severity, target_ref, message, remediation, and contract_ref.",@repo/core/gui/pkg02_boundary.py:L108|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0018,1e188a02c4f7,IN,SEC-CC001-0018,UNIT-CC001-0002,,
71,normalize_analysis_statuses validates and normalizes software-emitted analysis statuses against the canonical vocabulary.,@repo/core/gui/pkg02_boundary.py:L143|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0018,6193a621fdad,IN,SEC-CC001-0018,UNIT-CC001-0002,,
72,normalize_analysis_statuses emits ANALYSIS_STATUS_NON_CANONICAL (blocking) for statuses outside the DEL-02-03 vocabulary.,@repo/core/gui/pkg02_boundary.py:L174|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0018,97ce7fa2f9c9,IN,SEC-CC001-0018,UNIT-CC001-0002,,
73,normalize_analysis_statuses emits ANALYSIS_STATUS_HUMAN_APPROVAL_NOT_SOFTWARE_EMITTED (blocking) because human project acceptance is external and hash-bound and must not be emitted as automatic status.,@repo/core/gui/pkg02_boundary.py:L188|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0018,b48cbb8e25d9,IN,SEC-CC001-0018,UNIT-CC001-0002,,
74,normalize_analysis_statuses returns statuses sorted by canonical vocabulary order.,@repo/core/gui/pkg02_boundary.py:L205|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0018,46ac0e07a9f2,IN,SEC-CC001-0018,UNIT-CC001-0002,,
75,quantity_metadata validates explicit unit and dimension metadata for GUI-visible quantities.,@repo/core/gui/pkg02_boundary.py:L209|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0018,74f095a2efcb,IN,SEC-CC001-0018,UNIT-CC001-0002,,
76,quantity_metadata emits a UNIT_METADATA_MISSING blocking diagnostic when a unit-bearing value lacks explicit unit metadata.,@repo/core/gui/pkg02_boundary.py:L227|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0018,c1596a628beb,IN,SEC-CC001-0018,UNIT-CC001-0002,,
77,quantity_metadata emits a DIMENSION_METADATA_MISSING blocking diagnostic when a unit-bearing value lacks explicit dimension metadata.,@repo/core/gui/pkg02_boundary.py:L240|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0018,56931c989bba,IN,SEC-CC001-0018,UNIT-CC001-0002,,
78,quantity_metadata emits a DIMENSION_NON_CANONICAL blocking diagnostic when a dimension is not in the DEL-02-02 vocabulary.,@repo/core/gui/pkg02_boundary.py:L253|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0018,4019525970f5,IN,SEC-CC001-0018,UNIT-CC001-0002,,
79,"hash_boundary_status summarizes DEL-02-05 hash evidence (presence, count, canonicalization and algorithm values) without interpreting payload contents.",@repo/core/gui/pkg02_boundary.py:L278|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0018,d2402e1631e7,IN,SEC-CC001-0018,UNIT-CC001-0002,,
80,source_of_truth_boundary describes how a GUI surface avoids becoming the canonical data authority: gui_is_source_of_truth is False and the canonical source is the PKG-02 physical_source_of_truth model and governed persistence records.,@repo/core/gui/pkg02_boundary.py:L299|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0018,f4e3d6920070,IN,SEC-CC001-0018,UNIT-CC001-0002,,
81,results_viewer package exposes results viewer contracts for DEL-07-05.,@repo/core/gui/results_viewer/__init__.py:L1|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0019,22619b2356e5,IN,SEC-CC001-0019,UNIT-CC001-0002,,
82,results_viewer/__init__ exports build_results_viewer_contract and canonical_json.,@repo/core/gui/results_viewer/__init__.py:L5|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0019,bb4f11939261,IN,SEC-CC001-0019,UNIT-CC001-0002,,
83,results_viewer/engine.py provides deterministic result-viewer records for DEL-07-05.,@repo/core/gui/results_viewer/engine.py:L1|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0020,247822050d15,IN,SEC-CC001-0020,UNIT-CC001-0002,,
84,"RESULT_KINDS are displacement, rotation, force, moment, reaction, stress, and ratio.",@repo/core/gui/results_viewer/engine.py:L22|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0020,ed67e4ba5097,IN,SEC-CC001-0020,UNIT-CC001-0002,,
85,build_results_viewer_contract builds deterministic result-view records keyed by result_set_id for DEL-07-05 / PKG-07 / SOW-023.,@repo/core/gui/results_viewer/engine.py:L25|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0020,f9644297326d,IN,SEC-CC001-0020,UNIT-CC001-0002,,
86,"Results viewer policy is tabular and overlay descriptors only, solver_execution is not_performed, and software makes no professional acceptance claim.",@repo/core/gui/results_viewer/engine.py:L37|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0020,1346d5965780,IN,SEC-CC001-0020,UNIT-CC001-0002,,
87,_result_view emits RESULT_KIND_UNSUPPORTED (blocking) for unknown kinds and RESULT_VALUES_MISSING (blocking) when there are no values.,@repo/core/gui/results_viewer/engine.py:L56|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0020,e246b255ad2c,IN,SEC-CC001-0020,UNIT-CC001-0002,,
88,A result view requires canonical analysis status only when its availability is 'available'.,@repo/core/gui/results_viewer/engine.py:L65|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0020,283a50d1428b,IN,SEC-CC001-0020,UNIT-CC001-0002,,
89,_result_view emits RESULT_HASH_EVIDENCE_MISSING and RESULT_PROVENANCE_REF_MISSING warnings when an available result lacks hashes or provenance refs.,@repo/core/gui/results_viewer/engine.py:L74|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0020,2493544b8e2f,IN,SEC-CC001-0020,UNIT-CC001-0002,,
