KnowledgeTypeID,Name,ParentCategoryID,Description,IntendedUsers,WhenUsed,CanonicalSchema,SourceBasis,AssignmentBasis,MappedUnitCount,SubjectCount,Status,Notes
KTY-01-01_Epistemic-Warrant,Epistemic Warrant Foundations,CAT-001,"Reusable guidance for claims, evidence, warrant states, epistemic labels, and evidence-over-plausibility reasoning.","Domain authors, reviewers, auditors, and engineers relying on AI-mediated outputs.","Used when a workflow must decide whether a claim is warranted, provisional, uncertain, or inadmissible.",Guidance / Playbook,CAT-001 scope; Chirality framework; epistemic architecture thesis sources.,Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,703,2,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
KTY-03-04_Category-KTY-Subject-Structuring,"Category, KTY, and Subject Structuring",CAT-003,"Rules for flat categories, Knowledge Types, Subjects, unit assignment, and retrieval-driven ratification.",Domain decomposers and decomposition auditors.,Used during Gate 3 and Gate 4 structuring and refinement.,Guidance / Playbook,DOMAIN_DECOMP Phase 3 and Phase 4 instructions.,Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,83,2,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
KTY-03-05_Scope-Change-and-Remediation,Scope Change and Remediation,CAT-003,"Procedures for source-driven scope amendments, remediation manifests, disposition evidence, and decomposition package review.","SCOPE_CHANGE, decomposers, and remediation skill workers.",Used when accepted decomposition truth must be amended or KTY-local content disposition is required.,Procedure,SCOPE_CHANGE and decomposition-package review skill sources.,Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,390,2,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
KTY-04-01_TASK-Shell-and-Briefs,TASK Shell and Brief Contracts,CAT-004,"Generic bounded TASK execution shell, brief schema, runtime inputs, and output expectations.","TASK dispatchers, skill authors, and bounded workers.",Used whenever a method pack is dispatched through TASK.,Procedure,AGENT_TASK and skill brief schemas.,Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,1422,2,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
KTY-04-02_Skill-Pack-Metadata-and-QA,Skill Pack Metadata and QA,CAT-004,"Contracts for SKILL.md, BRIEF_SCHEMA, QA_CHECKS, TOOL_POLICY, metadata, and skill validation.","Skill authors, Skillmaker, and validators.","Used when creating, auditing, or dispatching a skill pack.",Checklist,"Skillmaker, skill meta, and grouped skill-pack sources.",Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,397,2,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
KTY-04-03_Deterministic-Tooling,Deterministic Tooling,CAT-004,"Rules and implementation contracts for deterministic tools, validation scripts, and local helpers.","Toolmaker, maintainers, and workflow agents.",Used when adding or changing deterministic tooling.,Procedure,TOOLMAKER and tools registry sources.,Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,268,2,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
KTY-04-04_Runtime-Overrides-and-Policies,Runtime Overrides and Policies,CAT-004,"Generic runtime override, mode, policy, and write-scope controls across skills and agents.","Skill dispatchers, workers, and reviewers.",Used when a task behavior is selected or constrained by runtime parameters.,Reference,"TASK, Skillmaker, and grouped skill-pack contracts.",Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,23,2,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
KTY-04-05_KTY-Local-Worker-Contracts,KTY-Local Worker Contracts,CAT-004,Generic contracts for workers that read or align KTY-local metadata and documents without changing decomposition truth.,"Domain document, remediation, and metadata-alignment workers.",Used after decomposition when KTY-local packages are created or maintained.,Checklist,"domain-documents, kty-content-remediate, and kty-metadata-align skill sources.",Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,525,2,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
KTY-05-01_SourceRef-and-Hash-Provenance,SourceRef and Hash Provenance,CAT-005,"Reference rules for SourceRefs, dual anchors, ContentHash, and source-backed traceability.","Atomization workers, decomposers, and validators.",Used when checking whether atom rows can be traced to source evidence.,Reference,DOMAIN_DECOMP SourceRef policy and source atomization contracts.,Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,74,2,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
KTY-05-02_Source-Catalog-and-Snapshots,Source Catalog and Snapshots,CAT-005,"Procedures for source database snapshots, manifests, chunks, artifacts, and validation.",Source catalog maintainers and retrieval users.,"Used when building, validating, or consuming local source indexes.",Procedure,Source catalog and validation tooling.,Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,54,2,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
KTY-05-03_Retrieval-Index-and-Querying,Retrieval Index and Querying,CAT-005,"BM25, dense, and hybrid retrieval behavior over source_v2 chunks and atom text.","Decomposers, reviewers, and retrieval users.",Used when querying source or atom evidence by lexical or semantic relevance.,Procedure,Retrieval README and query_source_index tool.,Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,6,1,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
KTY-05-04_Review-Surfaces-and-Telemetry,Review Surfaces and Telemetry,CAT-005,"Section-node anchors, review HTML surfaces, sidecars, coverage telemetry, transposition telemetry, and retrieval substrate metadata.","Decomposers, source reviewers, and auditors.",Used when navigating from atom rows to section review surfaces or interpreting intake telemetry.,Reference,"DOMAIN_DECOMP review surfaces, coverage telemetry, and telemetry-bearing workflow registers.",Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,15,2,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
KTY-06-01_Audit-Agent-Checks,Audit Agent Checks,CAT-006,"Independent audit workflows for decomposition, dependency, governance, epistemic, hypergraph, and scope closure.",Audit agents and reviewers.,Used when checking governed state for conformance and closure.,Checklist,AUDIT_* agent instruction sources.,Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,1588,2,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
KTY-06-02_Review-and-Reconciliation,Review and Reconciliation,CAT-006,"Formal review, reconciliation, and cross-deliverable coherence workflows.","Reviewers, reconciliation agents, and governance operators.",Used when a lifecycle transition or cross-artifact coherence check is needed.,Procedure,REVIEW and RECONCILIATION instruction sources.,Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,529,2,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
KTY-06-03_Evaluation-and-Scoring,Evaluation and Scoring,CAT-006,"Evaluation orchestration, scored dimension reports, and structure/dependency evaluation checks.",Evaluation agents and reviewers.,Used when a domain or project package is scored against evaluation dimensions.,Procedure,EVALUATION* instruction sources.,Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,316,2,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
KTY-06-04_Findings-and-Evidence,Findings and Evidence Bundles,CAT-006,"Registers and evidence bundles for findings, blockers, QA status, verdicts, and disposition.","Auditors, reviewers, and closure agents.",Used when recording or resolving findings and blockers.,Reference,"Audit, review, and validation register sources.",Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,116,2,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
KTY-06-05_Postauthor-and-Backcheck,Postauthor and Backcheck Review,CAT-006,"Review of authored outputs, concordance, post-author evidence bundles, and backcheck loops.","Publishers, reviewers, and auditors.",Used after synthesis or extraction outputs are produced and must be checked.,Checklist,DBM review skills and extraction audit loops.,Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,18,2,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
KTY-07-01_DBM-Publication-Planning,DBM and PRD Publication Planning,CAT-007,"DBM and PRD publication planning, frozen inputs, section maps, requirements-package structure, publication rules, and package assembly constraints.","DBM_PUBLISHER, product requirements authors, publication planners, and reviewers.",Used when converting approved decomposition truth into a DBM or PRD-style requirements/publication plan.,Procedure,DBM_PUBLISHER instruction source plus human-directed PRD/DBM equivalence for software/product requirements packages.,Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,1252,3,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
KTY-07-02_DBM-Section-Synthesis,DBM / PRD Section Synthesis and Concordance,CAT-007,"DBM and PRD section authoring, concordance seed/verify, draft review, and post-author concordance.",DBM section writers and post-author reviewers.,Used when producing or reviewing DBM or PRD-style sections from accepted inputs.,Procedure,dbm-section-publish and concordance skill sources.,Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,526,2,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
KTY-07-03_Aggregation-and-Content-Digest,Aggregation and Content Digest,CAT-007,"Aggregation snapshots, content digest generation, and derivative synthesis packages.",Aggregation agents and synthesis workers.,Used when summarizing accepted truth into derivative aggregation outputs.,Procedure,AGGREGATION and content digest skill sources.,Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,242,2,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
KTY-07-04_Hypergraph-and-Semantic-Matrices,Hypergraph and Semantic Matrices,CAT-007,"Hypergraph snapshots, semantic matrix/lens artifacts, and graph-like derived structure.","DOMAIN_HYPERGRAPH, semantic-matrix workers, and reviewers.",Used when generating graph or matrix structures from accepted decomposition truth.,Procedure,DOMAIN_HYPERGRAPH and semantic matrix skill sources.,Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,288,2,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
KTY-07-05_Derived-Package-Governance,Derived Package Governance,CAT-007,"Rules for derivative publication artifacts, upstream citations, and non-authoritative package status.","Publishers, aggregators, hypergraph agents, and auditors.",Used when a generated package consumes accepted truth but is not itself authoritative decomposition truth.,Checklist,AGENTS governance rule plus publication and aggregation sources.,Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,9,2,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
KTY-08-01_PDF2MD-Extraction,PDF2MD Extraction,CAT-008,"Page raster, transcription, markdown assembly, folio handling, and PDF-to-Markdown orchestration.",PDF2MD orchestrators and page workers.,Used when converting PDF or page-image sources into markdown source surfaces.,Procedure,PDF2MD agent and page skill sources.,Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,1177,2,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
KTY-08-02_Asset-and-Equation-Extraction,Asset and Equation Extraction,CAT-008,"Equation, figure, table, image, crop, bbox, and asset manifest extraction mechanics.",Extraction agents and asset workers.,Used when extracting or auditing source assets from page material.,Procedure,"EQUATION_AUDIT, pdf2md-page-assets, and source audit surfaces.",Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,563,2,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
KTY-08-03_Drawing-and-PID-Extraction,Drawing and P&ID Extraction,CAT-008,"Drawing set, PFD, P&ID, titleblock, valve symbol, and page-target extraction workflows.",DRAWING_EXTRACT and target-specific drawing workers.,Used when extracting engineering drawing information.,Procedure,DRAWING_EXTRACT and P&ID skill sources.,Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,758,2,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
KTY-08-04_Equipment-and-Estimate-Extraction,Equipment and Estimate Extraction,CAT-008,"Equipment, costing, estimate-prep, estimate snapshot, and engineering-data extraction workflows.",Equipment and estimating extraction workers.,Used when extracting structured engineering data from source material.,Procedure,equipment and estimate extraction skill sources.,Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,783,2,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
KTY-08-05_External-Extraction-Tools,External Extraction Tools,CAT-008,"Integration contracts for external extraction helpers, OCR/table engines, and generated extraction artifacts.",Extraction orchestrators and tool integrators.,Used when an extraction workflow depends on local or external tooling.,Reference,Tool registry and extraction skill sources.,Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,38,2,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
KTY-09-01_Orchestration-and-Assistance,Orchestration and Assistance,CAT-009,"Human-facing orchestration, intent classification, control loops, and operator assistance.","ORCHESTRATOR, HELP_HUMAN, and operators.",Used when setting up or guiding a governed workflow.,Procedure,ORCHESTRATOR and HELP_HUMAN instruction sources.,Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,693,2,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
KTY-09-02_Preparation-and-Scaffolding,Preparation and Scaffolding,CAT-009,"Package, deliverable, category, KTY folder, and working-surface scaffolding workflows.",PREPARATION and setup workers.,Used before substantive work begins in a package or deliverable.,Procedure,PREPARATION instruction source.,Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,299,2,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
KTY-09-03_Change-and-Handoff-Management,Change and Handoff Management,CAT-009,"Change-agent behavior, git state, handoff packets, coordination messages, and continuation state.","CHANGE, SCOPE_CHANGE consumers, and workflow operators.","Used when a workflow changes state, transfers ownership, or touches git-managed files.",Procedure,CHANGE and handoff-state sources.,Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,77,2,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
KTY-09-04_Scheduling-and-Dependencies,Scheduling and Dependencies,CAT-009,"Dependency extraction, dependency registers, scheduling, sequencing, and readiness ordering.","Schedulers, dependency workers, and project coordinators.",Used when work must be ordered or dependency closure is needed.,Procedure,SCHEDULING and dependency-extract skill sources.,Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,471,2,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
KTY-09-05_Working-Items-and-Deliverables,Working Items and Deliverables,CAT-009,"Deliverable-scoped work, working items, deliverable consistency, and bounded content production.","WORKING_ITEMS, deliverable workers, and package owners.",Used when producing or checking deliverable-local content.,Procedure,WORKING_ITEMS and deliverable skill sources.,Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,151,2,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
KTY-10-01_Work-Surface-Topology,Work-Surface Topology,CAT-010,"Repository organization, domains/projects boundaries, work-surface registry entries, and active/archive exclusions.","Domain owners, project owners, and decomposers.",Used when deciding which area owns a body of work or whether a path is admitted source truth.,Reference,README and work-surface registry sources.,Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,329,2,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
KTY-10-02_Domain-Engine-Integration,Domain Engine Integration,CAT-010,"Domain Engine profiles, protected paths, operation proposals, adapter workflows, and domain handoffs.","DOMAIN_ENGINE, profile owners, and integration workers.",Used when integrating a project or external domain engine into Chirality.,Procedure,DOMAIN_ENGINE and Domain Engine integration plan sources.,Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,736,2,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
KTY-10-03_Chirality-App-Boundary,Chirality App Boundary,CAT-010,"Chirality app development, public export boundary, app-dev workspace, and export surfaces.","App developers, domain owners, and public export maintainers.",Used when distinguishing domain-source truth from app implementation and export surfaces.,Reference,Work-surface registry and export report sources.,Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,47,2,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
KTY-10-04_Chirality-Piping-and-OpenPipeStress,Chirality Piping and OpenPipeStress,CAT-010,"Chirality piping workspace, OpenPipeStress integration, external model state, and handoff workflows.","chirality-piping project owners, OpenPipeStress integrators, and domain-engine operators.",Used when coordinating Chirality with piping or OpenPipeStress project work.,Procedure,OpenPipeStress bigger-picture and integration-plan sources.,Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,198,2,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
KTY-10-05_Private-Public-and-Future-Domain-Boundaries,Private/Public and Future Domain Boundaries,CAT-010,"Boundary rules for private workspaces, public exports, future project decompositions, and adjacent domains.","Domain owners, project owners, and decomposers.","Used when a source is near a boundary between Chirality, project domains, public exports, and archived evidence.",Guidance / Playbook,Work-surface registry sources and human boundary decisions.,Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,6,1,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
KTY-11-01_License-Grant-and-Permissions,License Grant and Permissions,CAT-011,"License grant, permitted uses, copyright notice, and sublicense/distribution permissions.","Repository users, public-release reviewers, and maintainers.",Used when interpreting what the license grants or requires.,Reference,LICENSE.md and public release notice sources.,Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,25,2,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
KTY-11-02_Warranty-and-Liability,Warranty and Liability Limits,CAT-011,"Warranty disclaimer, liability limitation, and provided-as-is terms.","Repository users, public-release reviewers, and maintainers.",Used when interpreting license limitations and disclaimer language.,Reference,LICENSE.md.,Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,6,2,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
KTY-11-03_Public-Release-Legal-Notice,Public Release Legal Notice,CAT-011,Explicit public-release and professional-engineering legal notice clauses outside the core MIT grant.,Public export maintainers and professional-practice reviewers.,Used when a release or document carries legal notice language beyond ordinary governance caveats.,Reference,README/export legal notice and professional-engineering clause sources.,Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,4,1,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
