ClaimKey,DeliverableID,UnitKind,ClaimType,ClaimClass,ClaimSummary,NormativeSource,DecisionBasis,DeclaredState,RecordedRemaining,ImplementationEvidence,VerificationEvidence,VerificationClass,ValidationEvidence,SourceReliability,LifecycleState,Disposition,Confidence,CauseTag,AuthorityTier,BaselineClass,DivergenceLayers,ContextRefs,RemainingWork,AuthorityNeeded,SelectableUnderCurrentLoop,Notes,SourceStateSHA
DEL-17-05:SOW#CLM-006.s01,DEL-17-05,SUBCLAIM,REQUIREMENT,INTEROP,"External run harness shall be opt-in, disabled without user configuration, and bounded to a user-provided executable path.",SOW#L91,PKG-17 exclusions,future rule,,projects/chirality-piping/core/handoff/caepipe_external/run.py#L347-385;projects/chirality-piping/core/handoff/caepipe_external/run.py#L45-59,projects/chirality-piping/tests/test_caepipe_external_run_package.py::test_attempted_external_run_requires_del_17_04_binding_and_user_acknowledgement,UNIT,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,ALIGNED,MEDIUM,,,,NONE,"GATE_EVIDENCE/B4_4_SWEEP_9D55 (python_pytest PASS, desktop PASS); GATE_EVIDENCE/PR834_CI (8 checks success)",,NO,NOT_APPLICABLE,"No code invokes any process, so the harness is disabled by construction. Attempted-run records without a present path or acknowledgements get blocking diagnostics.",00115c71931bcae79909602d653740d3bb72dfa1
DEL-17-05:SOW#CLM-006.s02,DEL-17-05,SUBCLAIM,REQUIREMENT,INTEROP,"Run directory records MBF input, manifest/ID-map/loss-report evidence, target CSV, execution metadata, stdout/stderr and parser diagnostics.",SOW#L92,local design,future rule,,projects/chirality-piping/core/handoff/caepipe_external/run.py#L454-485;projects/chirality-piping/core/handoff/caepipe_external/run.py#L510-519;projects/chirality-piping/schemas/caepipe_external_run.schema.json,projects/chirality-piping/tests/test_caepipe_external_run_package.py::test_writer_outputs_run_metadata_and_sidecars,UNIT,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,PARTIALLY_IMPLEMENTED,HIGH,PARTIAL_SLICE,LOCAL_DESIGN,NONE,CLAIMS,,"Add manifest, ID-map and loss-report references to the run-directory record, or narrow the text.",OWNER,NOT_APPLICABLE,"Writer emits run_metadata/parsed_csv/diagnostics/checksums JSON; run_directory has MBF and CSV paths. No explicit manifest, ID-map or loss-report refs beyond mbf_package_ref; schema forbids extra fields.",00115c71931bcae79909602d653740d3bb72dfa1
DEL-17-05:SOW#CLM-006.s03,DEL-17-05,SUBCLAIM,REQUIREMENT,INTEROP,"CSV parser parses only documented or fixture-confirmed sections and reports unrecognized, missing or unstable sections.",SOW#L93,local design,future rule,,projects/chirality-piping/core/handoff/caepipe_external/run.py#L206-298,projects/chirality-piping/tests/test_caepipe_external_run_package.py::test_parser_records_unknown_sections_and_unmapped_rows_as_warnings,UNIT,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,PARTIALLY_IMPLEMENTED,HIGH,PARTIAL_SLICE,LOCAL_DESIGN,NONE,CLAIMS,,"Add missing-section and column-conformance diagnostics, or narrow the text.",OWNER,NOT_APPLICABLE,Unknown sections and no-row input are diagnosed. Missing expected sections are not reported; expected_columns in the coverage register are not enforced; unknown-section rows still enter the rows list with a warning.,00115c71931bcae79909602d653740d3bb72dfa1
DEL-17-05:SOW#CLM-006.s04,DEL-17-05,SUBCLAIM,REQUIREMENT,INTEROP,"Run metadata records executable path provenance, target version/profile if discoverable, command shape, timestamps or hashes, exit status, output discovery, parser status, boundary notes.",SOW#L94,local design,future rule,,projects/chirality-piping/core/handoff/caepipe_external/run.py#L488-531;projects/chirality-piping/core/handoff/caepipe_external/run.py#L588-619;projects/chirality-piping/schemas/caepipe_external_run.schema.json,projects/chirality-piping/tests/test_caepipe_external_run_package.py::test_skipped_without_executable_is_nonblocking_and_deterministic,UNIT,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,PARTIALLY_IMPLEMENTED,HIGH,PARTIAL_SLICE,LOCAL_DESIGN,NONE,CLAIMS,,Decide whether a target version/profile field belongs in the record.,OWNER,NOT_APPLICABLE,"path_record, command_shape, exit_status, output_discovery_status, parser_status, boundary_notes and SHA-256 checksums present. No target version/profile field and no timestamps (hashes satisfy the 'or').",00115c71931bcae79909602d653740d3bb72dfa1
DEL-17-05:SOW#CLM-006.s05,DEL-17-05,SUBCLAIM,REQUIREMENT,GOVERNANCE,"Evidence records are classified as regression/handoff evidence, not formal validation or professional approval.",SOW#L95,F-PIP-2; DEC-081,future rule,,projects/chirality-piping/core/handoff/caepipe_external/run.py#L45-59;projects/chirality-piping/core/handoff/caepipe_external/run.py#L71-76;projects/chirality-piping/core/handoff/caepipe_external/run.py#L412-435,projects/chirality-piping/tests/test_caepipe_external_run_package.py::test_privacy_and_authority_boundary_diagnostics_are_blocking,UNIT,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,ALIGNED,HIGH,,,,NONE,"GATE_EVIDENCE/B4_4_SWEEP_9D55 (python_pytest PASS, desktop PASS); GATE_EVIDENCE/PR834_CI (8 checks success)",,NO,NOT_APPLICABLE,,00115c71931bcae79909602d653740d3bb72dfa1
DEL-17-05:SOW#CLM-006.s06,DEL-17-05,SUBCLAIM,REQUIREMENT,SECURITY,Public fixtures are invented or rights-cleared; user CAEPIPE outputs only under private handling unless redistribution rights are documented.,SOW#L96,docs/IP_AND_DATA_BOUNDARY.md; DEC-074 PDU-016,future rule,,projects/chirality-piping/fixtures/caepipe_external/invented/caepipe_results.csv;projects/chirality-piping/fixtures/caepipe_external/invented/skipped_run_package.json;projects/chirality-piping/fixtures/caepipe_external/invented/parser_only_run_package.json;projects/chirality-piping/core/handoff/caepipe_external/run.py#L61-69;projects/chirality-piping/core/handoff/caepipe_external/run.py#L622-657,projects/chirality-piping/tests/test_caepipe_external_run_package.py::test_fixtures_contain_no_private_or_protected_payload_text;projects/chirality-piping/tests/test_caepipe_external_run_package.py::test_private_defaults_reject_unsafe_caller_overrides_without_reclassification,UNIT,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,ALIGNED,HIGH,,,,NONE,"GATE_EVIDENCE/B4_4_SWEEP_9D55 (python_pytest PASS, desktop PASS); GATE_EVIDENCE/PR834_CI (8 checks success)",,NO,NOT_APPLICABLE,,00115c71931bcae79909602d653740d3bb72dfa1
DEL-17-05:SOW#CLM-007,DEL-17-05,BLOCK,CONTAINER,DOCUMENTATION,"References table: sibling deliverables (itemized), a strategic plan, public CAEPIPE pages, CONTRACT and IP boundary (worker sub-claims).",SOW#L99-115,,,,NOT_APPLICABLE,NOT_APPLICABLE,NONE,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,COVERED_BY_CHILDREN,HIGH,,,,NONE,,,NO,NOT_APPLICABLE,Only the three DEL rows are issued items; the remaining rows are covered by worker-added .s01-.s03.,00115c71931bcae79909602d653740d3bb72dfa1
DEL-17-05:SOW#CLM-007/DEL-17-01,DEL-17-05,ITEM,CONTEXT,DOCUMENTATION,"DEL-17-01 is the source authority for CAEPIPE questions, TBD register and boundary facts.",SOW#L105,,,,projects/chirality-piping/execution/PKG-17_Export Format Interoperability/1_Working/DEL-17-01_CAEPIPE and export-format source basis/Source_Basis_Register.md;projects/chirality-piping/execution/PKG-17_Export Format Interoperability/1_Working/DEL-17-01_CAEPIPE and export-format source basis/CAEPIPE_Question_Dossier.md,NOT_APPLICABLE,NONE,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,ALIGNED,HIGH,,,,NONE,,,NO,NOT_APPLICABLE,,00115c71931bcae79909602d653740d3bb72dfa1
DEL-17-05:SOW#CLM-007/DEL-17-02,DEL-17-05,ITEM,CONTEXT,DOCUMENTATION,"DEL-17-02 supplies export manifest, stable-ID map, loss report, profile and external-execution policy.",SOW#L106,,,,"projects/chirality-piping/execution/PKG-17_Export Format Interoperability/1_Working/DEL-17-02_Export package, profile, and stable ID map contracts/ScopeOfWork.md",NOT_APPLICABLE,NONE,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,ALIGNED,HIGH,,,,NONE,,,NO,NOT_APPLICABLE,,00115c71931bcae79909602d653740d3bb72dfa1
DEL-17-05:SOW#CLM-007/DEL-17-04,DEL-17-05,ITEM,CONTEXT,DOCUMENTATION,DEL-17-04 is the upstream MBF profile/writer contract with unresolved target-profile gates.,SOW#L107,,,,projects/chirality-piping/execution/PKG-17_Export Format Interoperability/1_Working/DEL-17-04_CAEPIPE MBF export profile and deterministic writer/ScopeOfWork.md;projects/chirality-piping/execution/_DAG/DAG-010/DeliverableNodes.csv,NOT_APPLICABLE,NONE,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,ALIGNED,HIGH,,,,NONE,,,NO,NOT_APPLICABLE,DAG-010 carries DEL-17-05 consuming DEL-17-04.,00115c71931bcae79909602d653740d3bb72dfa1
DEL-17-05:SOW#CLM-007.s01,DEL-17-05,SUBCLAIM,CONTEXT,DOCUMENTATION,PLAN-EXPORT-INTEROP at plans/EXPORT_FORMAT_INTEROPERABILITY_PLAN.md is the strategic source for the harness and run-directory concept.,SOW#L108,,reference,,NONE_FOUND,NOT_APPLICABLE,NONE,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,STALE_REVIEW_OR_EVIDENCE,HIGH,EVIDENCE_OVERTAKEN,LOCAL_DESIGN,NONE,CLAIMS,"commit 349a2ab33 (2026-06-03, retire DEV-001 and archive legacy coordination files) deleted the plan",Repoint to an archived copy or drop the reference.,OWNER,NOT_APPLICABLE,Path absent at the freeze; also cited in _REFERENCES.md.,00115c71931bcae79909602d653740d3bb72dfa1
DEL-17-05:SOW#CLM-007.s02,DEL-17-05,SUBCLAIM,CONTEXT,DOCUMENTATION,"Public CAEPIPE manual pages (import MBF, export data, batch mode, export MBF) are the public evidence basis.",SOW#L109-112,DEL-17-01 source basis,reference,,projects/chirality-piping/execution/PKG-17_Export Format Interoperability/1_Working/DEL-17-01_CAEPIPE and export-format source basis/Source_Basis_Register.md,NOT_APPLICABLE,NONE,NOT_APPLICABLE,UNVERIFIED,IN_PROGRESS,UNKNOWN,LOW,AUTHORITY_UNCLEAR,LOCAL_DESIGN,NONE,CLAIMS,,Check whether DEL-17-01 Source_Basis_Register records retrieval dates and hashes for these four URLs; no network fetch was permitted.,NO,NOT_APPLICABLE,External URLs cannot be checked against the frozen tree.,00115c71931bcae79909602d653740d3bb72dfa1
DEL-17-05:SOW#CLM-007.s03,DEL-17-05,SUBCLAIM,CONTEXT,GOVERNANCE,"docs/CONTRACT.md and docs/IP_AND_DATA_BOUNDARY.md govern invariants, IP and data boundaries.",SOW#L113-114,,,,projects/chirality-piping/docs/CONTRACT.md;projects/chirality-piping/docs/IP_AND_DATA_BOUNDARY.md,NOT_APPLICABLE,NONE,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,ALIGNED,HIGH,,,,NONE,,,NO,NOT_APPLICABLE,,00115c71931bcae79909602d653740d3bb72dfa1
DEL-17-05:SOW#CLM-008,DEL-17-05,BLOCK,DECLARED_STATE,SECURITY,"PDU-016 evidence state: CAEPIPE run/parser evidence defaults to private user-controlled, local-only, telemetry off; whole-product security excluded.",SOW#L116-121,DEC-074 (D-41) R5 T3 PDU-016,declared,,projects/chirality-piping/core/handoff/caepipe_external/run.py#L61-69,projects/chirality-piping/tests/test_caepipe_external_run_package.py::test_user_csv_privacy_cannot_be_bypassed_by_partial_override;projects/chirality-piping/tests/test_caepipe_external_run_package.py::test_private_defaults_reject_unsafe_caller_overrides_without_reclassification,UNIT,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,ALIGNED,HIGH,,,,NONE,"projects/chirality-piping/execution/PKG-17_Export Format Interoperability/1_Working/DEL-17-05_CAEPIPE external run harness and CSV parser/_run_records/WORKING_ITEMS_RUN_2026-07-12_D41-R5-T3-PDU016.md; GATE_EVIDENCE/B4_4_SWEEP_9D55 (python_pytest PASS, desktop PASS); GATE_EVIDENCE/PR834_CI (8 checks success)",,NO,NOT_APPLICABLE,,00115c71931bcae79909602d653740d3bb72dfa1
DEL-17-05:SOW#completion-and-reliance-basis-epistemology,DEL-17-05,BLOCK,NON_NORMATIVE,DOCUMENTATION,Section heading spanning CLM-009 to CLM-019.,SOW#L122-279,,,,NOT_APPLICABLE,NOT_APPLICABLE,NONE,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,NOT_ASSESSED,HIGH,,,,NONE,,,NO,NOT_APPLICABLE,,00115c71931bcae79909602d653740d3bb72dfa1
DEL-17-05:SOW#CLM-009,DEL-17-05,BLOCK,NON_NORMATIVE,DOCUMENTATION,Specification heading with PDU-055 currency marker.,SOW#L124-129,,,,NOT_APPLICABLE,NOT_APPLICABLE,NONE,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,NOT_ASSESSED,HIGH,,,,NONE,,,NO,NOT_APPLICABLE,The output matrix cites CLM-009 as the requirement ref although it holds no requirement.,00115c71931bcae79909602d653740d3bb72dfa1
DEL-17-05:SOW#CLM-010,DEL-17-05,BLOCK,DECLARED_STATE,GOVERNANCE,"PDU-055 currency declaration (Specification), citing DECL-001, EXC-001, EXC-002.",SOW#L130-140,DEC-074 (D-41) R5 T7 PDU-055,declared current 2026-07-12,,projects/chirality-piping/execution/_Decomposition/SOFTWARE_DECOMP.md;projects/chirality-piping/execution/_DAG/_LATEST.md,NOT_APPLICABLE,NONE,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,STALE_REVIEW_OR_EVIDENCE,HIGH,EVIDENCE_OVERTAKEN,PROJECT_BASELINE,NONE,CLAIMS,projects/chirality-piping/execution/PKG-17_Export Format Interoperability/1_Working/DEL-17-05_CAEPIPE external run harness and CSV parser/_run_records/WORKING_ITEMS_RUN_2026-07-12_D41-R5-T7-PDU055-CURRENTNESS.md,Same as CLM-002.,OWNER,NOT_APPLICABLE,"Declaration names SOFTWARE_DECOMP rev 0.8 and DAG-007 as current authority; at the freeze the decomposition is rev 0.12 and _DAG/_LATEST names DAG-010. It also points residuals to _STATUS Remaining, which A4 treats as non-authority. The 'implemented slice supersedes setup wording' clause is a blanket override that leaves stale text in place.",00115c71931bcae79909602d653740d3bb72dfa1
DEL-17-05:SOW#CLM-011,DEL-17-05,BLOCK,EXCLUSION,GOVERNANCE,"Scope: Phase A contract only; shall not implement code, schemas, parser logic, fixtures, GUI workflow, APIs, discovery, bundling, license bypass, or compatibility/validation claims.",SOW#L141-158,SOFTWARE_DECOMP DEL-17-05 entry,Phase A exclusion,,projects/chirality-piping/core/handoff/caepipe_external/run.py;projects/chirality-piping/schemas/caepipe_external_run.schema.json;projects/chirality-piping/fixtures/caepipe_external/invented/caepipe_results.csv;projects/chirality-piping/apps/desktop/src/features/caepipe-external/CaepipeExternalHarnessPanel.tsx,projects/chirality-piping/tests/test_caepipe_external_run_package.py;projects/chirality-piping/apps/desktop/src/App.test.tsx;projects/chirality-piping/apps/desktop/e2e/r2-smoke.spec.ts,UNIT,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,STALE_SETUP_SPECIFICATION,HIGH,DOC_BEHIND_CODE,LOCAL_DESIGN,NONE,CLAIMS,PR #235; PR #800; projects/chirality-piping/execution/PKG-17_Export Format Interoperability/1_Working/DEL-17-05_CAEPIPE external run harness and CSV parser/_run_records/TASK_RUN_2026-05-24_DEL-17-05_caepipe-external-run-foundation.md; projects/chirality-piping/execution/PKG-17_Export Format Interoperability/1_Working/DEL-17-05_CAEPIPE external run harness and CSV parser/_run_records/WORKING_ITEMS_RUN_2026-06-17_TP-UNITS-BTAIL-CAEPIPEEXTERNALUNITWITNESS-001.md,"Split the still-valid exclusions (bundling, discovery, license bypass, claims) from the overtaken Phase A no-code exclusions.",OWNER,NOT_APPLICABLE,"Code, schema, parser, fixtures and a desktop GUI preview panel ('External prover run') now exist. The bundling, discovery, bypass and claim exclusions still hold in code.",00115c71931bcae79909602d653740d3bb72dfa1
DEL-17-05:SOW#CLM-012,DEL-17-05,BLOCK,CONTAINER,INTEROP,Requirements table DEL-17-05-REQ-001 to REQ-016.,SOW#L159-182,,,,NOT_APPLICABLE,NOT_APPLICABLE,NONE,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,COVERED_BY_CHILDREN,HIGH,,,,NONE,,,NO,NOT_APPLICABLE,,00115c71931bcae79909602d653740d3bb72dfa1
DEL-17-05:SOW#CLM-012/DEL-17-05-REQ-001,DEL-17-05,ITEM,REQUIREMENT,INTEROP,Harness optional and disabled unless the user supplies a local executable path and accepts license and environment responsibility.,SOW#L165,PKG-17 exclusions,requirement,,projects/chirality-piping/core/handoff/caepipe_external/run.py#L347-385;projects/chirality-piping/core/handoff/caepipe_external/run.py#L102-150,projects/chirality-piping/tests/test_caepipe_external_run_package.py::test_attempted_external_run_requires_del_17_04_binding_and_user_acknowledgement;projects/chirality-piping/tests/test_caepipe_external_run_package.py::test_skipped_without_executable_is_nonblocking_and_deterministic,UNIT,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,ALIGNED,MEDIUM,,,,NONE,"GATE_EVIDENCE/B4_4_SWEEP_9D55 (python_pytest PASS, desktop PASS); GATE_EVIDENCE/PR834_CI (8 checks success)",,NO,NOT_APPLICABLE,"Met by construction: no invocation code exists. Responsibility state is a caller-asserted boolean, not a captured user acknowledgement.",00115c71931bcae79909602d653740d3bb72dfa1
DEL-17-05:SOW#CLM-012/DEL-17-05-REQ-002,DEL-17-05,ITEM,EXCLUSION,SECURITY,"Project shall not bundle, download, install, redistribute, license-bypass or imply availability of CAEPIPE.",SOW#L166,PKG-17 exclusions; F-PIP-1,requirement,,projects/chirality-piping/core/handoff/caepipe_external/run.py#L45-59;projects/chirality-piping/fixtures/caepipe_external/invented/caepipe_results.csv,projects/chirality-piping/tests/test_caepipe_external_run_package.py::test_fixtures_contain_no_private_or_protected_payload_text,UNIT,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,ALIGNED,HIGH,,,,NONE,"GATE_EVIDENCE/B4_4_SWEEP_9D55 (python_pytest PASS, desktop PASS); GATE_EVIDENCE/PR834_CI (8 checks success)",,NO,NOT_APPLICABLE,"No binary or installer found under the core, fixtures or desktop feature paths. Desktop panel summary text starts with 'available;' referring to the panel, not the tool.",00115c71931bcae79909602d653740d3bb72dfa1
