ItemID,Route,Subject,Classes,Rows,Deliverables,Question,Evidence,BlockedOnPacket
ER-17,REVIEW_BEFORE_R5,Setup-era TBDs and future-tense text answered by implementation,T5A-C02,207,52 deliverables (reproduce via filter in ENGINEERING_AND_REVIEW.md),"Confirm that each restated TBD names the implemented construct and its code anchor, keeps still-open engineering values TBD, and records ""settled in practice"" where no ruling exists.",R3/TASKS/T5A_CLASSES.md T5A-C02; T8_ROUTE_DISAGREEMENTS DEL-17-08:SOW#CLM-007/X-002 (EXPORT_PLAN),A7 (partial)
ER-18,REVIEW_BEFORE_R5,Post-migration declarations overtaken,T5A-C03,94,25 deliverables (reproduce via filter in ENGINEERING_AND_REVIEW.md),"Confirm that each restated boundary, evidence state or prerequisite status matches the frozen implementation and that FindingGroup owner parts keep their own routes.",R3/TASKS/T5A_CLASSES.md T5A-C03,-
ER-19,REVIEW_BEFORE_R5,Model-operation records omit the ruled runtime seam,T5A-C04,19,DEL-16-02;DEL-16-03,"Confirm that the DEL-16-02/16-03 SOW revisions name the operation-applier seam (DEC-020, SCA-003) without choosing an engine the owner has yet to choose.",R3/TASKS/T5A_CLASSES.md T5A-C04; freeze core/model_operations/operation_applier/src/lib.rs,A1;C1 (partial)
ER-20,REVIEW_BEFORE_R5,Stale Remaining items,T5A-C07,6,DEL-07-01;DEL-07-02;DEL-07-05;DEL-08-06;DEL-09-04;DEL-12-01,"Confirm each restated Remaining item; for DEL-12-01 R01, choose which store tests satisfy LFSP-REQ-011.",R3/TASKS/T5A_CLASSES.md T5A-C07; T9_LIFECYCLE.csv T9-C02 DEL-12-01:STATUS#remaining/R01 and REMAINING_CENSUS DEL-12-01; freeze apps/desktop/src/features/results/ResultsPanel.tsx:114,-
ER-21,REVIEW_BEFORE_CODE_FIX,Protected-subject implementation remainder,T6-C03,34,18 deliverables (reproduce via filter in ENGINEERING_AND_REVIEW.md),"Set the independent review each protected-subject code-fix brief must pass (IP/data, security, claims, unit validation, no-bypass), with the focused negative tests named per row.",R3/TASKS/T6_CLASSES.md T6-C03; freeze core/reporting/protected_content_linter/src/lib.rs:294,B7 (partial);B10 (partial);C4 (partial)
ER-22,REVIEW_BEFORE_CODE_FIX,Code/test fix candidates (no ruling needed),T7-C06,42,DEL-02-04;DEL-04-04;DEL-07-08;DEL-08-05;DEL-10-04;DEL-13-01;DEL-13-02;DEL-15-02;DEL-17-02;DEL-17-03;DEL-17-04;DEL-17-07,"Set the independent review each of the about ten code/test briefs must pass before reliance, and settle the two brief-time choices (DEL-17-02/03 token side; DEL-13-02 after the unit-vocabulary reading).",R3/TASKS/T7_CLASSES.md T7-C06; T8 UNIT_VOCABULARY rows; T12_UNREACHED.csv DEL-13-01:SOW#CLM-005.r05 (REVIEW); freeze core/handoff/target_mapping/contract.py:239,C7 (partial);B7 (partial);C2 (partial);B9 (partial)
ER-23,REVIEW,F1 edge row: DEL-05-02 CONTEXT guidance row,(not divergent),1,DEL-05-02,"Is the deferred rule-pack supply gap an element of DEL-05-02:SOW#CLM-021's own subject (then F1 applies), once the owner confirms that F1 reaches CONTEXT rows?",R3/TASKS/T8_CLUSTERS.md T8-K4; T8_ROWS.csv DEL-05-02:SOW#CLM-021; T8_ROUTE_DISAGREEMENTS (REVIEW vs NOT_DIVERGENT),C7
ER-24,REVIEW,DEL-13-02 Remaining R01: human disposition against the current enum,(T4B-C07 row; T9 view),2,DEL-13-02,"Record the human disposition of finding PKG13-DEL-13-02-PKG02-001 read against the constraint enum at the freeze, then restate the Remaining item.","T9_LIFECYCLE.csv T9-C04 and REMAINING_CENSUS DEL-13-02; CLASS_ASSIGNMENTS DEL-13-02:STATUS#remaining/R01 (T4B-C07, R5_RECORD_REPAIR, NONE); CORPUS_CLAIMS AuthorityNeeded REVIEW",C7;B9
ER-25,REVIEW,DEL-01-03 census: UNKNOWN R02 (T9 REVIEW view vs class OWNER),(T7-C04 row; T9 view),1,DEL-01-03,Run the smallest next check on DEL-01-03 R02 (AUTHORITY_UNCLEAR) once the A8 owner item settles whether authority is silent or in conflict.,"T9_LIFECYCLE.csv REMAINING_CENSUS DEL-01-03; CLASS_ASSIGNMENTS DEL-01-03:STATUS#remaining/R02 (T7-C04, OWNER_DECISION)",A8
ER-26,REVIEW,DAG-010 edge evidence files absent at the freeze (D-03),-,1,75 of 94 deliverables with outgoing edges (T11 D-03),Should the EvidenceFile/SourceRef column of the 651 affected active edges be re-pointed at the next DAG refresh? Sequencing is unaffected.,T11_METHOD.csv D-03; execution/_DAG/DAG-010/DependencyEdges.csv,-
ER-27,REVIEW,DEL-07-09 has no architecture-basis edge to PKG-00 (D-04),-,1,DEL-07-09;DEL-00-01..DEL-00-08,Is the omission intended (then DEL-07-09 _DEPENDENCIES.md:14 is wrong) or is an architecture-basis edge missing?,T11_METHOD.csv D-04; freeze DEL-07-09 _DEPENDENCIES.md:14 and Dependencies.csv (7 rows); DAG-010/DAG_Audit.md,-
ER-28,REVIEW,Ownership redirects with no DAG-010 edge (D-05),-,1,DEL-02-04;DEL-05-02;DEL-06-03;DEL-06-04;DEL-07-01;DEL-07-03;DEL-07-04;DEL-07-09;DEL-09-04;DEL-12-04;DEL-16-01,"For each of the 6 deliverable pairs, is the ownership redirect also a sequencing dependency to add at the next DAG refresh?",T11_METHOD.csv D-05; CORPUS_CLAIMS CauseTag=OWNERSHIP_ELSEWHERE; DAG-010/DependencyEdges.csv,C7 (partial);B3 (partial)
ER-29,REVIEW,MBF pass-through citation implies an absent implementation (R-04),-,1,DEL-17-01;DEL-17-04,Should DEL-17-01 REQ-013 keep citing core/handoff/caepipe_mbf/package.py as ImplementationEvidence when DEL-17-04 records the option as not started?,"T11_METHOD.csv R-04; keys DEL-17-01:SOW#CLM-012/DEL-17-01-REQ-013, DEL-17-04:SOW#CLM-005.r10",-
ER-30,REVIEW,SR-1 sub-claim cause split across 81 deliverables (S-01),-,1,81 deliverables carrying SR sub-claims (T11 S-01),Apply one cause to the 81 SR sub-claims (42 RECORD_DRIFT vs 39 SCOPE_REDIRECTED_BY_RULING) once the SR-1 cause reading is confirmed.,T11_METHOD.csv S-01; T8_CLUSTERS.md T8-K1,C7;A5
ER-31,ENGINEERING_AUTHORITY,"Diagnostic field preservation across boundaries (SS-01, AB-00-06 REQ-06-01/02)",-,7,16 deliverables (filter stated in ENGINEERING_AND_REVIEW.md ER-31),"Must the runner solve-to-export binding and the desktop export writer carry every diagnostic field except class (a code-fix candidate), or are the mappings accepted and REQ-06-02 refined (record repair)?","T11_METHOD.csv SS-01, R-03, CAP-COREB-029, CAP-DATA-013, CAP-DATA-016, CAP-DATA-023, CAP-WSUI-032; freeze core/runner/headless/src/result_envelope_binding.rs:159-182",C1
ER-32,ENGINEERING_AUTHORITY,DEL-03-08 Python section calculator duplicated by the product Rust port,T12-C06 (52 of 94),52,DEL-03-08,Keep calculate_pipe_section_properties as a named parity or validation oracle (with a parity check against derive_pipe_section) or retire it?,T12_UNREACHED.md T12-C06; freeze core/section_properties/calculator.py:63; core/product_physics/src/lib.rs:6321,A1
ER-33,ENGINEERING_AUTHORITY,DEL-05-05 user_loads crate with only a benchmark caller,T12-C06 (38 of 94),38,DEL-05-05,"Keep open_pipe_stress_user_loads as a named parity or validation oracle, or retire it; and how should its 4 CONTESTED rows be read?",T12_UNREACHED.md T12-C06; freeze validation/benchmarks/mechanics/Cargo.toml:19,C6 (partial)
ER-34,ENGINEERING_AUTHORITY,DEL-03-07 Python provenance checker duplicated by a Rust port,T12-C06 (3 of 94),3,DEL-03-07,"Keep the Python provenance checker as a named parity oracle for the Rust port the product calls, or retire it?",T12_UNREACHED.md T12-C06; freeze core/library_import/provenance_checker.py,A1
ER-35,REVIEW,Four T1 routing-gap capabilities routed REVIEW (reverse pass by the proposed owner),(no class; T1 capabilities),4,DEL-02-04;DEL-02-05;DEL-03-06;DEL-12-01,"Does the proposed owner deliverable, in a reverse pass, accept each capability as within its scope (CAP-COREC-053 to DEL-02-04; CAP-FEATB-029 to DEL-02-05; CAP-FEATB-030 to DEL-02-05, alternative DEL-12-01; CAP-PHYS-021 to DEL-03-06), before the H1 assignment and an R5 record repair? Rows counts capabilities, not claim rows.","R3/TASKS/T1_UNMAPPED.csv rows CAP-COREC-053, CAP-FEATB-029, CAP-FEATB-030, CAP-PHYS-021; R3/TASKS/T1_NOTES.md (ROUTING_GAP list; PKG-02 and PKG-03 routing omissions); H1 items H1-110, H1-116, H1-117, H1-017",B1 (partial)
#END,,,,,,,,35
