CandidateTerm,Synonyms,Definition,SourceRefs,Notes
External Prover Record,external prover comments; external validation record,Human-supplied or tool-supplied evidence from an external professional validation workflow.,@repo/agents/AGENT_DOMAIN_ENGINE.md:L128|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0007;@repo/agents/AGENT_DOMAIN_ENGINE.md:L320|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0020,
Boundary Notice,professional boundary language; boundary-language,"Required language preventing false claims of professional approval, code compliance, certification, sealing, or external validation.",@repo/agents/AGENT_DOMAIN_ENGINE.md:L129|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0007;@repo/agents/AGENT_DOMAIN_ENGINE.md:L224|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0015;@repo/agents/AGENT_DOMAIN_ENGINE.md:L402|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0025,
MANUAL_BRIDGE,manual bridge mode,User manually exports domain summaries or manifests; Chirality agents read and organize them.,@repo/agents/AGENT_DOMAIN_ENGINE.md:L168|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0012,Integration level 0.
READ_ONLY,read-only domain review,"Chirality invokes read-only deterministic tools such as validate, summarize, or list states and runs.",@repo/agents/AGENT_DOMAIN_ENGINE.md:L169|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0012;@repo/agents/AGENT_DOMAIN_ENGINE.md:L606|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0038,Integration level 1.
DOMAIN_CONTROLLED_WRITE,domain-controlled write,"Chirality requests domain-generated outputs such as runs, comparisons, report fragments, or handoff manifests.",@repo/agents/AGENT_DOMAIN_ENGINE.md:L170|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0012,Integration level 2.
OPERATION_PROPOSAL,proposal workflow,Agents write structured proposals; the domain engine validates or previews them; the human accepts or rejects them.,@repo/agents/AGENT_DOMAIN_ENGINE.md:L171|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0012,Integration level 3.
EXTERNAL_RESULT_STATE,external result state,Future support for structured external-result records compared by the domain engine.,@repo/agents/AGENT_DOMAIN_ENGINE.md:L172|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0012,Integration level 4; future only unless separately scoped.
TBD,unknowns; missing prerequisites,Marker used when missing or ambiguous information must be recorded rather than guessed.,@repo/agents/AGENT_DOMAIN_ENGINE.md:L92|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0005;@repo/agents/AGENT_DOMAIN_ENGINE.md:L198|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0014;@repo/agents/AGENT_DOMAIN_ENGINE.md:L732|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0046,
AllowedWriteTargets,allowed writes,Explicit write targets used to restrict TASK or agent writes.,@repo/agents/AGENT_DOMAIN_ENGINE.md:L294|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0018;@repo/agents/AGENT_DOMAIN_ENGINE.md:L509|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0032;@repo/agents/AGENT_DOMAIN_ENGINE.md:L735|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0046,
ScopePath,approved scope; approved folder,Scope path that bounds where a dispatched TASK may write when paired with AllowedWriteTargets.,@repo/agents/AGENT_DOMAIN_ENGINE.md:L509|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0032;@repo/agents/AGENT_DOMAIN_ENGINE.md:L726|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0046;@repo/agents/AGENT_DOMAIN_ENGINE.md:L758|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0047,
Handoff State,handoff state; Handoff_State.md,"Closure state containing run status, profile state, artifacts read, tools invoked, approvals, blockers, rerun requirements, and next owner.",@repo/agents/AGENT_DOMAIN_ENGINE.md:L331|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0021;@repo/agents/AGENT_DOMAIN_ENGINE.md:L822|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0050,
Domain Integration Record,integration record,"Record containing profile, integration level, artifacts, tools, human gates, boundary notices, and open issues.",@repo/agents/AGENT_DOMAIN_ENGINE.md:L649|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0043,
Snapshot Contract,snapshot folders; immutable snapshot,"Contract requiring new immutable folders for project-level run, scan, tool-run, boundary review, proposal, or handoff records unless the profile is stricter.",@repo/agents/AGENT_DOMAIN_ENGINE.md:L554|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0034;@repo/agents/AGENT_DOMAIN_ENGINE.md:L556|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0034,
_LATEST.md,latest pointer,Pointer file that may be updated only to point to the latest accepted snapshot or state record.,@repo/agents/AGENT_DOMAIN_ENGINE.md:L549|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0033;@repo/agents/AGENT_DOMAIN_ENGINE.md:L570|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0034,
TOOLMAKER requirement brief,TOOLMAKER_REQUIREMENT,Brief shape DOMAIN_ENGINE uses when identifying deterministic tool needs.,@repo/agents/AGENT_DOMAIN_ENGINE.md:L784|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0048;@repo/agents/AGENT_DOMAIN_ENGINE.md:L787|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0048,
SKILLMAKER candidate brief,SKILLMAKER_CANDIDATE,Brief shape DOMAIN_ENGINE uses when identifying recurring bounded method needs.,@repo/agents/AGENT_DOMAIN_ENGINE.md:L802|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0049;@repo/agents/AGENT_DOMAIN_ENGINE.md:L805|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0049,
profile status,ProfileStatus,"Status value for a profile such as NONE, DRAFT, VALIDATED, ADOPTED, STALE, UNKNOWN, or INVALID depending on context.",@repo/agents/AGENT_DOMAIN_ENGINE.md:L197|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0014;@repo/agents/AGENT_DOMAIN_ENGINE.md:L657|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0043;@repo/agents/AGENT_DOMAIN_ENGINE.md:L830|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0050,UNKNOWN appears in intake classification; INVALID appears in integration records.
professional reliance,professional acceptance,"Decision area owned by the human professional or responsible reviewer, not DOMAIN_ENGINE.",@repo/agents/AGENT_DOMAIN_ENGINE.md:L103|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0006;@repo/agents/AGENT_DOMAIN_ENGINE.md:L467|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0030,
OpenPipeStress,OpenPipeStress profile,"First expected profile and example binding, not the generic ontology.",@repo/agents/AGENT_DOMAIN_ENGINE.md:L19|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0001;@repo/agents/AGENT_DOMAIN_ENGINE.md:L93|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0005;@repo/agents/AGENT_DOMAIN_ENGINE.md:L711|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0045,Example only.
project-truth model,filesystem project-truth model,Requirement that outputs affecting project reasoning exist as project files rather than only in chat.,@repo/agents/AGENT_DOMAIN_ENGINE.md:L90|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0005;@repo/agents/AGENT_DOMAIN_ENGINE.md:L453|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0028,
