CandidateTerm,Synonyms,Definition,SourceRefs,Notes
Terminology consistency,terminology discipline,Verification that terms defined in TYPES.md are used consistently.,@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L52|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0005;@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L189|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0016;@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L551|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0074,
Agent inventory consistency,agent inventory coherence,Verification that agent inventory is synchronized across tracking locations.,@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L53|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0005;@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L207|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0017;@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L552|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0074,
Document hierarchy coherence,,"Verification of structural relationships between governance documents, principles, invariants, enforcement points, and schemas.",@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L54|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0005;@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L229|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0018;@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L553|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0074,
K-WRITE-1,,"Write only to _Reconciliation/GovernanceAudit/ and do not modify governance documents, agent instruction files, or other files outside the write zone.",@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L69|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0007,
K-SNAP-1,,Each run writes a new immutable snapshot folder; _LATEST.md is the only mutable file.,@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L70|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0007,
K-INVENT-1,,"Unknown values become TBD, not guessed; unresolvable cross-references are reported instead of inferred.",@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L71|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0007,
K-CONFLICT-1,,Conflicts between documents are surfaced with pointers to both sides and not silently resolved.,@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L72|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0007,
K-PROV-1,,"Every finding must cite file, section, and a relevant excerpt of no more than 25 words.",@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L73|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0007,
K-GHOST-1,,Context is limited to files enumerated in the brief plus declared governance documents.,@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L74|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0007,
Evidence-first,,"Every issue in the issue log must include file path, section reference, and a concrete excerpt.",@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L75|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0007,
No silent resolution,,Document disagreements report both values with locations; the agent does not pick a winner.,@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L76|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0007,
Immutable snapshots,,Each run writes a new snapshot folder and never overwrites prior snapshots.,@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L77|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0007,
Pointer-only overwrite,,_LATEST.md may be overwritten as a pointer while snapshots remain immutable.,@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L78|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0007,
Epistemic labels,FACT;ASSUMPTION;PROPOSAL,Certainty labels for findings.,@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L79|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0007,
FACT,,Directly observed mismatch.,@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L79|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0007,
ASSUMPTION,,Likely mismatch requiring human confirmation.,@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L79|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0007,
PROPOSAL,,"Suggested improvement, not a defect.",@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L79|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0007,
GOVERNANCE_DOCS,,Required list of governance document paths to audit.,@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L90|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0009;@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L102|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0010,
EXECUTION_ROOT,,"Required path to the execution root, defaulting to execution/.",@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L89|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0009;@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L111|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0012,
AGENT_DIR,,"Path to agent instruction files directory, defaulting to agents/.",@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L96|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0010;@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L113|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0012,
TOOL_REGISTRY,,Path to tools/REGISTRY.md when available.,@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L97|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0010;@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L136|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0013,
PASSES,,Comma-separated list of audit pass numbers to execute.,@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L99|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0010;@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L292|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0022,
VERBOSITY,LOW;MED;HIGH,Audit output detail level; default is MED.,@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L100|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0010,
BLOCKER,,Finding severity used for missing required documents and issue prioritization.,@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L114|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0012;@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L306|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0026,
Governance_Audit_Report.md,,Compiled governance audit report artifact.,@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L102|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0010;@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L275|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0020;@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L383|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0037,
Governance_Audit_IssueLog.csv,issue log CSV,Structured issue log artifact containing all issues with required columns and valid severity values.,@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L276|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0020;@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L304|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0026;@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L448|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0065,
governance_audit_summary.json,machine-readable summary,Machine-readable summary artifact whose counts match the issue log.,@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L277|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0020;@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L308|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0027;@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L464|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0066,
QA_Report.md,QA self-assessment,"Coverage self-assessment documenting executed passes, skipped passes, unchecked items, limitations, assumptions, and recommendations.",@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L278|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0020;@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L311|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0028;@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L502|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0067,
K-CLAIM-1,,Issue type for claim-strength calibration findings.,@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L250|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0019;@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L269|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0019,The issue log schema does not define an IssueType column in this slice.
Claim Strength Calibration,Pass 6b,Verification that documents do not overstate what their warrant supports.,@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L250|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0019;@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L252|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0019,
IssueType,,Field named in the claim-strength reporting instruction for K-CLAIM-1 findings.,@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L269|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0019,Not present in the issue log schema shown at lines 450-462.
Severity,BLOCKER;WARNING;INFO;MAJOR;MINOR,Issue priority field; the slice contains conflicting severity vocabularies.,@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L455|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0065;@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L269|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0019,Lines 455 and 328 allow BLOCKER/WARNING/INFO; line 269 names MAJOR/MINOR.
Category,COUNT;XREF;INVARIANT_ID;TERMINOLOGY;AGENT_INVENTORY;HIERARCHY,Issue log enum for finding category.,@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L453|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0065,
RUN_STATUS,OK;WARNINGS;BLOCKERS;FAILED_INPUTS,Run status field used in reports and summaries.,@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L102|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0010;@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L389|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0038;@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L469|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0066,
_LATEST.md,,Mutable pointer file containing Latest and Updated fields.,@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L70|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0007;@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L280|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0020;@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L530|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0073,
Brief.md,,Artifact containing the verbatim received INIT-TASK brief and normalized parameter values used for the run.,@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L279|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0020;@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L379|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0036;@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L381|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0036,
