LocalSeq,UnitStatement,SourceRef,ContentHash,InOutStatus,SectionID,DispatchUnitID,Corrects,Notes
1,DEL-13-04 is named the Physical-to-analytical transformation contract.,@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Datasheet.md:L12|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0004,5bbf2a85a25c,IN,SEC-ED079-0004,UNIT-ED079-0001,,
12,The primary global analysis model target is a 3D centerline/frame model.,@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Datasheet.md:L30|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0005,fa8d18f82016,IN,SEC-ED079-0005,UNIT-ED079-0001,,
13,Unit-bearing physical values crossing boundaries require explicit unit metadata.,@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Datasheet.md:L31|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0005,a714dbc0f15c,IN,SEC-ED079-0005,UNIT-ED079-0001,,
14,"Missing solve-required values are explicit findings, not silent defaults.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Datasheet.md:L32|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0005,70f6b019f673,IN,SEC-ED079-0005,UNIT-ED079-0001,,
15,"Public artifacts must not bundle protected standards data, tables, or proprietary values.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Datasheet.md:L33|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0005,872882a68476,IN,SEC-ED079-0005,UNIT-ED079-0001,,
16,"Software must not claim certification, sealing, approval, authentication, or code compliance.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Datasheet.md:L34|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0005,3eb0d2a6924b,IN,SEC-ED079-0005,UNIT-ED079-0001,,
17,The transform implementation lives at core/model_transform/physical_to_analytical/contract.py.,@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Datasheet.md:L35|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0005,a3eeb761685b,IN,SEC-ED079-0005,UNIT-ED079-0001,,
18,The internal solver-boundary adapter lives at core/model_transform/physical_to_analytical/_solver_boundary_adapter.py.,@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Datasheet.md:L36|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0005,06086c8e0daf,IN,SEC-ED079-0005,UNIT-ED079-0001,,
19,The canonical physical fixture is fixtures/domain/invented_physical_source_of_truth_model.json.,@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Datasheet.md:L37|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0005,11cf673fedd2,IN,SEC-ED079-0005,UNIT-ED079-0001,,
20,"TransformResult exposes analytical_model, diagnostics, traceability_links, and has_blocking_findings.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Datasheet.md:L40|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0005,9ea8e72000c0,IN,SEC-ED079-0005,UNIT-ED079-0001,,
21,Default TransformSettings uses analytical_model_id = ANALYTICAL-DERIVED and contract_version = DEL-13-04-0.1.,@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Datasheet.md:L41|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0005,2e660eb34b62,IN,SEC-ED079-0005,UNIT-ED079-0001,,
22,"The exact transform-loss taxonomy is TBD; implemented PTA-* and ASBA-* diagnostics are code/test evidence, not a final release taxonomy.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Datasheet.md:L42|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0005,b4fb53ad9bdd,TBD,SEC-ED079-0005,UNIT-ED079-0001,,
23,Exact dependency versions are TBD per the Architecture Basis Injection.,@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Datasheet.md:L43|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0005,cce0a833b855,TBD,SEC-ED079-0005,UNIT-ED079-0001,,
24,The local Dependencies.csv is an approved DAG-006 mirror/evidence surface listing ACTIVE upstream dependencies for DEL-13-04.,@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Datasheet.md:L49|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0007,8417aa77e1de,IN,SEC-ED079-0007,UNIT-ED079-0001,,
25,The physical-to-analytical transform starts from the canonical physical/domain model (DEL-02-01).,@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Datasheet.md:L60|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0007,2130d525db02,IN,SEC-ED079-0007,UNIT-ED079-0001,,
26,The transform consumes the design-knowledge schema (DEL-13-01).,@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Datasheet.md:L61|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0007,f9fe38589463,IN,SEC-ED079-0007,UNIT-ED079-0001,,
27,The transform consumes constraint entities (DEL-13-02).,@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Datasheet.md:L62|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0007,f5d579332771,IN,SEC-ED079-0007,UNIT-ED079-0001,,
28,The transform consumes constraint validation (DEL-13-03).,@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Datasheet.md:L63|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0007,aaa95ba92ba6,IN,SEC-ED079-0007,UNIT-ED079-0001,,
29,The transform targets the 3D frame stiffness kernel model (DEL-04-01).,@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Datasheet.md:L64|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0007,4bdaa49fb4af,IN,SEC-ED079-0007,UNIT-ED079-0001,,
30,The transform needs support/boundary-condition modeling from linear support and restraint models (DEL-04-03).,@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Datasheet.md:L65|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0007,23015c151381,IN,SEC-ED079-0007,UNIT-ED079-0001,,
31,The transform needs primitive load semantics from the primitive load case engine (DEL-05-01).,@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Datasheet.md:L66|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0007,0e408b7b88fb,IN,SEC-ED079-0007,UNIT-ED079-0001,,
32,Engineering standards text is not locally available for this deliverable; clause-level requirements must not be derived.,@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Datasheet.md:L72|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0008,7c037b1614fb,IN,SEC-ED079-0008,UNIT-ED079-0001,,
33,PRD v0.2 is referenced by SOW-066 but not present locally; PRD-derived particulars remain TBD.,@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Datasheet.md:L73|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0008,3d3f7e841f5f,TBD,SEC-ED079-0008,UNIT-ED079-0001,,
34,"Public data policy forbids protected standards text, copied formulas, protected tables, protected examples, proprietary commercial data, or code-specific public defaults.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Datasheet.md:L74|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0008,fbeba49b5c06,IN,SEC-ED079-0008,UNIT-ED079-0001,,
35,Deterministic mechanics tests are required before release; code-compliance acceptance remains outside software authority.,@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Datasheet.md:L75|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0008,75da4c323673,IN,SEC-ED079-0008,UNIT-ED079-0001,,
36,Transform consumption of DEL-13-02 beyond copied constraint_refs remains broader integration TBD.,@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Datasheet.md:L76|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0008,8b17d87e9bb1,TBD,SEC-ED079-0008,UNIT-ED079-0001,,
37,Direct runtime validator invocation of DEL-13-03 by the transform remains TBD.,@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Datasheet.md:L77|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0008,37e1bc9c20ca,TBD,SEC-ED079-0008,UNIT-ED079-0001,,
38,"No GUI, runtime command, public API, or external prover workflow is implemented; these surfaces remain TBD.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Datasheet.md:L78|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0008,28782c1e2b43,TBD,SEC-ED079-0008,UNIT-ED079-0001,,
39,"Current analytical output carries empty analysis_run_refs, comparison_refs, handoff_package_refs, and external_reference_refs; persisted package and handoff readiness remain TBD.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Datasheet.md:L79|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0008,67ad1e90d3a1,TBD,SEC-ED079-0008,UNIT-ED079-0001,,
40,"The deliverable materialized as a provider-neutral Python transform contract, an internal solver-boundary DTO adapter, a canonical invented fixture, and focused tests.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Datasheet.md:L83|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0009,686be769e13b,IN,SEC-ED079-0009,UNIT-ED079-0001,,
41,"The transform contract covers inputs, outputs, deterministic behavior, traceability, warning/diagnostic behavior, and unsupported-data handling for physical-to-analytical conversion.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Datasheet.md:L87|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0009,e0f5b536c7ec,IN,SEC-ED079-0009,UNIT-ED079-0001,,
42,"The analytical model output is a derived analytical_solver_model with source_model_ref and centerline/frame arrays for nodes, elements, materials, sections, supports, and load cases, plus diagnostics, assumptions, and traceability links.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Datasheet.md:L88|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0009,a4a8c31981df,IN,SEC-ED079-0009,UNIT-ED079-0001,,
43,"Deterministic PTA-* diagnostics cover missing source/model-role/coordinate data, missing fields, missing or TBD unit metadata, noncanonical dimensions, unsupported component/support/element data, and unresolved references.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Datasheet.md:L89|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0009,3dc0c90ba0eb,IN,SEC-ED079-0009,UNIT-ED079-0001,,
44,"The internal solver-boundary adapter provides a deterministic DTO boundary for nodes, straight-pipe connectivity, property bindings, support targets, load-case records/applications, adapter DTO identity/hash/source-chain records, and adapter diagnostics.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Datasheet.md:L90|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0009,9821c0add1c0,IN,SEC-ED079-0009,UNIT-ED079-0001,,
45,"Traceability records include physical-to-analytical traceability_links plus adapter DTO source_chain, payload_hash_ref, result_trace_anchor, and solver_input_trace_anchor for emitted load applications.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Datasheet.md:L91|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0009,469db4fdd889,IN,SEC-ED079-0009,UNIT-ED079-0001,,
46,Field-level scalar traceability and full runtime result trace-chain production remain TBD.,@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Datasheet.md:L91|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0009,d3374d130250,TBD,SEC-ED079-0009,UNIT-ED079-0001,,
47,"DEL-13-04 is the bridge from design authoring to solver execution, deriving a deterministic analytical_solver_model from a schema-shaped physical source-of-truth model while preserving diagnostics, omissions, assumptions, and traceability.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Guidance.md:L9|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0013,7f14fbbcc65a,IN,SEC-ED079-0013,UNIT-ED079-0001,,
48,Treat the physical model as the editable source-of-truth and the analytical model as a derived view; do not overwrite physical design context during transformation.,@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Guidance.md:L17|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0014,6c48407c4fc3,IN,SEC-ED079-0014,UNIT-ED079-0001,,
49,The same physical input and contract configuration should yield the same analytical output and warning set.,@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Guidance.md:L18|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0014,f5c9b3d461e1,IN,SEC-ED079-0014,UNIT-ED079-0001,,
50,"When physical data cannot be represented analytically, expose the loss as a warning/diagnostic with traceability.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Guidance.md:L19|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0014,a08e84c095a4,IN,SEC-ED079-0014,UNIT-ED079-0001,,
51,Unit-bearing values crossing the boundary need explicit unit metadata; missing or ambiguous units are findings.,@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Guidance.md:L20|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0014,980970223111,IN,SEC-ED079-0014,UNIT-ED079-0001,,
52,Missing solve-required values must not be silently supplied.,@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Guidance.md:L21|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0014,297190ee8b94,IN,SEC-ED079-0014,UNIT-ED079-0001,,
53,"Do not introduce protected code data, proprietary values, code-specific public defaults, SIF/flexibility tables, or compliance claims.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Guidance.md:L22|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0014,3df6930899e2,IN,SEC-ED079-0014,UNIT-ED079-0001,,
54,"The default analytical target is the project's 3D centerline/frame mechanics boundary, not routine shell/solid FEA.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Guidance.md:L23|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0014,bbdb5dfb320e,IN,SEC-ED079-0014,UNIT-ED079-0001,,
55,"The transform emits deterministic PTA-* diagnostics for missing source/model-role/coordinate data, missing required fields, missing or TBD unit metadata, noncanonical quantity dimensions, unsupported components/supports/elements, and unresolved references.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Guidance.md:L29|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0016,e32a923a5cee,IN,SEC-ED079-0016,UNIT-ED079-0001,,
56,"The internal adapter emits deterministic ASBA-* diagnostics for missing properties, invalid y_reference, unsupported/noncanonical load semantics, unresolved targets, wrong dimensions, nonfinite quantities, unordered uniform-load spans, and wrong model role.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Guidance.md:L29|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0016,66145e39d1b6,IN,SEC-ED079-0016,UNIT-ED079-0001,,
57,"The final transform-loss taxonomy, release thresholds, and user-facing severity policy remain TBD until a governed decision accepts them.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Guidance.md:L31|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0016,736e2b2891be,TBD,SEC-ED079-0016,UNIT-ED079-0001,,
58,"Dependencies.csv rows are evidence of coordination dependencies, not permission to copy or reinterpret sibling deliverable content.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Guidance.md:L35|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0017,8f937553f956,IN,SEC-ED079-0017,UNIT-ED079-0001,,
59,"DEL-13-04 carries design_knowledge_refs and constraint_refs through the derived analytical model but does not invoke the validation engine, resolve owner criteria, or create a GUI/runtime/API integration path.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Guidance.md:L37|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0017,1bb97e9eada8,IN,SEC-ED079-0017,UNIT-ED079-0001,,
