CandidateTerm,Synonyms,Definition,SourceRefs,Notes
deterministic scan,scan_deliverable_consistency.py,A first-pass detector that must complete unless tool use was excluded.,@repo/skills/deliverable-consistency/QA_CHECKS.md:L6|domains/chirality/_Decomposition/source_review_html/SRC-SKILLPACK-DELIVERABLE-CONSISTENCY.html#SEC-SKP009-0008;@repo/skills/deliverable-consistency/TOOL_POLICY.md:L35|domains/chirality/_Decomposition/source_review_html/SRC-SKILLPACK-DELIVERABLE-CONSISTENCY.html#SEC-SKP009-0027,
identity mismatch,identity mismatches,,@repo/skills/deliverable-consistency/QA_CHECKS.md:L15|domains/chirality/_Decomposition/source_review_html/SRC-SKILLPACK-DELIVERABLE-CONSISTENCY.html#SEC-SKP009-0008;@repo/skills/deliverable-consistency/TOOL_POLICY.md:L37|domains/chirality/_Decomposition/source_review_html/SRC-SKILLPACK-DELIVERABLE-CONSISTENCY.html#SEC-SKP009-0027,
unresolved markers,TBD;ASSUMPTION;CONFLICT;CONFLICT:,,@repo/skills/deliverable-consistency/BRIEF_SCHEMA.md:L47|domains/chirality/_Decomposition/source_review_html/SRC-SKILLPACK-DELIVERABLE-CONSISTENCY.html#SEC-SKP009-0005;@repo/skills/deliverable-consistency/TOOL_POLICY.md:L36|domains/chirality/_Decomposition/source_review_html/SRC-SKILLPACK-DELIVERABLE-CONSISTENCY.html#SEC-SKP009-0027,
unsourced numeric parameter,unsourced numeric parameters;unsourced numeric lines,,@repo/skills/deliverable-consistency/QA_CHECKS.md:L18|domains/chirality/_Decomposition/source_review_html/SRC-SKILLPACK-DELIVERABLE-CONSISTENCY.html#SEC-SKP009-0008;@repo/skills/deliverable-consistency/TOOL_POLICY.md:L38|domains/chirality/_Decomposition/source_review_html/SRC-SKILLPACK-DELIVERABLE-CONSISTENCY.html#SEC-SKP009-0027,
bounded task brief,effective bounded task brief,,@repo/skills/deliverable-consistency/QA_CHECKS.md:L10|domains/chirality/_Decomposition/source_review_html/SRC-SKILLPACK-DELIVERABLE-CONSISTENCY.html#SEC-SKP009-0008;@repo/skills/deliverable-consistency/SKILL.md:L69|domains/chirality/_Decomposition/source_review_html/SRC-SKILLPACK-DELIVERABLE-CONSISTENCY.html#SEC-SKP009-0017,
PROPOSAL,PROPOSAL blocks,An output block for consistency issues.,@repo/skills/deliverable-consistency/SKILL.md:L74|domains/chirality/_Decomposition/source_review_html/SRC-SKILLPACK-DELIVERABLE-CONSISTENCY.html#SEC-SKP009-0018,
MISSING,MISSING items,An output item for absent files or references.,@repo/skills/deliverable-consistency/SKILL.md:L75|domains/chirality/_Decomposition/source_review_html/SRC-SKILLPACK-DELIVERABLE-CONSISTENCY.html#SEC-SKP009-0018,
NEEDS_HUMAN_RULING,NEEDS_HUMAN_RULING items;rulings-needed items,An output item for true contradictions.,@repo/skills/deliverable-consistency/SKILL.md:L76|domains/chirality/_Decomposition/source_review_html/SRC-SKILLPACK-DELIVERABLE-CONSISTENCY.html#SEC-SKP009-0018;@repo/skills/deliverable-consistency/QA_CHECKS.md:L9|domains/chirality/_Decomposition/source_review_html/SRC-SKILLPACK-DELIVERABLE-CONSISTENCY.html#SEC-SKP009-0008,
evidence-backed proposals,,,@repo/skills/deliverable-consistency/TOOL_POLICY.md:L10|domains/chirality/_Decomposition/source_review_html/SRC-SKILLPACK-DELIVERABLE-CONSISTENCY.html#SEC-SKP009-0023;@repo/skills/deliverable-consistency/TOOL_POLICY.md:L40|domains/chirality/_Decomposition/source_review_html/SRC-SKILLPACK-DELIVERABLE-CONSISTENCY.html#SEC-SKP009-0027,
MEMORY.md,,An optional update target for durable decisions or accepted proposals only when explicitly authorized.,@repo/skills/deliverable-consistency/QA_CHECKS.md:L11|domains/chirality/_Decomposition/source_review_html/SRC-SKILLPACK-DELIVERABLE-CONSISTENCY.html#SEC-SKP009-0008;@repo/skills/deliverable-consistency/SKILL.md:L78|domains/chirality/_Decomposition/source_review_html/SRC-SKILLPACK-DELIVERABLE-CONSISTENCY.html#SEC-SKP009-0018;@repo/skills/deliverable-consistency/TOOL_POLICY.md:L53|domains/chirality/_Decomposition/source_review_html/SRC-SKILLPACK-DELIVERABLE-CONSISTENCY.html#SEC-SKP009-0029,
