CandidateTerm,Synonyms,Definition,SourceRefs,Notes
TargetType=UNKNOWN,,Value used for unresolvable dependency targets.,@repo/docs/CONTRACT.md:L0070|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0007,
_STATUS.md,,Canonical human-readable lifecycle state file for each deliverable.,@repo/docs/CONTRACT.md:L0076|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0008,
staleness,,Condition propagated by upstream changes to transitive dependent deliverables.,@repo/docs/CONTRACT.md:L0082|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0009,
human triage queue,,Enforcement point for stale-item triage.,@repo/docs/CONTRACT.md:L0083|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0009,
dirty,,Deliverable state caused by governed input changes since last approved SHA.,@repo/docs/CONTRACT.md:L0084|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0009,
Gates,,Dynamic per project instance with minimum seal transition and pipeline run approval gates.,@repo/docs/CONTRACT.md:L0090|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0010,
branch HEAD,,Git position that must equal approved SHA for merge to main.,@repo/docs/CONTRACT.md:L0096|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0011,
governed claim,non-trivial governed claim,A claim that must cite evidence or carry location TBD.,@repo/docs/CONTRACT.md:L0102|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0012,
EvidenceFile,,Dependency-row evidence field used with SourceRef.,@repo/docs/CONTRACT.md:L0102|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0012,
SourceRef,,Dependency-row source pointer used with EvidenceFile.,@repo/docs/CONTRACT.md:L0102|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0012,
location TBD,,Explicit placeholder for a missing best-effort section reference.,@repo/docs/CONTRACT.md:L0102|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0012,
Unknown values,,Values that become TBD rather than guessed.,@repo/docs/CONTRACT.md:L0103|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0012,
conflicts between sources,,Disagreements that must be surfaced rather than silently resolved.,@repo/docs/CONTRACT.md:L0104|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0012,
available warrant,,Support limit that claims and conclusions and characterizations must not overstate.,@repo/docs/CONTRACT.md:L0105|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0012,
explicit write scope,WRITE_SCOPE,Header-block declaration that bounds an agent write zone.,@repo/docs/CONTRACT.md:L0111|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0013,
immutable snapshots,,Task agent outputs to tool roots.,@repo/docs/CONTRACT.md:L0112|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0013,
pointer files,_LATEST.md,Files such as _LATEST.md that may be overwritten.,@repo/docs/CONTRACT.md:L0112|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0013,
snapshot folders,,Folders that must not be overwritten.,@repo/docs/CONTRACT.md:L0112|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0013,
Agent instructions,,Design-time enforcement point that constrains intent but does not guarantee behavior.,@repo/docs/CONTRACT.md:L0120|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0014,
ORCHESTRATOR,,Runtime enforcement point for K-SEAL-1 and K-GATE-1 and K-HIER-1.,@repo/docs/CONTRACT.md:L0121|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0014,
Human review,human review; human gate approval,Gate enforcement point for approval and lifecycle and staleness and merge checks.,@repo/docs/CONTRACT.md:L0047|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0004;@repo/docs/CONTRACT.md:L0054|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0005;@repo/docs/CONTRACT.md:L0122|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0014,
Future tooling,future CI check; future automated tooling,Automated enforcement point for future checks.,@repo/docs/CONTRACT.md:L0055|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0005;@repo/docs/CONTRACT.md:L0096|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0011;@repo/docs/CONTRACT.md:L0123|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0014,
PROJECT_DECOMP,,Decomposition enforcement point for K-HIER-1 and K-ID-1.,@repo/docs/CONTRACT.md:L0047|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0004;@repo/docs/CONTRACT.md:L0048|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0004;@repo/docs/CONTRACT.md:L0124|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0014,
Retired Invariants,,Catalog section for invariants moved with retirement rationale.,@repo/docs/CONTRACT.md:L0007|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0001;@repo/docs/CONTRACT.md:L0128|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0015;@repo/docs/CONTRACT.md:L0130|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0015,
