event_id,wave,package,deliverable,stage,category,subtype,scope_kind,affected_units,substantive_impact,detected_by,outcome,evidence_path,evidence_needle,evidence_sha256,evidence_line
APP-E011,A2,APP-PKG-04,DEL-04-02,author,EVIDENCE_TERMINALIZATION,manifest_incomplete,child,1,EVIDENCE_ONLY,manager_fan_in,repaired_r1,execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A2-PKG04/CHECKS.md,"PASS, manifest R1",8360df5345894df9f9ab91e3aac4bd66a7093fd736aefd36805cadcde402a7aa,22
APP-E012,A2,APP-PKG-04,DEL-04-02,verifier,EVIDENCE_TERMINALIZATION,run_record_binding,child,1,EVIDENCE_ONLY,manager_fan_in,repaired_r1,execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A2-PKG04/CHECKS.md,"PASS, run-record binding R1",8360df5345894df9f9ab91e3aac4bd66a7093fd736aefd36805cadcde402a7aa,22
APP-E013,A2,APP-PKG-04,DEL-04-03,verifier,SUSPECTED_NOT_REPRODUCED,terminal_evidence_suspected,child,1,NONE,evidence_remediation,pass_unchanged,execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A2-PKG04/CHILD_INDEX.tsv,PASS_UNCHANGED_ACCEPTED,fd6a754e3198c06fbeb2b3659d873d9a6f10a90b3279c35bccf5fbe9d4ba0bbd,8
APP-E014,A2,APP-PKG-04,DEL-04-04,author,EVIDENCE_TERMINALIZATION,terminal_metadata_missing,child,1,EVIDENCE_ONLY,manager_fan_in,repaired_r1,execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A2-PKG04/CHECKS.md,"PASS, terminal metadata R1",8360df5345894df9f9ab91e3aac4bd66a7093fd736aefd36805cadcde402a7aa,24
APP-E015,A2,APP-PKG-04,DEL-04-04,verifier,EVIDENCE_TERMINALIZATION,terminal_evidence_incomplete,child,1,EVIDENCE_ONLY,evidence_remediation,repaired_r1,execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A2-PKG04/CHILD_INDEX.tsv,PASS_REPAIRED_ACCEPTED,fd6a754e3198c06fbeb2b3659d873d9a6f10a90b3279c35bccf5fbe9d4ba0bbd,11
APP-E016,A2,APP-PKG-04,DEL-04-05,verifier,EVIDENCE_TERMINALIZATION,terminal_evidence_incomplete,child,1,EVIDENCE_ONLY,evidence_remediation,repaired_r1,execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A2-PKG04/CHECKS.md,"PASS, R1 repaired",8360df5345894df9f9ab91e3aac4bd66a7093fd736aefd36805cadcde402a7aa,24
APP-E017,A2,APP-PKG-04,,package_checks,PROJECT_CHECK_SUBSTRATE,missing_local_server,package,1,NONE,registered_check,rerun_passed,execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A2-PKG04/CHECKS.md,first frontend-premerge attempt failed only,8360df5345894df9f9ab91e3aac4bd66a7093fd736aefd36805cadcde402a7aa,38
APP-E018,A2,APP-PKG-04,,package_fan_in,EVIDENCE_PORTABILITY,generated_machine_paths,package,11,EVIDENCE_ONLY,manager_fan_in,reversible_normalization,execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A2-PKG04/CHECKS.md,Generated evidence normalization is exactly reversible,8360df5345894df9f9ab91e3aac4bd66a7093fd736aefd36805cadcde402a7aa,51
APP-E019,A2,APP-PKG-05,,package_checks,PROJECT_CHECK_SUBSTRATE,missing_local_server,package,1,NONE,registered_check,rerun_passed,execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A2-PKG05/CHECKS.md,Initial `frontend-premerge`: preserved FAIL with 0 tests,7dfdbab0aedfbb3bfc2b15e473546ad6d448a8e8c3a7c6cc68133792f34df27a,25
APP-E020,A2,APP-PKG-05,DEL-05-01,verifier,EVIDENCE_PORTABILITY,generated_machine_paths,child,1,EVIDENCE_ONLY,manager_fan_in,normalized_and_rebound,execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A2-PKG05/CHECKS.md,one evidence-only normalization and manifest rebind in `VERIFY-DEL-05-01`,7dfdbab0aedfbb3bfc2b15e473546ad6d448a8e8c3a7c6cc68133792f34df27a,31
APP-E021,A2,APP-PKG-05,DEL-05-02,verifier,EVIDENCE_TERMINALIZATION,manifest_missing,child,1,EVIDENCE_ONLY,manager_fan_in,reentered_and_repaired,execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A2-PKG05/children/VERIFY-DEL-05-02/AMENDMENT-001.md,only observed gap is a missing self-excluding `MANIFEST.tsv`,5ff6ceb0fac3c97aa1aace810b40ff9e5bceb455b54bc6ecec7aec45ae23ce06,5
APP-E022,A2,APP-PKG-05,DEL-05-04,verifier,EVIDENCE_TERMINALIZATION,manifest_missing,child,1,EVIDENCE_ONLY,manager_fan_in,reentered_and_repaired,execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A2-PKG05/children/VERIFY-DEL-05-04/AMENDMENT-001.md,sole observed gap is missing self-excluding `MANIFEST.tsv`,f228a6b0d96887e115756fe3ca79f1a14d50d9215fd942d229a2f990a385fc17,5
APP-E023,A2,APP-PKG-06,DEL-06-01,author,BRIEF_OR_INPUT,wrong_dependency_filename,child,1,NONE,manager_supervision,brief_corrected,execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A2-PKG06/children/AUTHOR-DEL-06-01/BRIEF_AMENDMENT_v2.md,not `_DEPENDENCIES.csv`,07c3ed48d21d90157281d6dc7d970c1e299ab1df695710b355d77d9eea332c56,6
APP-E024,A2,APP-PKG-06,DEL-06-02,author,BRIEF_OR_INPUT,wrong_dependency_filename,child,1,NONE,manager_supervision,brief_corrected,execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A2-PKG06/children/AUTHOR-DEL-06-02/BRIEF_AMENDMENT_v2.md,not `_DEPENDENCIES.csv`,0d265635870eb419e4005fc739608d3407628c7958b7321e0d106222f5a29e5a,6
APP-E025,A2,APP-PKG-06,,package_checks,PROJECT_CHECK_SUBSTRATE,missing_local_server,package,1,NONE,registered_check,rerun_passed,execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A2-PKG06/CHECKS.md,frontend-premerge` | FAIL (substrate only),259cc1a520050898d542c7b7c367fa2979d5a11c6004a303f243a0ef4475bcc8,29
APP-E026,A2,APP-PKG-06,,package_fan_in,EVIDENCE_PORTABILITY,generated_machine_paths,package,11,EVIDENCE_ONLY,manager_fan_in,reversible_normalization,execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A2-PKG06/CHECKS.md,Eleven generated evidence files were normalized,259cc1a520050898d542c7b7c367fa2979d5a11c6004a303f243a0ef4475bcc8,39
APP-E027,A3,APP-PKG-08,DEL-08-05,author,EVIDENCE_TERMINALIZATION,terminal_boolean_omitted,child,1,EVIDENCE_ONLY,manager_fan_in,field_added_and_rebound,execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A3-PKG08/CHECKS.md,omitted explicit `terminal: true`,7e5dc573e8e2cea149022c7e8199cb9b0c72539d6f7c416097e3bd48c580a39b,34
APP-E028,A3,APP-PKG-08,DEL-08-05,verifier,EVIDENCE_TERMINALIZATION,interrupted_before_manifest,child,1,EVIDENCE_ONLY,manager_fan_in,manifest_generated_and_reproduced,execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A3-PKG08/CHECKS.md,verifier was interrupted only,7e5dc573e8e2cea149022c7e8199cb9b0c72539d6f7c416097e3bd48c580a39b,35
APP-E029,A3,APP-PKG-08,,package_checks,PROJECT_CHECK_SUBSTRATE,missing_local_server,package,1,NONE,registered_check,rerun_passed,execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A3-PKG08/CHECKS.md,initial frontend-premerge attempt failed only because no server,7e5dc573e8e2cea149022c7e8199cb9b0c72539d6f7c416097e3bd48c580a39b,45
APP-E030,A3,APP-PKG-08,,package_fan_in,EVIDENCE_PORTABILITY,generated_machine_paths,package,12,EVIDENCE_ONLY,manager_fan_in,reversible_normalization,execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A3-PKG08/CHECKS.md,Generated evidence normalization is exactly reversible,7e5dc573e8e2cea149022c7e8199cb9b0c72539d6f7c416097e3bd48c580a39b,56
APP-E031,A3,APP-PKG-09,DEL-09-01,author,BRIEF_OR_INPUT,workspace_anchor_missing,child,1,NONE,runtime_normalization,failed_closed_then_relaunched,execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A3-PKG09/children/AUTHOR-DEL-09-01-R1/LAUNCH_BRIEF.md,workspace anchor was absent,6fdc386ce782a0b5181363c23da32c36a1b8167cf8defb5903f2bc994dfe1376,3
APP-E032,A3,APP-PKG-09,DEL-09-01,author,EVIDENCE_TERMINALIZATION,manifest_closeout_missing,child,1,EVIDENCE_ONLY,manager_fan_in,manager_added_manifest,execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A3-PKG09/children/VERIFY-DEL-09-01-R1/RETURN.md,supplied only its self-excluding manifest,ff4762e0eaf40de5651d45c0c48e067c0f9f110bc3e5e88eabd10661dd3fd308,24
APP-E033,A3,APP-PKG-09,DEL-09-01,verifier,EVIDENCE_TERMINALIZATION,stalled_before_root_artifacts,child,1,EVIDENCE_ONLY,manager_supervision,fresh_verifier_relaunched,execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A3-PKG09/children/VERIFY-DEL-09-01-R1/RETURN.md,VERIFY-DEL-09-01` completed a 32-file substantive workspace and stalled,ff4762e0eaf40de5651d45c0c48e067c0f9f110bc3e5e88eabd10661dd3fd308,25
APP-E034,A3,APP-PKG-09,DEL-09-01,verifier,EVIDENCE_TERMINALIZATION,repeated_terminalization_stall,child,1,EVIDENCE_ONLY,manager_supervision,manager_evidence_closeout,execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A3-PKG09/children/VERIFY-DEL-09-01-R1/RETURN.md,repeated only the root-artifact terminalization stall,ff4762e0eaf40de5651d45c0c48e067c0f9f110bc3e5e88eabd10661dd3fd308,28
APP-E035,A3,APP-PKG-09,,child_terminalization,EVIDENCE_TERMINALIZATION,later_terminalization_lag,package,5,EVIDENCE_ONLY,manager_fan_in,manager_evidence_closeout,execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A3-PKG09/RETURN.md,Later terminalization lag used the same bounded policy,d3818eee933bf90771131ef745c896cfd04ff526a29cae6102d1a58ebc7c1e6c,20
APP-E036,A3,APP-PKG-09,,package_checks,PROJECT_CHECK_SUBSTRATE,missing_local_server,package,1,NONE,registered_check,rerun_passed,execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A3-PKG09/CHECKS.md,Initial no-server frontend-premerge FAIL preserved,6692e5f7d421a7aaa13213c9164430b17f744c5ff05be746a5463e9653e93294,9
APP-E037,A3,APP-PKG-09,,package_fan_in,EVIDENCE_PORTABILITY,generated_machine_paths,package,1,EVIDENCE_ONLY,manager_fan_in,reversible_normalization,execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A3-PKG09/RETURN.md,Portability normalization is reversible,d3818eee933bf90771131ef745c896cfd04ff526a29cae6102d1a58ebc7c1e6c,12
APP-E038,A3,APP-PKG-10,,child_terminalization,EVIDENCE_TERMINALIZATION,manager_closeout_cluster,package,8,EVIDENCE_ONLY,manager_fan_in,manager_evidence_closeout,execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A3-PKG10/CHECKS.md,Manager evidence-only closeouts were used only after substantive PASS,75cf0eae3e7d2cf8ef7640a60c832351b8f9e5698483efcda9ae12bd33632672,15
APP-E039,A3,APP-PKG-10,DEL-10-02,author,NEGATIVE_FIXTURE_SETUP,malformed_padded_fixture,child,1,NONE,child_self_check,fixture_corrected_and_rerun,execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A3-PKG10/CHECKS.md,malformed padded author fixture,75cf0eae3e7d2cf8ef7640a60c832351b8f9e5698483efcda9ae12bd33632672,16
APP-E040,A3,APP-PKG-10,DEL-10-05,author,TOOL_INVOCATION,precopy_validation_attempt,child,1,NONE,child_self_check,preserved_nonacceptance_then_passed,execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A3-PKG10/children/AUTHOR-DEL-10-05/CHECKS.md,Pre-copy standalone attempt: preserved as non-acceptance evidence,6ed3f5e069794cecb2cc7285d96d11c572d490f665d234ce9ad389b8b9fa2b99,9
APP-E041,A3,APP-PKG-10,DEL-10-05,verifier,TOOL_INVOCATION,directory_passed_as_render_output,child,1,NONE,child_self_check,preserved_nonacceptance_then_passed,execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A3-PKG10/children/VERIFY-DEL-10-05/CHECKS.md,first render invocation passed a directory to a file-oriented CLI,baabf6ad2150cfcd828af9bb4f4c7d84463092892b5f32357fd2c37bdb32106b,11
APP-E042,A3,APP-PKG-10,,package_checks,PROJECT_CHECK_SUBSTRATE,missing_local_server,package,1,NONE,registered_check,rerun_passed,execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A3-PKG10/CHECKS.md,Initial no-server frontend-premerge FAIL preserved,75cf0eae3e7d2cf8ef7640a60c832351b8f9e5698483efcda9ae12bd33632672,9
APP-E043,A3,APP-PKG-10,,package_fan_in,EVIDENCE_PORTABILITY,generated_machine_paths,package,1,EVIDENCE_ONLY,manager_fan_in,reversible_normalization,execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A3-PKG10/RETURN.md,Generated-path normalization,d875cde4374614d9de3a410f83ca85728defc83bd54563d47376f91e9fce85f0,12
